0, CEFALOTINA SODICA, CEFALOTINA SODI 
1, CEFALOTINA SODICA, CEFALOTINA SODI 
2, CEFALOTINA SODICA, CEFALOTINA SODI 
4, CEFOTAXIMA SODICA, CEFOTAXIMA SODI 
5, CEFOTAXIMA SODICA, CEFOTAXIMA SODI 
6, CLORIDRATO CIPROFLOXACINO, CLOR CIPROFLOXA 
7, CLORIDRATO CIPROFLOXACINO, CLOR CIPROFLOXA 
8, CLORIDRATO CIPROFLOXACINO, CLOR CIPROFLOXA 
9, CEFALEXINA, CEFALEXINA 
10, CEFALEXINA, CEFALEXINA 
11, CEFALEXINA, CEFALEXINA 
12, CEFTAZIDIMA, CEFTAZIDIMA 
15, CEFUROXIMA SODICA, CEFUROXIMA SOD 
16, CEFTRIAXONA SODICA, CEFTRIAXONA SOD 
17, CEFTRIAXONA SODICA, CEFTRIAXONA SOD 
18, CEFTRIAXONA SODICA, CEFTRIAXONA SOD 
19, CEFTRIAXONA SODICA, CEFTRIAXONA SOD 
20, CLORIDRATO CEFEPIMA, CLOR CEFEPIMA 
21, CLORIDRATO CEFEPIMA, CLOR CEFEPIMA 
23, CLORIDRATO CEFEPIMA, CLOR CEFEPIMA 
24, CLORIDRATO METFORMINA, CLOR METFORMINA 
25, CLORIDRATO METFORMINA, CLOR METFORMINA 
26, AMPICILINA SODICA, AMPICILINA 
27, AMPICILINA SODICA, AMPICILINA 
28, AMPICILINA SODICA, AMPICILINA 
29, OXACILINA SODICA, OXACILINA SODIC 
30, OXACILINA SODICA, OXACILINA SODIC 
35, AMOXICILINA, AMOXICILINA 
37, AMOXICILINA, AMOXICILINA 
38, AMOXICILINA CLAVULANATO POTASSIO, AMOXI CLAVU POT 
39, CLORIDRATO SERTRALINA, CLOR SERTRALINA 
40, LISINOPRIL, LISINOPRIL 
41, LISINOPRIL, LISINOPRIL 
42, CEFADROXILA, CEFADROXILA 
43, CEFADROXILA, CEFADROXILA 
44, ATENOLOL, ATENOLOL 
45, ATENOLOL, ATENOLOL 
46, ATENOLOL, ATENOLOL 
47, ATENOLOL, ATENOLOL 
48, BESILATO ANLODIPINO, BES ANLODIPINO 
49, BESILATO ANLODIPINO, BES ANLODIPINO 
50, FINASTERIDA, FINASTERIDA 
51, CLORIDRATO PAROXETINA, CLOR PAROXETINA 
52, CAPTOPRIL, CAPTOPRIL 
53, MIRTAZAPINA, MIRTAZAPINA 
54, MIRTAZAPINA, MIRTAZAPINA 
55, ACTOS, ACTOS 
56, ACTOS, ACTOS 
57, ACTOS, ACTOS 
58, ALBENDAZOL, ALBENDAZOL 
59, BLOPRESS, BLOPRESS 
60, BLOPRESS, BLOPRESS 
61, BROMAZEPAM, BROMAZEPAM 
62, BROMAZEPAM, BROMAZEPAM 
63, BUFEDIL, BUFEDIL 
64, CALCIJEX, CALCIJEX 
65, CARBAMAZEPINA, CARBAMAZEPINA 
66, CARBAMAZEPINA, CARBAMAZEPINA 
67, CLORIDRATO VERAPAMIL, CLOR VERAPAMIL 
69, DEPAKENE, DEPAKENE 
70, DEPAKENE, DEPAKENE 
71, DEPAKENE, DEPAKENE 
72, DEPAKENE, DEPAKENE 
73, DEPAKENE, DEPAKENE 
74, DEPAKOTE, DEPAKOTE 
75, DEPAKOTE, DEPAKOTE 
76, DEPAKOTE, DEPAKOTE 
77, DEPAKOTE, DEPAKOTE 
78, DEPAKOTE SPRINKLE, DEPAKOTE 
79, DEPAKOTE SPRINKLE, DEPAKOTE 
80, DEPAKOTE SPRINKLE, DEPAKOTE 
81, DILACORON, DILACORON 
82, DILACORON, DILACORON 
83, DILACORON, DILACORON 
84, DIMETICONA, DIMETICONA 
85, DIPIRONA, DIPIRONA SODICA 
86, FORANE, FORANE 
87, FORANE, FORANE 
88, GYNO IRUXOL, GYNO IRUXOL 
89, HYTRIN, HYTRIN 
90, HYTRIN, HYTRIN 
91, HYTRIN, HYTRIN 
92, IRUXOL, IRUXOL 
93, IRUXOL, IRUXOL 
94, IRUXOL, IRUXOL 
95, IRUXOL, IRUXOL 
96, IRUXOL, IRUXOL 
97, KLARICID, KLARICID 
100, KLARICID UD, KLARICID UD 
101, KLARICID UD, KLARICID UD 
102, LUPRON, LUPRON 
103, LUPRON DEPOT, LUPRON DEPOT 
104, LUPRON DEPOT, LUPRON DEPOT 
105, LUPRON DEPOT, LUPRON DEPOT 
106, LUPRON DEPOT, LUPRON DEPOT 
107, MUCOLIN, MUCOLIN 
108, MUCOLIN, MUCOLIN 
109, MUCOLIN, MUCOLIN 
110, NIAR, NIAR 
111, NIAR, NIAR 
112, NOCTAL, NOCTAL 
114, PEDIALYTE, PEDIALYTE 45 
115, PEDIALYTE, PEDIALYTE 45 
116, PEDIALYTE, PEDIALYTE 45 
117, PEDIALYTE, PEDIALYTE 45 
118, PEDIALYTE, PEDIALYTE 45 
119, PEDIALYTE, PEDIALYTE 90 
120, REDUCTIL, REDUCTIL 
121, SEVORANE, SEVORANE 
122, SEVORANE, SEVORANE 
123, SIMDAX, SIMDAX 
124, SURVANTA, SURVANTA 
125, SYNTHROID, SYNTHROID 
126, SYNTHROID, SYNTHROID 
127, SYNTHROID, SYNTHROID 
128, SYNTHROID, SYNTHROID 
129, SYNTHROID, SYNTHROID 
130, SYNTHROID, SYNTHROID 
131, SYNTHROID, SYNTHROID 
132, SYNTHROID, SYNTHROID 
133, SYNTHROID, SYNTHROID 
134, SYNTHROID, SYNTHROID 
135, SYNTHROID, SYNTHROID 
136, HUMIRA, HUMIRA 
137, HUMIRA, HUMIRA 
138, DALSY, DALSY 
139, DALSY, DALSY 
140, DALSY, DALSY 
141, DALSY, DALSY 
142, DALSY, DALSY 
143, DALSY, DALSY 
144, GOPTEN, GOPTEN 
145, RITMONORM, RITMONORM 
146, RITMONORM, RITMONORM 
147, RITMONORM, RITMONORM 
148, RITMONORM, RITMONORM 
149, TEOLONG, TEOLONG 
150, TEOLONG, TEOLONG 
151, TEOLONG, TEOLONG 
152, DEPAKOTE ER, DEPAKOTE ER 
153, DEPAKOTE ER, DEPAKOTE ER 
155, DEPAKOTE ER, DEPAKOTE ER 
156, DEPAKOTE ER, DEPAKOTE ER 
157, DEPACON, DEPACON 
158, ZEMPLAR, ZEMPLAR 
159, AKINETON, AKINETON 
160, AKINETON, AKINETON 
161, IRUXOL MONO, IRUXOL MONO 
162, IRUXOL MONO, IRUXOL MONO 
163, IRUXOL MONO, IRUXOL MONO 
171, PED BENZIL, PED BENZIL 
172, PED BENZIL, PED BENZIL 
173, ABIFLAN, ABIFLAN 
174, ABIFLAN, ABIFLAN 
176, ABCLER, ABCLER 
177, ABCLER, ABCLER 
178, ABCLER, ABCLER 
179, EXPECTOVIC, EXPECTOVIC 
180, EXPECTOVIC, EXPECTOVIC MEL 
181, RESFENAX GRIPE, RESFENAX 
182, ABEDOSEC, ABEDOSEC 
184, ABEDOSEC, ABEDOSEC 
185, ABEDOSEC, ABEDOSEC 
186, ABERALGINA, ABERALGINA 
187, ABERALGINA, ABERALGINA 
188, ABFOR GERIN, ABFOR GERIN 
189, DETOSS, DETOSS 
190, DETOSS, DETOSS 
191, VITAXON C, VITAXON C 
192, VITAXON C, VITAXON C 
193, ABIDOR, ABIDOR 
194, ABEDERIL, ABEDERIL 
195, ABEDERIL, ABEDERIL 
197, ABEPOTEN, ABEPOTEN 
198, ABEPOTEN, ABEPOTEN 
199, FORTEVIT, FORTEVIT 
200, CETOP, CETOP 
201, ACCUVIT, ACCUVIT 
202, ACCUVIT, ACCUVIT 
203, ALLESTRA, ALLESTRA 
204, ALLESTRA, ALLESTRA 
205, ALLESTRA, ALLESTRA 
206, ALLESTRA, ALLESTRA 
207, ANTUX, ANTUX 
208, ANTUX, ANTUX 
209, ARTROLIVE, ARTROLIVE 
210, ARTROLIVE, ARTROLIVE 
211, ARTROLIVE, ARTROLIVE 
212, ARTROSIL, ARTROSIL 
213, ARTROSIL, ARTROSIL 
214, ARTROSIL, ARTROSIL 
215, ARTROSIL, ARTROSIL 
216, BIOFENAC, BIOFENAC 
217, BIOFENAC, BIOFENAC 
218, BIOFENAC, BIOFENAC 
219, BIOFENAC CLR, BIOFENAC 
220, BIOFENAC LP, BIOFENAC 
221, BIOFENAC LP, BIOFENAC 
222, BRONDILAT, BRONDILAT 
223, BRONDILAT, BRONDILAT 
224, BRONDILAT, BRONDILAT 
225, BRONDILAT, BRONDILAT 
226, CANDICORT, CANDICORT 
227, CANDICORT, CANDICORT 
228, CANDIDERM, CANDIDERM 
229, CANDIZOL, CANDIZOL 
230, CANDIZOL, CANDIZOL 
231, CANDORAL, CANDORAL 
232, CARNABOL, CARNABOL 
233, CAUTEREX, CAUTEREX C GENTAM 
234, CEFALIUM, CEFALIUM 
235, CEFALIV, CEFALIV 
236, COLPISTATIN, COLPISTATIN 
237, COMBIRON, COMBIRON 
238, DAYVIT, DAYVIT 
240, DEPRAX, DEPRAX 
241, DEPROZOL, DEPROZOL 
242, DEPROZOL, DEPROZOL 
243, DEXTROVITASE, DEXTROVITASE B12 
244, DIOSMIN, DIOSMIN 
245, DIOSMIN, DIOSMIN 
246, DORILAX, DORILAX 
247, DORILAX, DORILAX 
248, ERITREX, ERITREX 
249, ERITREX, ERITREX 
250, ERITREX, ERITREX 
251, ERITREX A, ERITREX A 
252, FAMOX, FAMOX 
253, FAMOX, FAMOX 
254, FEMINA, FEMINA 
255, FEMINA, FEMINA 
256, FEMME, FEMME 
257, FEMME FLUOR, FEMME 
258, FLAGASS, FLAGASS 
259, FLAGASS, FLAGASS 
261, FLOGENE, FLOGENE 
262, FLOGENE, FLOGENE 
263, FREENAL, FREENAL 
264, GASTRIUM, GASTRIUM 
265, GASTRIUM, GASTRIUM 
266, GASTRIUM, GASTRIUM 
267, GASTRIUM, GASTRIUM 
268, GASTRIUM, GASTRIUM 
269, GINO CAUTEREX, GINO CAUTEREX 
270, ISKEMIL, ISKEMIL 
271, ISKETAM, ISKETAM 
273, LANZOL, LANZOL 
275, LEUCOGEN, LEUCOGEN 
276, LEUCOGEN, LEUCOGEN 
278, MAXILIV, MAXILIV 
279, MENOPAX, MENOPAX CICLOFENIL 
280, MIONEVRIX, MIO NEVRIX 
281, NECAMIN, NECAMIN 
282, NECAMIN, NECAMIN 
283, NEO DECAPEPTYL, NEO DECAPEPTYL 
284, NOTUSS, NOTUSS 
285, NOTUSS, NOTUSS 
286, NOTUSS, NOTUSS 
287, NOVACORT, NOVACORT 
288, NOVACORT, NOVACORT 
289, NOVAMOX, NOVAMOX 
290, NOVAMOX, NOVAMOX 
291, NOVAMOX, NOVAMOX 
292, NOVAMOX, NOVAMOX 
293, NOVOCILIN, NOVOCILIN 
294, NOVOCILIN, NOVOCILIN 
295, NOVOCILIN, NOVOCILIN 
296, NOVOCILIN, NOVOCILIN 
297, NOVOCILIN, NOVOCILIN 
298, NOVOCILIN, NOVOCILIN 
299, NOVOFER, NOVOFER 
300, NOVOFER, NOVOFER 
301, NOVOFER, NOVOFER 
302, NOVOFER, NOVOFER NF 
303, OMEPRAMIX, OMEPRAMIX 
304, OMEPRAMIX, OMEPRAMIX 
305, PARASIN, PARASIN 
306, PARASIN, PARASIN 
307, POSTINOR 2, POSTINOR 2 
308, SOMALIUM, SOMALIUM 
309, SOMALIUM, SOMALIUM 
310, SOMALIUM, SOMALIUM 
311, SORINE INFANTIL, SORINE 
312, TANDRILAX, TANDRILAX 
313, TANDRILAX, TANDRILAX 
314, TENOTEC, TENOTEC 
317, TRACONAL, TRACONAL 
318, VERTIX, VERTIX 
319, VERTIX, VERTIX 
320, VERTIZINE, VERTIZINE D 
