BACAMPICILINA, BACAMPICILINA
BACCHARIS TRIMERA (LESS.) DC., BACCHARIS TRIMERA (LESS.) DC.
BACEPROFENO, BACEPROFENO
BACITRACINA, BACITRACINA
BACITRACINA ZÍNCICA, BACITRACINA ZINCICA
BACLOFENO, BACLOFENO
BACOPA MONNIERI (L.) WETTST., BACOPA MONNIERI (L.) WETTST.
BADIAGA, BADIAGA
BALAGLITAZONA, BALAGLITAZONA
BALAZIPONA, BALAZIPONA
BALOFLOXACINO, BALOFLOXACINO
BALSALAZIDA, BALSALAZIDA
BAMALUZOL, BAMALUZOL
BAMBERMICINA, BAMBERMICINA
BAMBUTEROL, BAMBUTEROL
BAMETANA, BAMETANA
BAMIDAZOL, BAMIDAZOL
BAMIFILINA, BAMIFILINA
BAMIPINA, BAMIPINA
BAPTISIA TINCTORIA , BAPTISIA TINCTORIA
BAQUILOPRIMA, BAQUILOPRIMA
BARBEXACLONA, BARBEXACLONA
BARBITAL, BARBITAL
BARBITAL SÓDICO, BARBITAL SODICO
BARMASTINA, BARMASTINA
BARNIDIPINO, BARNIDIPINO
BARUCAINIDA, BARUCAINIDA
BARYTA ACETICA, BARYTA ACETICA
BARYTA CARBONICA, BARYTA CARBONICA
BARYTA IODATA, BARYTA IODATA
BARYTA MURIATICA, BARYTA MURIATICA
BASIFUNGINA, BASIFUNGINA
BASILIXIMABE, BASILIXIMABE
BATANOPRIDA, BATANOPRIDA
BATELAPINA, BATELAPINA
BATILOL, BATILOL
BATIMASTATE, BATIMASTATE
BATOPRAZINA, BATOPRAZINA
BATROXOBINA, BATROXOBINA
BAXITOZINA, BAXITOZINA
BAZEDOXIFENO, BAZEDOXIFENO
BAZINAPRINA, BAZINAPRINA
