BIALAMICOL, BIALAMICOL
BIAPENÉM, BIAPENEM
BIBAPCITIDA, BIBAPCITIDA
BIBROCATOL, BIBROCATOL
BICALUTAMIDA, BICALUTAMIDA
BICARBONATO DE AMÔNIO, BICARBONATO AMONIO
BICARBONATO DE POTÁSSIO, BICARBONATO POTASSIO
BICARBONATO DE SÓDIO, BICARBONATO SODIO
BICIFADINA, BICIFADINA
BICIROMABE, BICIROMABE
BICISATO (99M TC), BICISATO (99M TC)
BICLODIL, BICLODIL
BICLOFIBRATO, BICLOFIBRATO
BICLOTIMOL, BICLOTIMOL
BICOZAMICINA, BICOZAMICINA
BIDISOMIDA, BIDISOMIDA
BIETAMIVERINA, BIETAMIVERINA
BIETASERPINA, BIETASERPINA
BIFEMELANO, BIFEMELANO
BIFEPRAMIDA, BIFEPRAMIDA
BIFEPROFENO, BIFEPROFENO
BIFLURANOL, BIFLURANOL
BIFONAZOL, BIFONAZOL
BILASTINA, BILASTINA
BIMACALIM, BIMACALIM
BIMATOPROSTA, BIMATOPROSTA
BIMOSIAMOSE, BIMOSIAMOSE
BINDARITE, BINDARITE
BINEDALINA, BINEDALINA
BINETRAQUINA, BINETRAQUINA
BINFLOXACINO, BINFLOXACINO
BINIRAMICINA, BINIRAMICINA
BINIZOLASTE, BINIZOLASTE
BINOSPIRONA, BINOSPIRONA
BIOALETRINA, BIOALETRINA
BIORESMETRINA, BIORESMETRINA
BIOTINA, BIOTINA
BIPENAMOL, BIPENAMOL
BIPERIDENO, BIPERIDENO
BIRICODAR, BIRICODAR
BIRIPERONA, BIRIPERONA
BISACODIL, BISACODIL
BISANTRENO, BISANTRENO
BISARAMILA, BISARAMILA
BISBENDAZOL, BISBENDAZOL
BISBENTIAMINA, BISBENTIAMINA
BISCUMACETATO DE ETILA, BISCUMACETATO ETILA
BISFENAZONA, BISFENAZONA
BISFENTIDINA, BISFENTIDINA
BISGLICINATO DE CÁLCIO, BISGLICINATO CALCIO
BISGLICINATO FERROSO, BISGLICINATO FERROSO
BISMUTHUM METALLICUM , BISMUTHUM METALLICUM
BISMUTHUM OXYDATUM, BISMUTHUM OXYDATUM
BISMUTHUM SUBNITRICUM, BISMUTHUM SUBNITRICUM
BISMUTO RESORCINA, BISMUTO RESORCINA
BISNAFIDA, BISNAFIDA
BISOBRINA, BISOBRINA
BISOPROLOL, BISOPROLOL
BISÓRCICO, BISORCICO
BISOXATINA, BISOXATINA
BISSULFATO DE CLOPIDOGREL, BISSULFATO CLOPIDOGREL
BISSULFATO DE QUINIDINA, BISSULFATO QUINIDINA
BISSULFATO DE QUININA, BISSULFATO QUININA
BISSULFITO DE SÓDIO, BISSULFITO SODIO
BISSULFITO SÓDICO DE COLISTINA FORMALDEÍDO, BISSULFITO SODICO COLISTINA FORMALDEIDO
BISSULFITO SÓDICO DE MENADIONA, BISSULFITO SODICO MENADIONA
BISSULFITO SÓDICO DE MENADIONA TRI-HIDRATADO, BISSULFITO SODICO MENADIONA TRI-HIDRATADO
BITARTARATO DE HIDROCODONA HEMIPENTAIDRATADO, BITARTARATO HIDROCODONA HEMIPENTAIDRATADO
BITARTARATO DE NICOTINA, BITARTARATO NICOTINA
BITARTARATO DE VINFLUNINA, BITARTARATO VINFLUNINA
BITIONOL, BITIONOL
BITIONOLATO DE SÓDIO, BITIONOLATO SODIO
BITIONOLÓXIDO, BITIONOLOXIDO
BITIPAZONA, BITIPAZONA
BITOLTEROL, BITOLTEROL
BITOSCANATO, BITOSCANATO
BIVALIRUDINA, BIVALIRUDINA
BIVATUZUMABE, BIVATUZUMABE
BIXA ORELLANA L. , BIXA ORELLANA L.
BIXINA, BIXINA
BIZELESINA, BIZELESINA
