BUCAINIDA, BUCAINIDA
BUCICLOVIR, BUCICLOVIR
BUCILAMINA, BUCILAMINA
BUCINDOLOL, BUCINDOLOL
BUCLADESINA, BUCLADESINA
BUCLIZINA, BUCLIZINA
BUCLOSAMIDA, BUCLOSAMIDA
BUCOLOMO, BUCOLOMO
BUCRICAÍNA, BUCRICAINA
BUCRILATO, BUCRILATO
BUCROMARONA, BUCROMARONA
BUCUMOLOL, BUCUMOLOL
BUDESONIDA, BUDESONIDA
BUDIPINO, BUDIPINO
BUDOTITANO, BUDOTITANO
BUDRALAZINA, BUDRALAZINA
BUFENADRINA, BUFENADRINA
BUFENINA, BUFENINA
BUFENIODO, BUFENIODO
BUFETOLOL, BUFETOLOL
BUFEXAMACO, BUFEXAMACO
BUFEZOLACO, BUFEZOLACO
BUFLOMEDIL, BUFLOMEDIL
BUFO RANA , BUFO RANA
BUFOGENINA, BUFOGENINA
BUFORMINA, BUFORMINA
BUFROLINA, BUFROLINA
BUFURALOL, BUFURALOL
BULAQUINA, BULAQUINA
BUMADIZONA, BUMADIZONA
BUMADIZONA CÁLCICA, BUMADIZONA CALCICA
BUMECAÍNA, BUMECAINA
BUMEPIDIL, BUMEPIDIL
BUMETANIDA, BUMETANIDA
BUMETRIZOL, BUMETRIZOL
BUNAFTINA, BUNAFTINA
BUNAMIDINA, BUNAMIDINA
BUNAMIODIL, BUNAMIODIL
BUNAPROLASTE, BUNAPROLASTE
BUNAZOSINA, BUNAZOSINA
BUNITROLOL, BUNITROLOL
BUNOLOL, BUNOLOL
BUPARVAQUONA, BUPARVAQUONA
BUPICOMIDA, BUPICOMIDA
BUPIVACAÍNA, BUPIVACAINA
BUPRANOLOL, BUPRANOLOL
BUPRENORFINA, BUPRENORFINA
BUPROPIONA, BUPROPIONA
BUQUINERANA, BUQUINERANA
BUQUINOLATO, BUQUINOLATO
BUQUITERINA, BUQUITERINA
BURAMATO, BURAMATO
BURODILINA, BURODILINA
BUSPIRONA, BUSPIRONA
BUSSERRELINA, BUSSERRELINA
BUSSULFANO, BUSSULFANO
BUTABARBITAL, BUTABARBITAL
BUTABARBITAL SÓDICO, BUTABARBITAL SODICO
BUTACAÍNA, BUTACAINA
BUTACLAMOL, BUTACLAMOL
BUTADIAZAMIDA, BUTADIAZAMIDA
BUTAFOSFANA, BUTAFOSFANA
BUTALAMINA, BUTALAMINA
BUTALBITAL, BUTALBITAL
BUTALILONAL, BUTALILONAL
BUTALILONAL SÓDICO, BUTALILONAL SODICO
BUTALITAL SÓDICO, BUTALITAL SODICO
BUTAMBENO, BUTAMBENO
BUTAMIRATO, BUTAMIRATO
BUTAMISOL, BUTAMISOL
BUTAMOXANO, BUTAMOXANO
BUTANILICAÍNA, BUTANILICAINA
BUTANIXINO, BUTANIXINO
BUTANOATO DE ETILA, BUTANOATO ETILA
BUTANONA, BUTANONA
BUTANSERINA, BUTANSERINA
BUTANTRONA, BUTANTRONA
BUTAPERAZINA, BUTAPERAZINA
BUTAPROSTA, BUTAPROSTA
BUTAVERINA, BUTAVERINA
BUTAXAMINA, BUTAXAMINA
BUTENAFINA, BUTENAFINA
BUTEPRATO DE HIDROCORTISONA, BUTEPRATO HIDROCORTISONA
BUTERIZINA, BUTERIZINA
BUTETAL, BUTETAL
BUTETAMATO, BUTETAMATO
BUTIBUFENO, BUTIBUFENO
BUTICACINA, BUTICACINA
BUTIDIDA, BUTIDIDA
BUTIDRINA, BUTIDRINA
BUTILBROMETO DE ESCOPOLAMINA, BUTILBROMETO ESCOPOLAMINA
BUTILFENINA, BUTILFENINA
BUTIL-HIDROXIANISOL, BUTIL-HIDROXIANISOL
BUTIL-HIDROXITOLUENO , BUTIL-HIDROXITOLUENO
BUTILPARABENO, BUTILPARABENO
BUTINOLINA, BUTINOLINA
BUTIRATO DE CLOBETASONA, BUTIRATO CLOBETASONA
BUTIRATO DE DIOXAFETILA, BUTIRATO DIOXAFETILA
BUTIRATO DE HIDROCORTISONA, BUTIRATO HIDROCORTISONA
BUTIROSINA, BUTIROSINA
BUTIXIRATO, BUTIXIRATO
BUTIXOCORTE, BUTIXOCORTE
BUTIZIDA, BUTIZIDA
BUTOBENDINA, BUTOBENDINA
BUTOCONAZOL, BUTOCONAZOL
BUTOCROLOL, BUTOCROLOL
BUTOCTAMIDA, BUTOCTAMIDA
BUTOFILOLOL, BUTOFILOLOL
BUTONATO, BUTONATO
BUTOPAMINA, BUTOPAMINA
BUTOPIPRINA, BUTOPIPRINA
BUTOPROZINA, BUTOPROZINA
BUTORFANOL, BUTORFANOL
BUTOXICAÍNA, BUTOXICAINA
BUTÓXIDO DE PIPERONILA, BUTOXIDO PIPERONILA
BUTOXILATO, BUTOXILATO
BUTRIPTILINA, BUTRIPTILINA
BUZEPIDA, BUZEPIDA
