CABAZITAXEL, CABAZITAXEL
CABERGOLINA, CABERGOLINA
CACODILATO DE SÓDIO, CACODILATO SODIO
CACTINOMICINA, CACTINOMICINA
CACTUS GRANDIFLORUS, CACTUS GRANDIFLORUS
CADEXÔMER, CADEXOMER
CADMIUM METALLICUM , CADMIUM METALLICUM
CADMIUM SULPHURATUM, CADMIUM SULPHURATUM
CADMIUM SULPHURICUM , CADMIUM SULPHURICUM
CADRALAZINA, CADRALAZINA
CADROFLOXACINO, CADROFLOXACINO
CAESALPINIA FERREA MART., CAESALPINIA FERREA MART.
CAFAMINOL, CAFAMINOL
CAFEDRINA, CAFEDRINA
CAFEÍNA, CAFEINA
CAJUPUTUM , CAJUPUTUM
CALADIUM SEGUINUM, CALADIUM SEGUINUM
CALAFUNGINA, CALAFUNGINA
CALAMINA, CALAMINA
CALCAREA ACETICA, CALCAREA ACETICA
CALCAREA ARSENICICA, CALCAREA ARSENICICA
CALCAREA BROMATA, CALCAREA BROMATA
CALCAREA CARBONICA, CALCAREA CARBONICA
CALCAREA FLUORICA, CALCAREA FLUORICA
CALCAREA IODATA, CALCAREA IODATA
CALCAREA MURIATICA, CALCAREA MURIATICA
CALCAREA OXALICA, CALCAREA OXALICA
CALCAREA PHOSPHORICA, CALCAREA PHOSPHORICA
CALCAREA SULPHURICA, CALCAREA SULPHURICA
CALCIFEDIOL, CALCIFEDIOL
CALCIPOTRIOL, CALCIPOTRIOL
CALCIPOTRIOL MONOIDRATADO, CALCIPOTRIOL MONOIDRATADO
CALCITONINA, CALCITONINA
CALCITONINA SINTÉTICA DE SALMÃO, CALCITONINA SINTETICA SALMAO
CALCITONINA SINTÉTICA HUMANA, CALCITONINA SINTETICA HUMANA
CALCITRIOL, CALCITRIOL
CALCOBUTROL, CALCOBUTROL
CALDARETE, CALDARETE
CALDIAMIDA, CALDIAMIDA
CALDIAMIDA SÓDICA, CALDIAMIDA SODICA
CALENDULA OFFICINALIS , CALENDULA OFFICINALIS
CALENDULA OFFICINALIS L., CALENDULA OFFICINALIS L.
CALFACTANTO, CALFACTANTO
CALIDINOGENASE, CALIDINOGENASE
CALOTROPIS GIGANTEA , CALOTROPIS GIGANTEA
CALOXETATO TRISSÓDICO, CALOXETATO TRISSODICO
CALTERIDOL, CALTERIDOL
CALTHA PALUSTRIS, CALTHA PALUSTRIS
CALUSTERONA, CALUSTERONA
CAMAZEPAM, CAMAZEPAM
CAMBENDAZOL, CAMBENDAZOL
CAMELLIA SINENSIS (L.) KUNTZE, CAMELLIA SINENSIS (L.) KUNTZE
CAMIGLIBOSE, CAMIGLIBOSE
CAMILOFINA, CAMILOFINA
CAMIVERINA, CAMIVERINA
CAMONAGREL, CAMONAGREL
CAMOSTATE, CAMOSTATE
CAMPHORA , CAMPHORA
CANABIDIOL, CANABIDIOL
CANABINOL, CANABINOL
CANAGLIFLOZINA, CANAGLIFLOZINA
CANAGLIFLOZINA HEMI-HIDRATADA, CANAGLIFLOZINA HEMI-HIDRATADA
CANAMICINA, CANAMICINA
CANAQUINUMABE, CANAQUINUMABE
CANDESARTANA, CANDESARTANA
CANDESARTANA CILEXETILA, CANDESARTANA CILEXETILA
CANDICIDINA, CANDICIDINA
CANDOXATRILA, CANDOXATRILA
CANDOXATRILATE, CANDOXATRILATE
CÂNFORA, CANFORA
CÂNFORA BROMADA, CANFORA BROMADA
CANFOSSULFONATO DE CODEÍNA, CANFOSSULFONATO CODEINA
CANFOSSULFONATO DE ETILMORFINA, CANFOSSULFONATO ETILMORFINA
CANFOTAMIDA, CANFOTAMIDA
CANGRELOR, CANGRELOR
CANRENOATO DE POTÁSSIO, CANRENOATO POTASSIO
CANRENONA, CANRENONA
CANSILATO DE AMOXIDRAMINA, CANSILATO AMOXIDRAMINA
CANSILATO DE ANLODIPINO, CANSILATO ANLODIPINO
CANSILATO DE SÓDIO, CANSILATO SODIO
CANSILATO DE TRIMETAFANA, CANSILATO TRIMETAFANA
CANTHARIS VESICATORIA, CANTHARIS VESICATORIA
CAPECITABINA, CAPECITABINA
CAPRAVIRINA, CAPRAVIRINA
CAPREOMICINA, CAPREOMICINA
CAPRILATO DE SÓDIO, CAPRILATO SODIO
CAPROATO DE ETILA, CAPROATO ETILA
CAPROATO DE FLUOCORTOLONA, CAPROATO FLUOCORTOLONA
CAPROATO DE GESTONORONA, CAPROATO GESTONORONA
CAPROATO DE HIDROXIPROGESTERONA, CAPROATO HIDROXIPROGESTERONA
CAPROATO DE PREDNISOLONA, CAPROATO PREDNISOLONA
CAPROATO DE TESTOSTERONA, CAPROATO TESTOSTERONA
CAPROMABE, CAPROMABE
CAPROMABE PENDETIDA (111 IN), CAPROMABE PENDETIDA (111 IN)
CAPROMORRELINA, CAPROMORRELINA
CAPROXAMINA, CAPROXAMINA
CAPSAICINA, CAPSAICINA
CAPSICUM ANNUUM, CAPSICUM ANNUUM
CAPSICUM ANNUUM L., CAPSICUM ANNUUM L.
CAPTAMINA, CAPTAMINA
CAPTODIAMO, CAPTODIAMO
CAPTOPRIL, CAPTOPRIL
CAPURIDA, CAPURIDA
CARABERSATE, CARABERSATE
CARACEMIDA, CARACEMIDA
CARAFIBANA, CARAFIBANA
CARAMIFENO, CARAMIFENO
CARAZOLOL, CARAZOLOL
CARBACOL, CARBACOL
CARBADOX, CARBADOX
CARBALDRATO, CARBALDRATO
CARBAMATO DE CLORFENESINA, CARBAMATO CLORFENESINA
CARBAMATO DE ETCLORVINOL, CARBAMATO ETCLORVINOL
CARBAMATO DE METILPENTINOL, CARBAMATO METILPENTINOL
CARBAMAZEPINA, CARBAMAZEPINA
CARBANTEL, CARBANTEL
CARBARILA, CARBARILA
CARBARSONA, CARBARSONA
CARBASSALATO DE CÁLCIO, CARBASSALATO CALCIO
CARBAZERANA, CARBAZERANA
CARBAZOCINA, CARBAZOCINA
CARBAZOCROMO, CARBAZOCROMO
CARBENICILINA, CARBENICILINA
CARBENICILINA DISSÓDICA, CARBENICILINA DISSODICA
CARBENICILINA POTÁSSICA, CARBENICILINA POTASSICA
CARBENOXOLONA, CARBENOXOLONA
CARBENOXOLONA DISSÓDICA, CARBENOXOLONA DISSODICA
CARBENZIDA, CARBENZIDA
CARBETÍMER, CARBETIMER
CARBETOCINA, CARBETOCINA
CARBIDOPA, CARBIDOPA
CARBIDOPA MONOIDRATADA, CARBIDOPA MONOIDRATADA
CARBIFENO, CARBIFENO
CARBIMAZOL, CARBIMAZOL
CARBIMIDA CÁLCICA, CARBIMIDA CALCICA
CARBINOXAMINA, CARBINOXAMINA
CARBO ANIMALIS , CARBO ANIMALIS
CARBO VEGETABILIS , CARBO VEGETABILIS
CARBOCISTEÍNA, CARBOCISTEINA
CARBOCLORAL, CARBOCLORAL
CARBOCROMENO, CARBOCROMENO
CARBOFENOTIONA, CARBOFENOTIONA
CARBÔMER, CARBOMER
CARBÔMER 1342, CARBOMER 1342
CARBÔMER 2020, CARBOMER 2020
CARBÔMER 910, CARBOMER 910
CARBÔMER 934, CARBOMER 934
CARBÔMER 934P, CARBOMER 934P
CARBÔMER 940, CARBOMER 940
CARBÔMER 941, CARBOMER 941
CARBÔMER 980, CARBOMER 980
CARBOMICINA, CARBOMICINA
CARBONATO BÁSICO DE BISMUTO, CARBONATO BASICO BISMUTO
CARBONATO DE AMÔNIO, CARBONATO AMONIO
CARBONATO DE CÁLCIO, CARBONATO CALCIO
CARBONATO DE LANTÂNIO OCTAIDRATADO, CARBONATO LANTANIO OCTAIDRATADO
CARBONATO DE LÍTIO, CARBONATO LITIO
CARBONATO DE LODENAFILA, CARBONATO LODENAFILA
CARBONATO DE MAGNÉSIO, CARBONATO MAGNESIO
CARBONATO DE POTÁSSIO, CARBONATO POTASSIO
CARBONATO DE SEVELÂMER, CARBONATO SEVELAMER
CARBONATO DE SÓDIO, CARBONATO SODIO
CARBONATO FERROSO, CARBONATO FERROSO
CARBOPLATINA, CARBOPLATINA
CARBOPROSTA, CARBOPROSTA
CARBOQUONA, CARBOQUONA
CARBOXIMALTOSE FÉRRICA, CARBOXIMALTOSE FERRICA
CARBROMAL, CARBROMAL
CARBUBARBE, CARBUBARBE
CARBURAZEPAM, CARBURAZEPAM
CARBUTAMIDA, CARBUTAMIDA
CARBUTEROL, CARBUTEROL
CARDUUS MARIANUS , CARDUUS MARIANUS
CAREBASTINA, CAREBASTINA
CARFECILINA, CARFECILINA
CARFENAZINA, CARFENAZINA
CARFENTANILA, CARFENTANILA
CARFILZOMIBE, CARFILZOMIBE
CARFIMATO, CARFIMATO
CARFLUZEPATO DE ETILA, CARFLUZEPATO ETILA
CARGUTOCINA, CARGUTOCINA
CARINDACILINA, CARINDACILINA
CARINDACILINA SÓDICA, CARINDACILINA SODICA
CARISOPRODOL, CARISOPRODOL
CARMANTADINA, CARMANTADINA
CARMELOSE, CARMELOSE
CARMELOSE CÁLCICA, CARMELOSE CALCICA
CARMELOSE SÓDICA, CARMELOSE SODICA
CARMETIZIDA, CARMETIZIDA
CARMOFUR, CARMOFUR
CARMOXIROL, CARMOXIROL
CARMUSTINA, CARMUSTINA
CARNIDAZOL, CARNIDAZOL
CARNITINA, CARNITINA
CAROCAINIDA, CAROCAINIDA
CAROVERINA, CAROVERINA
CAROXAZONA, CAROXAZONA
CARPERIDINA, CARPERIDINA
CARPERITIDA, CARPERITIDA
CARPERONA, CARPERONA
CARPINDOLOL, CARPINDOLOL
CARPIPRAMINA, CARPIPRAMINA
CARPRAZIDIL, CARPRAZIDIL
CARPROFENO, CARPROFENO
CARRAGENINA, CARRAGENINA
CARRUBICINA, CARRUBICINA
CARSALAM, CARSALAM
CARSATRINA, CARSATRINA
CARTASTEÍNA, CARTASTEINA
CARTAZOLATO, CARTAZOLATO
CARTEOLOL, CARTEOLOL
CARUM CARVI , CARUM CARVI
CARUM CARVI L. , CARUM CARVI L.
CARUMONAM, CARUMONAM
CARVÃO VEGETAL ATIVADO, CARVAO VEGETAL ATIVADO
CARVEDILOL, CARVEDILOL
CARVOTROLINA, CARVOTROLINA
CARZELESINA, CARZELESINA
CARZENIDA, CARZENIDA
CASANTRANOL, CASANTRANOL
CASCARA SAGRADA , CASCARA SAGRADA
CASCARILLA , CASCARILLA
CASCAROSÍDEO A, CASCAROSIDEO A
CASCAROSÍDEO B, CASCAROSIDEO B
CASEARIA SYLVESTRIS SW., CASEARIA SYLVESTRIS SW.
CASEINASSUCCINILA FÉRRICA, CASEINASSUCCINILA FERRICA
CASEINATO DE CÁLCIO, CASEINATO CALCIO
CASOCEFAMIDA, CASOCEFAMIDA
CASOPITANTO, CASOPITANTO
CASPOFUNGINA, CASPOFUNGINA
CASSIA FISTULA L., CASSIA FISTULA L.
CATINA, CATINA
CATINONA, CATINONA
CATRIDECACOGUE, CATRIDECACOGUE
CAULIM, CAULIM
CAULOPHYLLUM THALICTROIDES, CAULOPHYLLUM THALICTROIDES
CAUSTICUM       , CAUSTICUM
