CHAMAEMELUM NOBILE (L.) ALL., CHAMAEMELUM NOBILE (L.) ALL.
CHAULMOSSULFONA, CHAULMOSSULFONA
CHELIDONIUM MAJUS , CHELIDONIUM MAJUS
CHENOPODIUM ANTHELMINTHICUM, CHENOPODIUM ANTHELMINTHICUM
CHIMAPHILA UMBELLATA , CHIMAPHILA UMBELLATA
CHINA OFFICINALLIS                                                         , CHINA OFFICINALLIS
CHININUM ARSENICOSUM , CHININUM ARSENICOSUM
CHININUM MURIATICUM, CHININUM MURIATICUM
CHININUM PURUM, CHININUM PURUM
CHININUM SULPHURICUM , CHININUM SULPHURICUM
CHIONANTHUS VIRGINICA , CHIONANTHUS VIRGINICA
CHLORUM , CHLORUM
CHOLESTERINUM , CHOLESTERINUM
CHRYSAROBINUM, CHRYSAROBINUM
