DIACEREÍNA, DIACEREINA
DIACETAMATO, DIACETAMATO
DIACETATO DE AMETANTRONA, DIACETATO AMETANTRONA
DIACETATO DE APOMORFINA, DIACETATO APOMORFINA
DIACETATO DE CLOREXIDINA, DIACETATO CLOREXIDINA
DIACETATO DE DETIRRELIX, DIACETATO DETIRRELIX
DIACETATO DE DIFLORASONA, DIACETATO DIFLORASONA
DIACETATO DE ETINODIOL, DIACETATO ETINODIOL
DIACETATO DE MENADIOL, DIACETATO MENADIOL
DIACETATO DE METANDRIOL, DIACETATO METANDRIOL
DIACETATO DE PREZATIDA E COBRE, DIACETATO PREZATIDA E COBRE
DIACETATO DE QUINDECAMINA, DIACETATO QUINDECAMINA
DIACETATO DE TRIANCINOLONA, DIACETATO TRIANCINOLONA
DIACETOLOL, DIACETOLOL
DIAMOCAÍNA, DIAMOCAINA
DIAMPROMIDA, DIAMPROMIDA
DIANFENETIDA, DIANFENETIDA
DIARBARONA, DIARBARONA
DIASPARTATO DE PASIREOTIDA, DIASPARTATO PASIREOTIDA
DIASTASE, DIASTASE
DIATIMOSSULFONA, DIATIMOSSULFONA
DIATRIZOATO DE MEGLUMINA, DIATRIZOATO MEGLUMINA
DIATRIZOATO DE SÓDIO, DIATRIZOATO SODIO
DIATRIZOATO DE SÓDIO (125 I), DIATRIZOATO SODIO (125 I)
DIATRIZOATO DE SÓDIO (131 I), DIATRIZOATO SODIO (131 I)
DIATRIZOATO SÓDICO DE MEGLUMINA, DIATRIZOATO SODICO MEGLUMINA
DIAVERIDINA, DIAVERIDINA
DIAZEPAM, DIAZEPAM
DIAZIQUONA, DIAZIQUONA
DIAZÓXIDO, DIAZOXIDO
DIBECACINA, DIBECACINA
DIBEMETINA, DIBEMETINA
DIBENZEPINA, DIBENZEPINA
DIBROMETO DE FAZADÍNIO, DIBROMETO FAZADINIO
DIBROMOTIROSINA, DIBROMOTIROSINA
DIBROMPROPAMIDINA, DIBROMPROPAMIDINA
DIBRONSALANA, DIBRONSALANA
DIBUNATO DE ETILA, DIBUNATO ETILA
DIBUNATO DE SÓDIO, DIBUNATO SODIO
DIBUPIRONA, DIBUPIRONA
DIBUPROL, DIBUPROL
DIBUSADOL, DIBUSADOL
DIBUTIRATO DE MECLORISONA, DIBUTIRATO MECLORISONA
DIBUTIRATO DE MENADIOL, DIBUTIRATO MENADIOL
DICAPRATO DE PROPILENOGLICOL, DICAPRATO PROPILENOGLICOL
DICAPRILATO DE PROPILENOGLICOL, DICAPRILATO PROPILENOGLICOL
DICARBINA, DICARBINA
DICARFENO, DICARFENO
DICIBATO DE LOCICORTOLONA, DICIBATO LOCICORTOLONA
DICICLOVERINA, DICICLOVERINA
DICIRENONA, DICIRENONA
DICITRATO DE MAGNÉSIO TETRADECAIDRATADO, DICITRATO MAGNESIO TETRADECAIDRATADO
DICLAZURILA, DICLAZURILA
DICLOFENACO, DICLOFENACO
DICLOFENACO COLESTIRAMINA, DICLOFENACO COLESTIRAMINA
DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO
DICLOFENACO EPOLAMINA, DICLOFENACO EPOLAMINA
DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO
DICLOFENACO SÓDICO, DICLOFENACO SODICO
DICLOFENAMIDA, DICLOFENAMIDA
DICLOFURIMA, DICLOFURIMA
DICLOMETIDA, DICLOMETIDA
DICLONINA, DICLONINA
DICLONIXINO, DICLONIXINO
DICLORALUREIA, DICLORALUREIA
DICLORETO DE MANGANÊS TETRAIDRATADO , DICLORETO MANGANES TETRAIDRATADO
DICLORIDRATO DE AMODIAQUINA, DICLORIDRATO AMODIAQUINA
DICLORIDRATO DE ANILERIDINA, DICLORIDRATO ANILERIDINA
DICLORIDRATO DE AZACOSTEROL, DICLORIDRATO AZACOSTEROL
DICLORIDRATO DE BETAISTINA, DICLORIDRATO BETAISTINA
DICLORIDRATO DE BETAZOL, DICLORIDRATO BETAZOL
DICLORIDRATO DE BIALAMICOL, DICLORIDRATO BIALAMICOL
DICLORIDRATO DE BISANTRENO, DICLORIDRATO BISANTRENO
DICLORIDRATO DE BUCLIZINA, DICLORIDRATO BUCLIZINA
DICLORIDRATO DE CAMILOFINA, DICLORIDRATO CAMILOFINA
DICLORIDRATO DE CARPIPRAMINA, DICLORIDRATO CARPIPRAMINA
DICLORIDRATO DE CEFOTIAM, DICLORIDRATO CEFOTIAM
DICLORIDRATO DE CETIRIZINA, DICLORIDRATO CETIRIZINA
DICLORIDRATO DE CLOCAPRAMINA, DICLORIDRATO CLOCAPRAMINA
DICLORIDRATO DE CLORBENZOXAMINA, DICLORIDRATO CLORBENZOXAMINA
DICLORIDRATO DE CLOREXIDINA, DICLORIDRATO CLOREXIDINA
DICLORIDRATO DE CLOROQUINA, DICLORIDRATO CLOROQUINA
DICLORIDRATO DE DACLATASVIR, DICLORIDRATO DACLATASVIR
DICLORIDRATO DE DOPEXAMINA, DICLORIDRATO DOPEXAMINA
DICLORIDRATO DE DORASTINA, DICLORIDRATO DORASTINA
DICLORIDRATO DE EMETINA, DICLORIDRATO EMETINA
DICLORIDRATO DE EPRAZINONA, DICLORIDRATO EPRAZINONA
DICLORIDRATO DE ESPECTINOMICINA, DICLORIDRATO ESPECTINOMICINA
DICLORIDRATO DE ESPIROGERMÂNIO, DICLORIDRATO ESPIROGERMANIO
DICLORIDRATO DE ETAMBUTOL, DICLORIDRATO ETAMBUTOL
DICLORIDRATO DE ETILENODICISTEÍNA DIETILÉSTER, DICLORIDRATO ETILENODICISTEINA DIETILESTER
DICLORIDRATO DE FLUFENAZINA, DICLORIDRATO FLUFENAZINA
DICLORIDRATO DE FLUNARIZINA, DICLORIDRATO FLUNARIZINA
DICLORIDRATO DE FLUPENTIXOL, DICLORIDRATO FLUPENTIXOL
DICLORIDRATO DE FLURAZEPAM, DICLORIDRATO FLURAZEPAM
DICLORIDRATO DE HEXOPRENALINA, DICLORIDRATO HEXOPRENALINA
DICLORIDRATO DE HIDROXIZINA, DICLORIDRATO HIDROXIZINA
DICLORIDRATO DE HISTAMINA, DICLORIDRATO HISTAMINA
DICLORIDRATO DE HOMOCLORCICLIZINA, DICLORIDRATO HOMOCLORCICLIZINA
DICLORIDRATO DE HOMOFENAZINA, DICLORIDRATO HOMOFENAZINA
DICLORIDRATO DE LAUROGUADINA MONOIDRATADO, DICLORIDRATO LAUROGUADINA MONOIDRATADO
DICLORIDRATO DE LEVOCETIRIZINA, DICLORIDRATO LEVOCETIRIZINA
DICLORIDRATO DE MANIDIPINO, DICLORIDRATO MANIDIPINO
DICLORIDRATO DE MECLOZINA, DICLORIDRATO MECLOZINA
DICLORIDRATO DE MECLOZINA MONOIDRATADO, DICLORIDRATO MECLOZINA MONOIDRATADO
DICLORIDRATO DE METOCLOPRAMIDA, DICLORIDRATO METOCLOPRAMIDA
DICLORIDRATO DE METOCLOPRAMIDA MONOIDRATADO, DICLORIDRATO METOCLOPRAMIDA MONOIDRATADO
DICLORIDRATO DE MINAPRINA, DICLORIDRATO MINAPRINA
DICLORIDRATO DE MITOXANTRONA, DICLORIDRATO MITOXANTRONA
DICLORIDRATO DE MORFERIDINA, DICLORIDRATO MORFERIDINA
DICLORIDRATO DE OCTENIDINA, DICLORIDRATO OCTENIDINA
DICLORIDRATO DE OPIPRAMOL, DICLORIDRATO OPIPRAMOL
