FIACITABINA, FIACITABINA
FIALURIDINA, FIALURIDINA
FIBRACILINA, FIBRACILINA
FIBRINA, FIBRINA
FIBRINOGÊNIO, FIBRINOGENIO
FIBRINOGÊNIO (125 I), FIBRINOGENIO (125 I)
FIBRINOLISINA, FIBRINOLISINA
FIBRONECTINA, FIBRONECTINA
FIDARESTATE, FIDARESTATE
FIDAXOMICINA, FIDAXOMICINA
FIDUXOSINA, FIDUXOSINA
FIGOPITANTO, FIGOPITANTO
FILAMINASTE, FILAMINASTE
FILENADOL, FILENADOL
FILGRASTIM, FILGRASTIM
FILIPINA, FILIPINA
FILIX MAS, FILIX MAS
FIMASARTANA, FIMASARTANA
FIMASARTANA POTÁSSICA TRI-HIDRATADA, FIMASARTANA POTASSICA TRI-HIDRATADA
FINAFLOXACINO, FINAFLOXACINO
FINASTERIDA, FINASTERIDA
FINGOLIMODE, FINGOLIMODE
FINROZOL, FINROZOL
FIPEXIDA, FIPEXIDA
FISOSTIGMINA, FISOSTIGMINA
FITATO DE CÁLCIO E MAGNÉSIO, FITATO CALCIO E MAGNESIO
FITATO DE SÓDIO, FITATO SODIO
FITATO DE SÓDIO (99M TC), FITATO SODIO (99M TC)
FITOMENADIONA, FITOMENADIONA
