IOBENGUANO (123 I), IOBENGUANO (123 I)
IOBENGUANO (131 I), IOBENGUANO (131 I)
IOBITRIDOL, IOBITRIDOL
IOCARMATO DE MEGLUMINA, IOCARMATO MEGLUMINA
IODAMIDA, IODAMIDA
IODAMIDA MEGLUMINA, IODAMIDA MEGLUMINA
IODAMIDA SÓDICA, IODAMIDA SODICA
IODATO DE CÁLCIO, IODATO CALCIO
IODATO DE POTÁSSIO, IODATO POTASSIO
IODATO DE SÓDIO, IODATO SODIO
IODECIMOL, IODECIMOL
IODETO DE BEPERÍDIO, IODETO BEPERIDIO
IODETO DE BIDIMÁZIO, IODETO BIDIMAZIO
IODETO DE BUTOPIRAMÔNIO, IODETO BUTOPIRAMONIO
IODETO DE CÁLCIO, IODETO CALCIO
IODETO DE DECAMETÔNIO, IODETO DECAMETONIO
IODETO DE DICOLÍNIO, IODETO DICOLINIO
IODETO DE DIMECOLÔNIO, IODETO DIMECOLONIO
IODETO DE DITIAZANINA, IODETO DITIAZANINA
IODETO DE ECOTIOPATO, IODETO ECOTIOPATO
IODETO DE ESTERCURÔNIO, IODETO ESTERCURONIO
IODETO DE ESTILBÁZIO, IODETO ESTILBAZIO
IODETO DE ESTILÔNIO, IODETO ESTILONIO
IODETO DE ETIPÍRIO, IODETO ETIPIRIO
IODETO DE FUBROGÔNIO, IODETO FUBROGONIO
IODETO DE FURTRETÔNIO, IODETO FURTRETONIO
IODETO DE HEXASÔNIO, IODETO HEXASONIO
IODETO DE ISOPROPAMIDA, IODETO ISOPROPAMIDA
IODETO DE MEBEZÔNIO, IODETO MEBEZONIO
IODETO DE MEQUITÂMIO, IODETO MEQUITAMIO
IODETO DE METOCÍNIO, IODETO METOCINIO
IODETO DE OXÁPIO, IODETO OXAPIO
IODETO DE OXAPROPÂNIO, IODETO OXAPROPANIO
IODETO DE OXISÔNIO, IODETO OXISONIO
IODETO DE PIPROCURÁRIO, IODETO PIPROCURARIO
IODETO DE POTÁSSIO, IODETO POTASSIO
IODETO DE PRALIDOXIMA, IODETO PRALIDOXIMA
IODETO DE PRETAMÁZIO, IODETO PRETAMAZIO
IODETO DE PROLÔNIO, IODETO PROLONIO
IODETO DE SÓDIO, IODETO SODIO
IODETO DE SÓDIO (123 I), IODETO SODIO (123 I)
IODETO DE SÓDIO (125 I), IODETO SODIO (125 I)
IODETO DE SÓDIO (131 I), IODETO SODIO (131 I)
IODETO DE SUXAMETÔNIO, IODETO SUXAMETONIO
IODETO DE TIAMETÔNIO, IODETO TIAMETONIO
IODETO DE TIBEZÔNIO, IODETO TIBEZONIO
IODETO DE TIEMÔNIO, IODETO TIEMONIO
IODETO DE TIMOL, IODETO TIMOL
IODETO DE TREPÍRIO, IODETO TREPIRIO
IODETO DE TRIDIEXETILA, IODETO TRIDIEXETILA
IODETO DE TRUXICÚRIO, IODETO TRUXICURIO
IODETO DE TRUXIPICÚRIO, IODETO TRUXIPICURIO
IODETO FERROSO, IODETO FERROSO
IODETO SÓDICO DE BISMUTO, IODETO SODICO BISMUTO
IODETRILA, IODETRILA
IODIPAMIDA SÓDICA (131 I), IODIPAMIDA SODICA (131 I)
IODIXANOL, IODIXANOL
IODO, IODO
IODOCOLESTEROL (131 I), IODOCOLESTEROL (131 I)
IODOFENAZONA (131 I), IODOFENAZONA (131 I)
IODOFÓRMIO, IODOFORMIO
IODOFORMUM , IODOFORMUM
IODOFTALEÍNA SÓDICA, IODOFTALEINA SODICA
IODOIPURATO DE SÓDIO (123 I), IODOIPURATO SODIO (123 I)
IODOIPURATO DE SÓDIO (125 I), IODOIPURATO SODIO (125 I)
IODOIPURATO DE SÓDIO (131 I), IODOIPURATO SODIO (131 I)
IODOPIRACETE (125 I), IODOPIRACETE (125 I)
IODOPIRACETE (131 I), IODOPIRACETE (131 I)
IODOPLATINATO POTÁSSICO, IODOPLATINATO POTASSICO
IODOPLATINATO SÓDICO, IODOPLATINATO SODICO
IODOPOVIDONA, IODOPOVIDONA
IODOPROPILIDENOGLICEROL, IODOPROPILIDENOGLICEROL
IODOTIOURACILA, IODOTIOURACILA
IODUM   , IODUM
IOEXOL, IOEXOL
IOFENDILATO, IOFENDILATO
IOFETAMINA (123 I), IOFETAMINA (123 I)
IOFLUPANO (123 I), IOFLUPANO (123 I)
IOGLICAMATO DE MEGLUMINA, IOGLICAMATO MEGLUMINA
IOGLUCOL, IOGLUCOL
IOGLUCOMIDA, IOGLUCOMIDA
IOGLUNIDA, IOGLUNIDA
IOIMBINA, IOIMBINA
IOLOPRIDA (123 I), IOLOPRIDA (123 I)
IOMAZENIL (123 I), IOMAZENIL (123 I)
IOMEPROL, IOMEPROL
IOMETINA (125 I), IOMETINA (125 I)
IOMETINA (131 I), IOMETINA (131 I)
IOMETOPANO (123 I), IOMETOPANO (123 I)
IOPAMIDOL, IOPAMIDOL
IOPENTOL, IOPENTOL
IOPIDOL, IOPIDOL
IOPIDONA, IOPIDONA
IOPODATO DE SÓDIO, IOPODATO SODIO
IOPROMIDA, IOPROMIDA
IOSARCOL, IOSARCOL
IOSIMIDA, IOSIMIDA
IOSULAMIDA, IOSULAMIDA
IOTALAMATO DE MEGLUMINA, IOTALAMATO MEGLUMINA
IOTALAMATO DE SÓDIO (125 I), IOTALAMATO SODIO (125 I)
IOTALAMATO DE SÓDIO (131 I), IOTALAMATO SODIO (131 I)
IOTASSUL, IOTASSUL
IOTIROSINA (131 I), IOTIROSINA (131 I)
IOTRISIDA, IOTRISIDA
IOTROLANA, IOTROLANA
IOTROXATO DE MEGLUMINA, IOTROXATO MEGLUMINA
IOVERSOL, IOVERSOL
IOXAGLATO DE MEGLUMINA , IOXAGLATO MEGLUMINA
IOXAGLATO DE SÓDIO, IOXAGLATO SODIO
IOXILANA, IOXILANA
IOXITALAMATO DE MEGLUMINA, IOXITALAMATO MEGLUMINA
IOXITALAMATO DE MEGLUMINA E SÓDIO, IOXITALAMATO MEGLUMINA E SODIO
IOXITALAMATO DE SÓDIO, IOXITALAMATO SODIO
