KALI ACETICUM, KALI ACETICUM
KALI ARSENICOSUM , KALI ARSENICOSUM
KALI BICHROMICUM    , KALI BICHROMICUM
KALI BROMATUM   , KALI BROMATUM
KALI CARBONICUM , KALI CARBONICUM
KALI CHLORATUM, KALI CHLORATUM
KALI CHLORICUM     , KALI CHLORICUM
KALI CHROMICUM, KALI CHROMICUM
KALI CYANATUM , KALI CYANATUM
KALI FERROCYANATUM, KALI FERROCYANATUM
KALI IODATUM    , KALI IODATUM
KALI MURIATICUM , KALI MURIATICUM
KALI OXALICUM, KALI OXALICUM
KALI PHOSPHORICUM , KALI PHOSPHORICUM
KALI SULPHURICUM , KALI SULPHURICUM
KALMIA LATIFOLIA  , KALMIA LATIFOLIA
