MABUPROFENO, MABUPROFENO
MABUTEROL, MABUTEROL
MACITENTANA, MACITENTANA
MACROAGREGADO DE ALBUMINA, MACROAGREGADO ALBUMINA
MACROGOL, MACROGOL
MACROSALBE (131 I), MACROSALBE (131 I)
MACROSALBE (99M TC), MACROSALBE (99M TC)
MADURAMICINA, MADURAMICINA
MAFENIDA, MAFENIDA
MAFOPRAZINA, MAFOPRAZINA
MAFOSFAMIDA, MAFOSFAMIDA
MAGALDRATO, MAGALDRATO
MAGNESIA CARBONICA, MAGNESIA CARBONICA
MAGNESIA MURIATICA, MAGNESIA MURIATICA
MAGNESIA OXYDATA, MAGNESIA OXYDATA
MAGNESIA PHOSPHORICA         , MAGNESIA PHOSPHORICA
MAGNESIA SULPHURICA, MAGNESIA SULPHURICA
MAGNOLIA GLAUCA, MAGNOLIA GLAUCA
MAITANSINA, MAITANSINA
MALATO DE CITRULINA, MALATO CITRULINA
MALATO DE CLEBOPRIDA, MALATO CLEBOPRIDA
MALATO DE NAFOMINA, MALATO NAFOMINA
MALATO DE PIZOTIFENO, MALATO PIZOTIFENO
MALATO DE SUNITINIBE, MALATO SUNITINIBE
MALEATO DE ACEPROMAZINA, MALEATO ACEPROMAZINA
MALEATO DE ADAPROLOL, MALEATO ADAPROLOL
MALEATO DE ANLODIPINO, MALEATO ANLODIPINO
MALEATO DE APTAZAPINA, MALEATO APTAZAPINA
MALEATO DE ASENAPINA, MALEATO ASENAPINA
MALEATO DE AZANATOR, MALEATO AZANATOR
MALEATO DE BRONFENIRAMINA, MALEATO BRONFENIRAMINA
MALEATO DE CARBINOXAMINA, MALEATO CARBINOXAMINA
MALEATO DE CARPIPRAMINA, MALEATO CARPIPRAMINA
MALEATO DE CICLIRAMINA, MALEATO CICLIRAMINA
MALEATO DE CINEPAZETE, MALEATO CINEPAZETE
MALEATO DE CINEPAZIDA, MALEATO CINEPAZIDA
MALEATO DE CIPRALISANTO, MALEATO CIPRALISANTO
MALEATO DE CLENTIAZEM, MALEATO CLENTIAZEM
MALEATO DE CLORFENIRAMINA, MALEATO CLORFENIRAMINA
MALEATO DE DAZADROL, MALEATO DAZADROL
MALEATO DE DEXBRONFENIRAMINA, MALEATO DEXBRONFENIRAMINA
MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA
MALEATO DE DIMETINDENO, MALEATO DIMETINDENO
MALEATO DE DIZOCILPINA, MALEATO DIZOCILPINA
MALEATO DE DOMPERIDONA, MALEATO DOMPERIDONA
MALEATO DE ECLANAMINA, MALEATO ECLANAMINA
MALEATO DE ENALAPRIL, MALEATO ENALAPRIL
MALEATO DE ERGOMETRINA, MALEATO ERGOMETRINA
MALEATO DE FENIRAMINA, MALEATO FENIRAMINA
MALEATO DE FLAVODILOL, MALEATO FLAVODILOL
MALEATO DE FLUPIRTINA, MALEATO FLUPIRTINA
MALEATO DE FLUVOXAMINA, MALEATO FLUVOXAMINA
MALEATO DE INDACATEROL, MALEATO INDACATEROL
MALEATO DE LEVOMEPROMAZINA, MALEATO LEVOMEPROMAZINA
MALEATO DE LISURIDA, MALEATO LISURIDA
MALEATO DE MEPIRAMINA, MALEATO MEPIRAMINA
MALEATO DE METILERGOMETRINA, MALEATO METILERGOMETRINA
MALEATO DE METOPROMAZINA, MALEATO METOPROMAZINA
MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM
MALEATO DE NELEZAPRINA, MALEATO NELEZAPRINA
MALEATO DE NOMIFENSINA, MALEATO NOMIFENSINA
MALEATO DE PAROXETINA, MALEATO PAROXETINA
MALEATO DE PENTIAPINA, MALEATO PENTIAPINA
MALEATO DE PEREXILINA, MALEATO PEREXILINA
MALEATO DE PIMETIXENO, MALEATO PIMETIXENO
MALEATO DE PIPERAMIDA, MALEATO PIPERAMIDA
MALEATO DE PRAVADOLINA, MALEATO PRAVADOLINA
MALEATO DE QUIPAZINA, MALEATO QUIPAZINA
MALEATO DE ROSIGLITAZONA, MALEATO ROSIGLITAZONA
MALEATO DE SERGOLEXOL, MALEATO SERGOLEXOL
MALEATO DE SURICAINIDA, MALEATO SURICAINIDA
MALEATO DE SURONACRINA, MALEATO SURONACRINA
MALEATO DE TEGASERODE, MALEATO TEGASERODE
MALEATO DE TIMOLOL, MALEATO TIMOLOL
MALEATO DE TRIMEBUTINA, MALEATO TRIMEBUTINA
MALEATO DE TRIMIPRAMINA, MALEATO TRIMIPRAMINA
MALEATO DE TRIPELENAMINA, MALEATO TRIPELENAMINA
MALEATO DE VELNACRINA, MALEATO VELNACRINA
MALEATO DE ZATOSETRONA, MALEATO ZATOSETRONA
MALEATO HIDROGENADO DE METISERGIDA, MALEATO HIDROGENADO METISERGIDA
MALEILSULFATIAZOL, MALEILSULFATIAZOL
MALETÂMER, MALETAMER
MALOTILATO, MALOTILATO
MALTITOL, MALTITOL
MALTOL, MALTOL
MALTOSE, MALTOSE
MALVA SYLVESTRIS L., MALVA SYLVESTRIS L.
MANDELATO DE METENAMINA, MANDELATO METENAMINA
MANDRAGORA OFFICINARUM , MANDRAGORA OFFICINARUM
MANGAFODIPIR, MANGAFODIPIR
MANGANUM ACETICUM , MANGANUM ACETICUM
MANGANUM METALLICUM, MANGANUM METALLICUM
MANGANUM SULPHURICUM, MANGANUM SULPHURICUM
MANIDIPINO, MANIDIPINO
MANIFAXINA, MANIFAXINA
MANITOL, MANITOL
MANOMUSTINA, MANOMUSTINA
MANOSSULFANO, MANOSSULFANO
MANOZODIL, MANOZODIL
MAPINASTINA, MAPINASTINA
MAPROTILINA, MAPROTILINA
MARAVIROQUE, MARAVIROQUE
MARBOFLOXACINO, MARBOFLOXACINO
MARIBAVIR, MARIBAVIR
MARIDOMICINA, MARIDOMICINA
MARIMASTATE, MARIMASTATE
MARIPTILINA, MARIPTILINA
MAROXEPINA, MAROXEPINA
MARSDENIA CUNDURANGO RCHB. F., MARSDENIA CUNDURANGO RCHB. F.
MASOPROCOL, MASOPROCOL
MATRICARIA CHAMOMILLA , MATRICARIA CHAMOMILLA
MATRICARIA CHAMOMILLA L., MATRICARIA CHAMOMILLA L.
MATRICARIA RECUTITA L., MATRICARIA RECUTITA L.
MAXACALCITOL, MAXACALCITOL
MAYTENUS AQUIFOLIA MART., MAYTENUS AQUIFOLIA MART.
MAYTENUS ILICIFOLIA MART. EX REISSEK, MAYTENUS ILICIFOLIA MART. EX REISSEK
MAZAPERTINA, MAZAPERTINA
MAZATICOL, MAZATICOL
MAZINDOL, MAZINDOL
MAZIPREDONA, MAZIPREDONA
MAZOCALIM, MAZOCALIM
