PIBAXIZINA, PIBAXIZINA
PIBECARBE, PIBECARBE
PIBERALINA, PIBERALINA
PIBOSERODE, PIBOSERODE
PIBROZELESINA, PIBROZELESINA
PIBUTIDINA, PIBUTIDINA
PICAFIBRATO, PICAFIBRATO
PICARTAMIDA, PICARTAMIDA
PICENADOL, PICENADOL
PICETOPROFENO, PICETOPROFENO
PICILOREX, PICILOREX
PICLAMILASTE, PICLAMILASTE
PICLONIDINA, PICLONIDINA
PICLOPASTINA, PICLOPASTINA
PICLOXIDINA, PICLOXIDINA
PICOBENZIDA, PICOBENZIDA
PICODRALAZINA, PICODRALAZINA
PICOFOSFATO DE SÓDIO, PICOFOSFATO SODIO
PICOLAMINA, PICOLAMINA
PICOLINATO DE CROMO, PICOLINATO CROMO
PICONOL, PICONOL
PICOPERINA, PICOPERINA
PICOPRAZOL, PICOPRAZOL
PICOSSULFATO DE SÓDIO, PICOSSULFATO SODIO
PICOSSULFATO DE SÓDIO MONOIDRATADO, PICOSSULFATO SODIO MONOIDRATADO
PICOTRINA, PICOTRINA
PICRASMA EXCELSA (SW.) PLANCH., PICRASMA EXCELSA (SW.) PLANCH.
PICRATO DE BUTAMBENO, PICRATO BUTAMBENO
PICROTOXINA, PICROTOXINA
PICUMASTE, PICUMASTE
PICUMETEROL, PICUMETEROL
PIDOBENZONA, PIDOBENZONA
PIDOLACETAMOL, PIDOLACETAMOL
PIDOLATO DE ARGININA, PIDOLATO ARGININA
PIDOLATO DE MAGNÉSIO, PIDOLATO MAGNESIO
PIDOLATO DE PIRIDOXINA, PIDOLATO PIRIDOXINA
PIDOLATO DE SÓDIO, PIDOLATO SODIO
PIDOTIMODE, PIDOTIMODE
PIFARNINA, PIFARNINA
PIFENATO, PIFENATO
PIFONAQUINA, PIFONAQUINA
PIFOXIMA, PIFOXIMA
PILDRALAZINA, PILDRALAZINA
PILOCARPINA, PILOCARPINA
PILOCARPINUM MURIATICUM , PILOCARPINUM MURIATICUM
PILSICAINIDA, PILSICAINIDA
PIMAGEDINA, PIMAGEDINA
PIMECLONA, PIMECLONA
PIMECROLIMO, PIMECROLIMO
PIMEFILINA, PIMEFILINA
PIMELAUTIDA, PIMELAUTIDA
PIMETACINA, PIMETACINA
PIMETINA, PIMETINA
PIMETIXENO, PIMETIXENO
PIMETREMIDA, PIMETREMIDA
PIMILPROSTA, PIMILPROSTA
PIMINODINA, PIMINODINA
PIMOBENDANA, PIMOBENDANA
PIMONIDAZOL, PIMONIDAZOL
PIMOZIDA, PIMOZIDA
PIMPINELLA ANISUM L. , PIMPINELLA ANISUM L.
PINACIDIL, PINACIDIL
PINADOLINA, PINADOLINA
PINAFIDA, PINAFIDA
PINAZEPAM, PINAZEPAM
PINCAINIDA, PINCAINIDA
PINDOLOL, PINDOLOL
PINOCALANTO, PINOCALANTO
PINOLCAÍNA, PINOLCAINA
PINOXEPINA, PINOXEPINA
PINTUMOMABE (99M TC), PINTUMOMABE (99M TC)
PINUS PINASTER AITON, PINUS PINASTER AITON
PIOGLITAZONA, PIOGLITAZONA
PIPACICLINA, PIPACICLINA
PIPAMAZINA, PIPAMAZINA
PIPAMPERONA, PIPAMPERONA
PIPAZETATO, PIPAZETATO
PIPEBUZONA, PIPEBUZONA
PIPENDOXIFENO, PIPENDOXIFENO
PIPENZOLATO, PIPENZOLATO
PIPEQUALINA, PIPEQUALINA
PIPER METHYSTICUM , PIPER METHYSTICUM
PIPER METHYSTICUM G. FORST. , PIPER METHYSTICUM G. FORST.
PIPER NIGRUM, PIPER NIGRUM
PIPERACETAZINA, PIPERACETAZINA
PIPERACILINA, PIPERACILINA
PIPERACILINA SÓDICA, PIPERACILINA SODICA
PIPERAMIDA, PIPERAMIDA
PIPERAQUINA, PIPERAQUINA
PIPERAZINA, PIPERAZINA
PIPERAZINA HEXAIDRATADA, PIPERAZINA HEXAIDRATADA
PIPERIDINA, PIPERIDINA
PIPERIDOLATO, PIPERIDOLATO
PIPERILONA, PIPERILONA
PIPEROCAÍNA, PIPEROCAINA
PIPERONAL, PIPERONAL
PIPEROXANO, PIPEROXANO
PIPETANATO, PIPETANATO
PIPOBROMANA, PIPOBROMANA
PIPOCTANONA, PIPOCTANONA
PIPOFEZINA, PIPOFEZINA
PIPOSSULFANO, PIPOSSULFANO
PIPOTIAZINA, PIPOTIAZINA
PIPOXIZINA, PIPOXIZINA
PIPOXOLANA, PIPOXOLANA
PIPRADIMADOL, PIPRADIMADOL
PIPRADROL, PIPRADROL
PIPRATECOL, PIPRATECOL
PIPRINIDRINATO, PIPRINIDRINATO
PIPROFUROL, PIPROFUROL
PIPROZOLINA, PIPROZOLINA
PIQUINDONA, PIQUINDONA
PIQUIZILA, PIQUIZILA
PIRACETAM, PIRACETAM
PIRANDAMINA, PIRANDAMINA
PIRANTEL, PIRANTEL
PIRARRUBICINA, PIRARRUBICINA
PIRAXELATO, PIRAXELATO
PIRAZINAMIDA, PIRAZINAMIDA
PIRAZMONAM, PIRAZMONAM
PIRAZOFURINA, PIRAZOFURINA
PIRAZOLACO, PIRAZOLACO
PIRBENICILINA, PIRBENICILINA
PIRBUTEROL, PIRBUTEROL
PIREMPERONA, PIREMPERONA
PIRENOXINA, PIRENOXINA
PIRENOXINA SÓDICA, PIRENOXINA SODICA
PIRENZEPINA, PIRENZEPINA
PIREPOLOL, PIREPOLOL
PIRETANIDA, PIRETANIDA
PIRFENIDONA, PIRFENIDONA
PIRIBEDIL, PIRIBEDIL
PIRICARBATO, PIRICARBATO
PIRIDICILINA, PIRIDICILINA
PIRIDOCAÍNA, PIRIDOCAINA
PIRIDOFILINA, PIRIDOFILINA
PIRIDOSTIGMINA, PIRIDOSTIGMINA
PIRIDOXAL, PIRIDOXAL
PIRIDOXILATO, PIRIDOXILATO
PIRIDOXINA, PIRIDOXINA
PIRIFIBRATO, PIRIFIBRATO
PIRIMETAMINA, PIRIMETAMINA
PIRIMITATO, PIRIMITATO
PIRINIDAZOL, PIRINIDAZOL
PIRINIXILA, PIRINIXILA
PIRINOLINA, PIRINOLINA
PIRIPROSTA, PIRIPROSTA
PIRIQUALONA, PIRIQUALONA
PIRISSUDANOL, PIRISSUDANOL
PIRITILDIONA, PIRITILDIONA
PIRITINOL, PIRITINOL
PIRITIONA, PIRITIONA
PIRITIONA SÓDICA, PIRITIONA SODICA
PIRITIONA ZÍNCICA, PIRITIONA ZINCICA
PIRITRAMIDA, PIRITRAMIDA
PIRITREXIM, PIRITREXIM
PIRLIMICINA, PIRLIMICINA
PIRLINDOL, PIRLINDOL
PIRMAGREL, PIRMAGREL
PIRMENOL, PIRMENOL
PIRNABINA, PIRNABINA
