PLAFIBRIDA, PLAFIBRIDA
PLANTAGO MAJOR , PLANTAGO MAJOR
PLANTAGO MAJOR L., PLANTAGO MAJOR L.
PLANTAGO OVATA FORSSK.   , PLANTAGO OVATA FORSSK.
PLANTAGO PSYLLIUM L. , PLANTAGO PSYLLIUM L.
PLASMINOGÊNIO, PLASMINOGENIO
PLATINUM METALLICUM , PLATINUM METALLICUM
PLATINUM MURIATICUM, PLATINUM MURIATICUM
PLAUNOTOL, PLAUNOTOL
PLAURACINA, PLAURACINA
PLECONARILA, PLECONARILA
PLECTRANTHUS BARBATUS ANDREWS, PLECTRANTHUS BARBATUS ANDREWS
PLERIXAFOR, PLERIXAFOR
PLEUROMULINA, PLEUROMULINA
PLICAMICINA, PLICAMICINA
PLOMESTANO, PLOMESTANO
PLUMBUM ACETICUM, PLUMBUM ACETICUM
PLUMBUM CARBONICUM, PLUMBUM CARBONICUM
PLUMBUM CHROMICUM, PLUMBUM CHROMICUM
PLUMBUM IODATUM, PLUMBUM IODATUM
PLUMBUM METALLICUM , PLUMBUM METALLICUM
PLUSONERMINA, PLUSONERMINA
