RABEPRAZOL, RABEPRAZOL
RABEPRAZOL SÓDICO, RABEPRAZOL SODICO
RACEALFATOCOFEROL, RACEALFATOCOFEROL
RACECADOTRILA, RACECADOTRILA
RACECARNITINA, RACECARNITINA
RACEFEDRINA, RACEFEDRINA
RACEFEMINA, RACEFEMINA
RACEFENICOL, RACEFENICOL
RACEIDROXIDELTATETRAIDROCANABINOL, RACEIDROXIDELTATETRAIDROCANABINOL
RACEMANITOL, RACEMANITOL
RACEMETANFETAMINA, RACEMETANFETAMINA
RACEMETIONINA, RACEMETIONINA
RACEMETIROSINA, RACEMETIROSINA
RACEMETORFANO, RACEMETORFANO
RACEMORAMIDA, RACEMORAMIDA
RACEMORFANO, RACEMORFANO
RACENORCARBOXIDELTATETRAIDROCANABINOL, RACENORCARBOXIDELTATETRAIDROCANABINOL
RACEPIDOLATO DE SÓDIO, RACEPIDOLATO SODIO
RACEPINEFRINA, RACEPINEFRINA
RACEPROPILEXEDRINA, RACEPROPILEXEDRINA
RACEVALINA, RACEVALINA
RACLOPRIDA, RACLOPRIDA
RACLOPRIDA (11 C), RACLOPRIDA (11 C)
RACOTUMOMABE, RACOTUMOMABE
RACTOPAMINA, RACTOPAMINA
RADOLMIDINA, RADOLMIDINA
RAFOXANIDA, RAFOXANIDA
RAGAGLITAZAR, RAGAGLITAZAR
RALITOLINA, RALITOLINA
RALOXIFENO, RALOXIFENO
RALTEGRAVIR, RALTEGRAVIR
RALTEGRAVIR POTÁSSICO , RALTEGRAVIR POTASSICO
RALTITREXEDE, RALTITREXEDE
RAMELTEONA, RAMELTEONA
RAMIFENAZONA, RAMIFENAZONA
RAMIPRIL, RAMIPRIL
RAMIPRILATE, RAMIPRILATE
RAMIXOTIDINA, RAMIXOTIDINA
RAMNODIGINA, RAMNODIGINA
RAMNOSE, RAMNOSE
RAMOPLANINA, RAMOPLANINA
RAMPIRNASE, RAMPIRNASE
RAMUCIRUMABE, RAMUCIRUMABE
RANCICLANO, RANCICLANO
RANELATO DE ESTRÔNCIO, RANELATO ESTRONCIO
RANIBIZUMABE, RANIBIZUMABE
RANIMICINA, RANIMICINA
RANIMUSTINA, RANIMUSTINA
RANITIDINA, RANITIDINA
RANOLAZINA, RANOLAZINA
RANUNCULUS BULBOSUS  , RANUNCULUS BULBOSUS
RAPHANUS SATIVUS , RAPHANUS SATIVUS
RASAGILINA, RASAGILINA
RASBURICASE, RASBURICASE
RATANHIA , RATANHIA
RATIRONINA, RATIRONINA
RAUBASINA, RAUBASINA
RAUVOLFIA SERPENTINA (L.) BENTH. EX KURZ, RAUVOLFIA SERPENTINA (L.) BENTH. EX KURZ
RAUWOLFIA SERPENTINA , RAUWOLFIA SERPENTINA
RAVUCONAZOL, RAVUCONAZOL
RAZINODIL, RAZINODIL
RAZOBAZAM, RAZOBAZAM
RAZOXANO, RAZOXANO
