ROBALZOTANA, ROBALZOTANA
ROBENIDINA, ROBENIDINA
ROBINIA PSEUDOACACIA , ROBINIA PSEUDOACACIA
ROCASTINA, ROCASTINA
ROCEFAPANTO, ROCEFAPANTO
ROCICLOVIR, ROCICLOVIR
ROCITAMICINA, ROCITAMICINA
ROCIVERINA, ROCIVERINA
ROCURÔNIO , ROCURONIO
RODOCAÍNA, RODOCAINA
RODORRUBICINA, RODORRUBICINA
ROFECOXIBE, ROFECOXIBE
ROFELODINA, ROFELODINA
ROFLEPONIDA, ROFLEPONIDA
ROFLUMILASTE, ROFLUMILASTE
ROFLURANO, ROFLURANO
ROGLETIMIDA, ROGLETIMIDA
ROLAFAGREL, ROLAFAGREL
ROLETAMIDA, ROLETAMIDA
ROLGAMIDINA, ROLGAMIDINA
ROLICICLIDINA, ROLICICLIDINA
ROLICIPRINA, ROLICIPRINA
ROLIPRAM, ROLIPRAM
ROLITETRACICLINA, ROLITETRACICLINA
ROLODINA, ROLODINA
ROLZIRACETAM, ROLZIRACETAM
ROMAZARITE, ROMAZARITE
ROMIFENONA, ROMIFENONA
ROMIFIDINA, ROMIFIDINA
ROMIPLOSTIM, ROMIPLOSTIM
ROMURTIDA, ROMURTIDA
RONACTOLOL, RONACTOLOL
RONIDAZOL, RONIDAZOL
RONIFIBRATO, RONIFIBRATO
RONIPAMIL, RONIPAMIL
ROPINIROL, ROPINIROL
ROPITOÍNA, ROPITOINA
ROPIVACAÍNA, ROPIVACAINA
ROPIZINA, ROPIZINA
ROQUINIMEX, ROQUINIMEX
RORIPPA NASTURTIUM-AQUATICUM (L.) HAYEK , RORIPPA NASTURTIUM-AQUATICUM (L.) HAYEK
ROSA BENGALA DISSÓDICA (125 I), ROSA BENGALA DISSODICA (125 I)
ROSA BENGALA SÓDICA (131 I), ROSA BENGALA SODICA (131 I)
ROSAPROSTOL, ROSAPROSTOL
ROSARAMICINA, ROSARAMICINA
ROSIGLITAZONA, ROSIGLITAZONA
ROSMARINUS OFFICINALIS , ROSMARINUS OFFICINALIS
ROSMARINUS OFFICINALIS L., ROSMARINUS OFFICINALIS L.
ROSOXACINO, ROSOXACINO
ROSTAPORFINA, ROSTAPORFINA
ROSTEROLONA, ROSTEROLONA
ROSUVASTATINA, ROSUVASTATINA
ROSUVASTATINA CÁLCICA, ROSUVASTATINA CALCICA
ROTAMICILINA, ROTAMICILINA
ROTIGOTINA, ROTIGOTINA
ROTOXAMINA, ROTOXAMINA
ROTRAXATO, ROTRAXATO
ROVELIZUMABE, ROVELIZUMABE
ROXADIMATO, ROXADIMATO
ROXARSONA, ROXARSONA
ROXATIDINA, ROXATIDINA
ROXIBOLONA, ROXIBOLONA
ROXIFIBANA, ROXIFIBANA
ROXINDOL, ROXINDOL
ROXITROMICINA, ROXITROMICINA
ROXOPERONA, ROXOPERONA
