STANNUM IODATUM , STANNUM IODATUM
STANNUM METALLICUM , STANNUM METALLICUM
STAPHYSAGRIA  , STAPHYSAGRIA
STELLARIA MEDIA , STELLARIA MEDIA
STERCULIA ACUMINATA , STERCULIA ACUMINATA
STICTA PULMONARIA , STICTA PULMONARIA
STIGMATA MAYDIS , STIGMATA MAYDIS
STRAMONIUM  , STRAMONIUM
STRONTIUM CARBONICUM , STRONTIUM CARBONICUM
STROPHANTHUS HISPIDUS  , STROPHANTHUS HISPIDUS
STRYCHININUM SULFURICUM , STRYCHININUM SULFURICUM
STRYCHNOS IGNATII, STRYCHNOS IGNATII
STRYCHNOS NUX-VOMICA L., STRYCHNOS NUX-VOMICA L.
STRYPHNODENDRON ADSTRINGENS (MART.) COVILLE, STRYPHNODENDRON ADSTRINGENS (MART.) COVILLE
STYRAX BENZOIN DRYAND., STYRAX BENZOIN DRYAND.
STYRAX BENZOIN DRYAND., STYRAX BENZOIN DRYAND.
