TABACUM  , TABACUM
TABILAUTIDA, TABILAUTIDA
TABIMORRELINA, TABIMORRELINA
TACALCITOL, TACALCITOL
TACATUZUMABE (90 Y), TACATUZUMABE (90 Y)
TACATUZUMABE TETRAXETANA (90 Y), TACATUZUMABE TETRAXETANA (90 Y)
TACRINA, TACRINA
TACROLIMO, TACROLIMO
TACROLIMO MONOIDRATADO , TACROLIMO MONOIDRATADO
TADALAFILA, TADALAFILA
TAFAMIDIS, TAFAMIDIS
TAFAMIDIS MEGLUMINA, TAFAMIDIS MEGLUMINA
TAFENOQUINA, TAFENOQUINA
TAFLUPOSÍDEO, TAFLUPOSIDEO
TAFLUPROSTA, TAFLUPROSTA
TAFOXIPARINA SÓDICA, TAFOXIPARINA SODICA
TAGLUTIMIDA, TAGLUTIMIDA
TAGORIZINA, TAGORIZINA
TALAMPANEL, TALAMPANEL
TALAMPICILINA, TALAMPICILINA
TALAPORFINA, TALAPORFINA
TALASTINA, TALASTINA
TALBUTAL, TALBUTAL
TALCO, TALCO
TALERANOL, TALERANOL
TALIDOMIDA, TALIDOMIDA
TALIMOGENO LAERPAREPEVEQUE, TALIMOGENO LAERPAREPEVEQUE
TALINOLOL, TALINOLOL
TALIPEXOL, TALIPEXOL
TALISOMICINA, TALISOMICINA
TALMETACINA, TALMETACINA
TALMETOPRIMA, TALMETOPRIMA
TALNETANTO, TALNETANTO
TALNIFLUMATO, TALNIFLUMATO
TALOPRAM, TALOPRAM
TALOSALATO, TALOSALATO
TALOXIMINA, TALOXIMINA
TALSACLIDINA, TALSACLIDINA
TALSUPRAM, TALSUPRAM
TALTRIMIDA, TALTRIMIDA
TAMARINDUS INDICA L. , TAMARINDUS INDICA L.
TAMERIDONA, TAMERIDONA
TAMETICILINA, TAMETICILINA
TAMETRALINA, TAMETRALINA
TAMITINOL, TAMITINOL
TAMOXIFENO, TAMOXIFENO
TAMPRAMINA, TAMPRAMINA
TANACETUM PARTHENIUM (L.) SCH.BIP., TANACETUM PARTHENIUM (L.) SCH.BIP.
TANACETUM VULGARE  , TANACETUM VULGARE
TANATO DE ANFETAMINA, TANATO ANFETAMINA
TANATO DE DEXANFETAMINA, TANATO DEXANFETAMINA
TANATO DE EFEDRINA, TANATO EFEDRINA
TANATO DE FENILEFRINA, TANATO FENILEFRINA
TANATO DE MEPIRAMINA, TANATO MEPIRAMINA
TANATO DE PENTOXIVERINA, TANATO PENTOXIVERINA
TANDAMINA, TANDAMINA
TANDOSPIRONA, TANDOSPIRONA
TANINO, TANINO
TANIPLONA, TANIPLONA
TANOMASTATE, TANOMASTATE
TANSULOSINA, TANSULOSINA
TAPENTADOL, TAPENTADOL
TAPLITUMOMABE PAPTOX, TAPLITUMOMABE PAPTOX
TAPROSTENO, TAPROSTENO
TARAXACUM OFFICINALE , TARAXACUM OFFICINALE
TARAXACUM OFFICINALE F.H. WIGG., TARAXACUM OFFICINALE F.H. WIGG.
TARENTULA CUBENSIS, TARENTULA CUBENSIS
TARENTULA HISPANICA, TARENTULA HISPANICA
TARTARATO DE ALIMEMAZINA, TARTARATO ALIMEMAZINA
TARTARATO DE ALTANSERINA, TARTARATO ALTANSERINA
TARTARATO DE ANTIMÔNIO E POTÁSSIO, TARTARATO ANTIMONIO E POTASSIO
TARTARATO DE ANTIMÔNIO E SÓDIO, TARTARATO ANTIMONIO E SODIO
TARTARATO DE BISMUTO E SÓDIO, TARTARATO BISMUTO E SODIO
TARTARATO DE BUTORFANOL, TARTARATO BUTORFANOL
TARTARATO DE CARBINOXAMINA, TARTARATO CARBINOXAMINA
TARTARATO DE DI-HIDROERGOTAMINA, TARTARATO DI-HIDROERGOTAMINA
TARTARATO DE ERGOMETRINA, TARTARATO ERGOMETRINA
TARTARATO DE ERGOTAMINA, TARTARATO ERGOTAMINA
TARTARATO DE FENOMORFANO, TARTARATO FENOMORFANO
TARTARATO DE FOLCODINA, TARTARATO FOLCODINA
TARTARATO DE HEXAMETÔNIO, TARTARATO HEXAMETONIO
TARTARATO DE HIDROXIPIRIDINA, TARTARATO HIDROXIPIRIDINA
TARTARATO DE IFEMPRODIL, TARTARATO IFEMPRODIL
TARTARATO DE LASOFOXIFENO, TARTARATO LASOFOXIFENO
