UNCARIA TOMENTOSA (WILLD. EX ROEM. & SCHULT.) DC. , UNCARIA TOMENTOSA (WILLD. EX ROEM. & SCHULT.) DC.
UNDECILATO DE CLEMIZOL, UNDECILATO CLEMIZOL
UNDECILATO DE ESTRADIOL, UNDECILATO ESTRADIOL
UNDECILATO DE TESTOSTERONA, UNDECILATO TESTOSTERONA
UNDECILENATO DE BOLDENONA, UNDECILENATO BOLDENONA
UNDECILENATO DE NEOMICINA, UNDECILENATO NEOMICINA
UNDECILENATO DE PIPOTIAZINA, UNDECILENATO PIPOTIAZINA
UNDECILENATO DE SÓDIO, UNDECILENATO SODIO
UNDECILENATO DE ZINCO, UNDECILENATO ZINCO
UNOPROSTONA, UNOPROSTONA
