76261, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 42, MD7
61925, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 40 MG x 28, MD7
76262, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 42, MD7
61922, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 20 MG x 28, MD7
61924, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 40 MG x 14, MD7
61921, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 20 MG x 14, MD7
61923, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 40 MG x 7, MD7
61920, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 20 MG x 7, MD7
115562, PARACET+CAFEINA MG , PARACET CAFEINA, NOT FOUND, CPR REVEST x 20, MD7
58309, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 200 MG 15 ML x 1 (/ML), MD7
78029, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, GOTAS 100 MG 15 ML x 1 (/ML), MD7
58140, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, MD7
58141, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, MD7
68584, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR REVEST 750 MG x 100, MD7
78030, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, SUSP ORAL 32 MG 60 ML x 1 (/ML), MD7
8078, PARENZYME , PARENZYME, NOT FOUND, DRAG x 16, MD7
30595, PARENZYME AMPICILI , PARENZYME AMPICILI, NOT FOUND, CAPS 500 MG x 8, MD7
31028, PARENZYME AMPICILI , PARENZYME AMPICILI, NOT FOUND, CAPS 500 MG x 16, MD7
8079, PARENZYME ANALGESI , PARENZYME ANALGESI, NOT FOUND, DRAG ENTERIC 300 MG x 18, MD7
51707, PARENZYME TETRACIC , PARENZYME TETRACIC, NOT FOUND, CAPS 500 MG x 8, MD7
79000, PENTOXIFILINA MG , PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 30, MD7
68055, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 10, MD7
68056, PIROXICAM MG , PIROXICAM, PIROXICAM, CAPS 20 MG x 15, MD7
53153, PLENTY , PLENTY, NOT FOUND, CAPS 10 MG x 30, MD7
54491, PLENTY , PLENTY, NOT FOUND, CAPS 15 MG x 30, MD7
28588, PLURIVERM , PLURIVERM, NOT FOUND, CPR 100 MG x 6, MD7
66445, POLICR+CL.CICHO MG , POLICR CL CICHO, NOT FOUND, POM+10 APLIC 30 G x 1, MD7
67184, POLICR+CL.CICHO MG , POLICR CL CICHO, NOT FOUND, POM 10+10APL 3 G x 1, MD7
56333, PRANDIN , PRANDIN, NOT FOUND, CPR 2 MG x 30, MD7
56331, PRANDIN , PRANDIN, NOT FOUND, CPR 0.50 MG x 30, MD7
56332, PRANDIN , PRANDIN, NOT FOUND, CPR 1 MG x 30, MD7
76890, PRAVAST.SODIC.MG , PRAVAST SODIC, NOT FOUND, CPR 20 MG x 30, MD7
76889, PRAVAST.SODIC.MG , PRAVAST SODIC, NOT FOUND, CPR 10 MG x 30, MD7
76801, PRAVAST.SODIC.MG , PRAVAST SODIC, NOT FOUND, CPR 40 MG x 30, MD7
51373, PRAZOL , PRAZOL, NOT FOUND, CAPS ENTERIC 30 MG x 14, MD7
51711, PRAZOL , PRAZOL, NOT FOUND, CAPS ENTERIC 15 MG x 28, MD7
51710, PRAZOL , PRAZOL, NOT FOUND, CAPS ENTERIC 15 MG x 14, MD7
51372, PRAZOL , PRAZOL, NOT FOUND, CAPS ENTERIC 30 MG x 7, MD7
76565, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 5 MG x 20, MD7
76563, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 10, MD7
76564, PREDNISONA MG , PREDNISONA, PREDNISONA, CPR 20 MG x 30, MD7
63063, PREVENCOR , PREVENCOR, NOT FOUND, CPR COMBI 40 MG x 60 (/100), MD7
63061, PREVENCOR , PREVENCOR, NOT FOUND, CPR COMBI 10 MG x 60 (/100), MD7
63062, PREVENCOR , PREVENCOR, NOT FOUND, CPR COMBI 20 MG x 60 (/100), MD7
8690, PROFOL , PROFOL, NOT FOUND, SUSP 100 ML x 1, MD7
8689, PROFOL , PROFOL, NOT FOUND, CPR x 20, MD7
58444, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, CREME 30 G x 1, MD7
58445, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, POM. 30 G x 1, MD7
58446, PROP.CLOBETASOL MG , PROP CLOBETASOL, NOT FOUND, SOLN CAPIL 50 G x 1, MD7
61977, PYLORIPAC , PYLORIPAC, NOT FOUND, KIT IBP 7X8 x 56 +28, MD7
54908, PYLORIPAC , PYLORIPAC, NOT FOUND, KIT 7X8 x 56, MD7
59112, PYLORIPAC , PYLORIPAC, NOT FOUND, KIT IBP 7X8 x 56, MD7
56875, PYLORIPAC , PYLORIPAC, NOT FOUND, KIT 10X8 x 80, MD7
76739, PYLORIPAC RETRAT , PYLORIPAC RETRAT, NOT FOUND, KIT 10X7 x 70, MD7
