506405003170419, NARIX, NARIX, NOT FOUND, 0.5 MG/ML SOL NASAL ADULTO CT FR PLAS OPC GOT X 30 ML, CM5
506405001178412, NARIX, NARIX, NOT FOUND, ADULTO - 0.5MG/ML SOL NASAL CT FR X 15 ML, CM5
506405002174410, NARIX, NARIX, NOT FOUND, INFANTIL - 0.1MG/ML SOL NASAL CT FR X 30 ML, CM5
506406801161415, NEBACIMED, NEBACIMED, NOT FOUND, 5MG+250UI POM DERM CT BG AL X 15 G, CM5
506405101164413, NEOMED, NEOMED, NOT FOUND, 5 MG/G POM CT TB AL X 10 G, CM5
506405203110411, NEVRALGEX, NEVRALGEX, NOT FOUND, 300 MG + 50 MG + 35 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), CM5
506405202114411, NEVRALGEX, NEVRALGEX, NOT FOUND, 300 MG + 50 MG + 35 MG COM CT BL AL PLAS INC X 120, CM5
506405201118413, NEVRALGEX, NEVRALGEX, NOT FOUND, 50MG + 35MG + 300MG COM CX C/ X 12, CM5
506408301164111, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/ G LOCAO CT FR PLAS OPC X 30 ML, CM5
506408302160118, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM DERM CT BG AL X 28 G, CM5
506406901113412, NORFLOXMED, NORFLOXMED, NOT FOUND, 400MG COM VER CT BL AL PLAS INC X 14, CM5
506405003170419, NARIX, NARIX, NOT FOUND, 0.5 MG/ML SOL NASAL ADULTO CT FR PLAS OPC GOT X 30 ML, CM5
506405001178412, NARIX, NARIX, NOT FOUND, ADULTO - 0.5MG/ML SOL NASAL CT FR X 15 ML, CM5
506405002174410, NARIX, NARIX, NOT FOUND, INFANTIL - 0.1MG/ML SOL NASAL CT FR X 30 ML, CM5
506406801161415, NEBACIMED, NEBACIMED, NOT FOUND, 5MG+250UI POM DERM CT BG AL X 15 G, CM5
506405101164413, NEOMED, NEOMED, NOT FOUND, 5 MG/G POM CT TB AL X 10 G, CM5
506405203110411, NEVRALGEX, NEVRALGEX, NOT FOUND, 300 MG + 50 MG + 35 MG COM CT BL AL PLAS INC X 100 (EMB HOSP), CM5
506405202114411, NEVRALGEX, NEVRALGEX, NOT FOUND, 300 MG + 50 MG + 35 MG COM CT BL AL PLAS INC X 120, CM5
506405201118413, NEVRALGEX, NEVRALGEX, NOT FOUND, 50MG + 35MG + 300MG COM CX C/ X 12, CM5
506408301164111, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/ G LOCAO CT FR PLAS OPC X 30 ML, CM5
506408302160118, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM DERM CT BG AL X 28 G, CM5
506406901113412, NORFLOXMED, NORFLOXMED, NOT FOUND, 400MG COM VER CT BL AL PLAS INC X 14, CM5
