506409401111415, SEDAMED, SEDAMED, NOT FOUND, 30 MG + 300 MG + 30 MG COM REV CT BL AL PLAS INC X 20, CM5
506407001116413, SINVASTAMED, SINVASTAMED, NOT FOUND, 10 MG COM REV BL AL PLAS INC X 30, CM5
506407002112411, SINVASTAMED, SINVASTAMED, NOT FOUND, 20 MG COM REV BL AL PLAS INC X 10, CM5
506407004115418, SINVASTAMED, SINVASTAMED, NOT FOUND, 20 MG COM REV CT 02 BL AL PLAS INC X 15, CM5
506407005111416, SINVASTAMED, SINVASTAMED, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 750 (EMB HOSP), CM5
506407003119411, SINVASTAMED, SINVASTAMED, NOT FOUND, 5 MG COM REV BL AL PLAS INC X 30, CM5
506407101137412, SORONAL, SORONAL, NOT FOUND, 9 MG/ ML + 0.1 MG/ ML SOL NAS CT FR VD GOT X 3O ML, CM5
506409601161114, SULFATO DE NEOMICINA + BACITRACINA ZÍNCICA, SULFATO NEOMICINA BACITRACINA ZINCICA, NOT FOUND, 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G, CM5
506409401111415, SEDAMED, SEDAMED, NOT FOUND, 30 MG + 300 MG + 30 MG COM REV CT BL AL PLAS INC X 20, CM5
506407001116413, SINVASTAMED, SINVASTAMED, NOT FOUND, 10 MG COM REV BL AL PLAS INC X 30, CM5
506407002112411, SINVASTAMED, SINVASTAMED, NOT FOUND, 20 MG COM REV BL AL PLAS INC X 10, CM5
506407004115418, SINVASTAMED, SINVASTAMED, NOT FOUND, 20 MG COM REV CT 02 BL AL PLAS INC X 15, CM5
506407005111416, SINVASTAMED, SINVASTAMED, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 750 (EMB HOSP), CM5
506407003119411, SINVASTAMED, SINVASTAMED, NOT FOUND, 5 MG COM REV BL AL PLAS INC X 30, CM5
506407101137412, SORONAL, SORONAL, NOT FOUND, 9 MG/ ML + 0.1 MG/ ML SOL NAS CT FR VD GOT X 3O ML, CM5
506409601161114, SULFATO DE NEOMICINA + BACITRACINA ZÍNCICA, SULFATO NEOMICINA BACITRACINA ZINCICA, NOT FOUND, 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G, CM5
506409401111415, SEDAMED, SEDAMED, NOT FOUND, 30 MG + 300 MG + 30 MG COM REV CT BL AL PLAS INC X 20, CM5
506407001116413, SINVASTAMED, SINVASTAMED, NOT FOUND, 10 MG COM REV BL AL PLAS INC X 30, CM5
506407002112411, SINVASTAMED, SINVASTAMED, NOT FOUND, 20 MG COM REV BL AL PLAS INC X 10, CM5
506407004115418, SINVASTAMED, SINVASTAMED, NOT FOUND, 20 MG COM REV CT 02 BL AL PLAS INC X 15, CM5
506407005111416, SINVASTAMED, SINVASTAMED, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 750 (EMB HOSP), CM5
506407003119411, SINVASTAMED, SINVASTAMED, NOT FOUND, 5 MG COM REV BL AL PLAS INC X 30, CM5
506407101137412, SORONAL, SORONAL, NOT FOUND, 9 MG/ ML + 0.1 MG/ ML SOL NAS CT FR VD GOT X 3O ML, CM5
506410701115118, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND,  400 MG + 80 MG COM CT BL AL PLAS INC X 20, CM5
