508701001132411, BELEXA, BELEXA, NOT FOUND, 1 MG + 0.133 MG + 0.33 MG + 3.33 MCG + 3.0 MG + 0.851 MG/ML XPE CT FR VD AMB X 150 ML , FAS
508709101111118, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14, FAS
508709102116113, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28, FAS
508709103112111, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 7, FAS
508709101111118, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14, FAS
508709102116113, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28, FAS
508709103112111, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 7, FAS
508709101111118, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14, FAS
508709102116113, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28, FAS
508709103112111, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 7, FAS
508709101111118, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14, FAS
508709102116113, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28, FAS
508709103112111, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 7, FAS
508709101111118, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14, FAS
508709102116113, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28, FAS
508709103112111, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 7, FAS
508709101111118, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14, FAS
508709102116113, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28, FAS
508709103112111, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 7, FAS
508709101111118, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14, FAS
508709102116113, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28, FAS
508709103112111, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 7, FAS
508709101111118, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14, FAS
508709102116113, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28, FAS
508709103112111, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 7, FAS
508709101111118, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14, FAS
508709102116113, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28, FAS
508709103112111, BROMIDRATO DE CITALOPRAM, BROMIDRATO CITALOPRAM, BROMIDRATO CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 7, FAS
