508703301117412, LIPANON, LIPANON, NOT FOUND, 250 MG CAP GEL MICROG RETARD CT 1 FR PLAST OPC X 30, FAS
508703302113410, LIPANON, LIPANON, NOT FOUND, 250 MG CAP GEL MICROG RETARD CT BL AL PLAS INC X 15, FAS
508703303111411, LIPANON, LIPANON, NOT FOUND, 250 MG CAP GEL MICROG RETARD CT BL AL PLAST INC X 30, FAS
508703402150318, LISADOR, LISADOR, NOT FOUND, 375 MG/ML + 12.5 MG/ML + 12.5 MG/ML SOL INJ CT 3 AMP VD AMB X 2 ML , FAS
508703412156416, LISADOR, LISADOR, NOT FOUND, 375MG + 12.5MG + 12.5MG/ML SOL INJ CT 50 AMP VD AMB, FAS
508703403157316, LISADOR, LISADOR, NOT FOUND, 375MG + 12.5MG + 12.5MG/ML SOL INJ CX 100 AMP VD A, FAS
508703414116411, LISADOR, LISADOR, NOT FOUND, 500 MG + 5 MG + 10 MG COM CT 25 BL AL PLAS AMB X 4, FAS
508703411133412, LISADOR, LISADOR, NOT FOUND, 500 MG + 5 MG + 10 MG/1.5 ML SOL OR CT FR PLAS OPC X 10 ML, FAS
508703501116411, LISAGLUCON, LISAGLUCON, NOT FOUND, 5 MG COMP CT BL AL PLAST INC X 20, FAS
508703601137419, LORALERG, LORALERG, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 60 ML, FAS
508703602117411, LORALERG, LORALERG, NOT FOUND, 10 MG COMP CT BL AL PLAST INC X 10, FAS
508703701131412, LORALERG D, LORALERG D, NOT FOUND, 1 MG + 12 MG/ML XPE CT FR VD AMB X 60 ML, FAS
508703702111415, LORALERG D, LORALERG D, NOT FOUND, 5 MG + 120 MG COMP REV CT BL AL PLAST INC X 10, FAS
508709401131114, LORATADINA, LORATADINA, LORATADINA, 1 MG/ML XPE CT FR VD AMB X 100 ML, FAS
508709402136111, LORATADINA, LORATADINA, LORATADINA, 1 MG/ML XPE CT FR VD AMB X 60 ML, FAS
508709802118119, LOSARTANA POTASSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS LEIT X 30 , FAS
508709801111110, LOSARTANA POTASSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL PLAS LEIT X 15, FAS
508703801111413, LOVACOR, LOVACOR, NOT FOUND, 10 MG COMP REV CT 2 BL AL PLAST INC X 15, FAS
508703902110412, LOXIFLAN, LOXIFLAN, NOT FOUND, 7.5 MG COMP CT BL AL PLAST INC X 10, FAS
508704001176411, LUCRETIN, LUCRETIN, NOT FOUND, 40MG + 776.45MG + 182.25MG/G PO TP CT 20 ENV X 4 G, FAS
508703301117412, LIPANON, LIPANON, NOT FOUND, 250 MG CAP GEL MICROG RETARD CT 1 FR PLAST OPC X 30, FAS
508703302113410, LIPANON, LIPANON, NOT FOUND, 250 MG CAP GEL MICROG RETARD CT BL AL PLAS INC X 15, FAS
508703303111411, LIPANON, LIPANON, NOT FOUND, 250 MG CAP GEL MICROG RETARD CT BL AL PLAST INC X 30, FAS
508703402150318, LISADOR, LISADOR, NOT FOUND, 375 MG/ML + 12.5 MG/ML + 12.5 MG/ML SOL INJ CT 3 AMP VD AMB X 2 ML , FAS
508703412156416, LISADOR, LISADOR, NOT FOUND, 375MG + 12.5MG + 12.5MG/ML SOL INJ CT 50 AMP VD AMB, FAS
508703403157316, LISADOR, LISADOR, NOT FOUND, 375MG + 12.5MG + 12.5MG/ML SOL INJ CX 100 AMP VD A, FAS
508703414116411, LISADOR, LISADOR, NOT FOUND, 500 MG + 5 MG + 10 MG COM CT 25 BL AL PLAS AMB X 4, FAS
508703411133412, LISADOR, LISADOR, NOT FOUND, 500 MG + 5 MG + 10 MG/1.5 ML SOL OR CT FR PLAS OPC X 10 ML, FAS
508703501116411, LISAGLUCON, LISAGLUCON, NOT FOUND, 5 MG COMP CT BL AL PLAST INC X 20, FAS
508703601137419, LORALERG, LORALERG, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 60 ML, FAS
508703602117411, LORALERG, LORALERG, NOT FOUND, 10 MG COMP CT BL AL PLAST INC X 10, FAS
508703701131412, LORALERG D, LORALERG D, NOT FOUND, 1 MG + 12 MG/ML XPE CT FR VD AMB X 60 ML, FAS
508703702111415, LORALERG D, LORALERG D, NOT FOUND, 5 MG + 120 MG COMP REV CT BL AL PLAST INC X 10, FAS
508709401131114, LORATADINA, LORATADINA, LORATADINA, 1 MG/ML XPE CT FR VD AMB X 100 ML, FAS
508709402136111, LORATADINA, LORATADINA, LORATADINA, 1 MG/ML XPE CT FR VD AMB X 60 ML, FAS
508709802118119, LOSARTANA POTASSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS LEIT X 30 , FAS
508709801111110, LOSARTANA POTASSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL PLAS LEIT X 15, FAS
508703801111413, LOVACOR, LOVACOR, NOT FOUND, 10 MG COMP REV CT 2 BL AL PLAST INC X 15, FAS
508703902110412, LOXIFLAN, LOXIFLAN, NOT FOUND, 7.5 MG COMP CT BL AL PLAST INC X 10, FAS
508704001176411, LUCRETIN, LUCRETIN, NOT FOUND, 40MG + 776.45MG + 182.25MG/G PO TP CT 20 ENV X 4 G, FAS
508703301117412, LIPANON, LIPANON, NOT FOUND, 250 MG CAP GEL MICROG RETARD CT 1 FR PLAST OPC X 30, FAS
508703302113410, LIPANON, LIPANON, NOT FOUND, 250 MG CAP GEL MICROG RETARD CT BL AL PLAS INC X 15, FAS
508703303111411, LIPANON, LIPANON, NOT FOUND, 250 MG CAP GEL MICROG RETARD CT BL AL PLAST INC X 30, FAS
508703402150318, LISADOR, LISADOR, NOT FOUND, 375 MG/ML + 12.5 MG/ML + 12.5 MG/ML SOL INJ CT 3 AMP VD AMB X 2 ML , FAS
508703412156416, LISADOR, LISADOR, NOT FOUND, 375MG + 12.5MG + 12.5MG/ML SOL INJ CT 50 AMP VD AMB, FAS
508703403157316, LISADOR, LISADOR, NOT FOUND, 375MG + 12.5MG + 12.5MG/ML SOL INJ CX 100 AMP VD A, FAS
508703414116411, LISADOR, LISADOR, NOT FOUND, 500 MG + 5 MG + 10 MG COM CT 25 BL AL PLAS AMB X 4, FAS
508703411133412, LISADOR, LISADOR, NOT FOUND, 500 MG + 5 MG + 10 MG/1.5 ML SOL OR CT FR PLAS OPC X 10 ML, FAS
508703501116411, LISAGLUCON, LISAGLUCON, NOT FOUND, 5 MG COMP CT BL AL PLAST INC X 20, FAS
508703601137419, LORALERG, LORALERG, NOT FOUND, 1 MG/ML XPE CT FR VD AMB X 60 ML, FAS
