510804101131115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG/5ML CX C/ 1 FR X 30ML, GP8
510804201111418, MEDAZOL, MEDAZOL, NOT FOUND, 100MG CX C/ 6 CPR, GP8
510804202132419, MEDAZOL, MEDAZOL, NOT FOUND, 2% SUS CX C/ FR X 30ML, GP8
510804101131115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG/5ML CX C/ 1 FR X 30ML, GP8
510804201111418, MEDAZOL, MEDAZOL, NOT FOUND, 100MG CX C/ 6 CPR, GP8
510804202132419, MEDAZOL, MEDAZOL, NOT FOUND, 2% SUS CX C/ FR X 30ML, GP8
510804101131115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG/5ML CX C/ 1 FR X 30ML, GP8
510804201111418, MEDAZOL, MEDAZOL, NOT FOUND, 100MG CX C/ 6 CPR, GP8
510804202132419, MEDAZOL, MEDAZOL, NOT FOUND, 2% SUS CX C/ FR X 30ML, GP8
510804101131115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG/5ML CX C/ 1 FR X 30ML, GP8
510804201111418, MEDAZOL, MEDAZOL, NOT FOUND, 100MG CX C/ 6 CPR, GP8
510804202132419, MEDAZOL, MEDAZOL, NOT FOUND, 2% SUS CX C/ FR X 30ML, GP8
510804101131115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG/5ML CX C/ 1 FR X 30ML, GP8
510804201111418, MEDAZOL, MEDAZOL, NOT FOUND, 100MG CX C/ 6 CPR, GP8
510804202132419, MEDAZOL, MEDAZOL, NOT FOUND, 2% SUS CX C/ FR X 30ML, GP8
510804101131115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG/5ML CX C/ 1 FR X 30ML, GP8
510804201111418, MEDAZOL, MEDAZOL, NOT FOUND, 100MG CX C/ 6 CPR, GP8
510804202132419, MEDAZOL, MEDAZOL, NOT FOUND, 2% SUS CX C/ FR X 30ML, GP8
510804101131115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG/5ML CX C/ 1 FR X 30ML, GP8
510804201111418, MEDAZOL, MEDAZOL, NOT FOUND, 100MG CX C/ 6 CPR, GP8
510804202132419, MEDAZOL, MEDAZOL, NOT FOUND, 2% SUS CX C/ FR X 30ML, GP8
510804101131115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG/5ML CX C/ 1 FR X 30ML, GP8
510804201111418, MEDAZOL, MEDAZOL, NOT FOUND, 100MG CX C/ 6 CPR, GP8
510804202132419, MEDAZOL, MEDAZOL, NOT FOUND, 2% SUS CX C/ FR X 30ML, GP8
510804101131115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100MG/5ML CX C/ 1 FR X 30ML, GP8
510804201111418, MEDAZOL, MEDAZOL, NOT FOUND, 100MG CX C/ 6 CPR, GP8
510804202132419, MEDAZOL, MEDAZOL, NOT FOUND, 2% SUS CX C/ FR X 30ML, GP8
510804201111418, MEDAZOL, MEDAZOL, NOT FOUND, 100 MG COM CT ENV KRAFT X 6, GP8
510804101131115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED, GP8
510804202132419, MEDAZOL, MEDAZOL, NOT FOUND, 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED, GP8
510804201111418, MEDAZOL, MEDAZOL, NOT FOUND, 100 MG COM CT ENV KRAFT X 6, GP8
510804101131115, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED, GP8
510804202132419, MEDAZOL, MEDAZOL, NOT FOUND, 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED, GP8
