523400401178411, LACRIBELL, LACRIBELL, NOT FOUND, 0.001G+0.003G/ML SOL OFT FR GTS X 15 ML, L3F
523400401178411, LACRIBELL, LACRIBELL, NOT FOUND, 0.001G+0.003G/ML SOL OFT FR GTS X 15 ML, L3F
523400401178411, LACRIBELL, LACRIBELL, NOT FOUND, 0.001G+0.003G/ML SOL OFT FR GTS X 15 ML, L3F
523400401178411, LACRIBELL, LACRIBELL, NOT FOUND, 0.001G+0.003G/ML SOL OFT FR GTS X 15 ML, L3F
523400401178411, LACRIBELL, LACRIBELL, NOT FOUND, 0.001G+0.003G/ML SOL OFT FR GTS X 15 ML, L3F
523400401178411, LACRIBELL, LACRIBELL, NOT FOUND, 0.001G+0.003G/ML SOL OFT FR GTS X 15 ML, L3F
523400401178411, LACRIBELL, LACRIBELL, NOT FOUND, 0.001G+0.003G/ML SOL OFT FR GTS X 15 ML, L3F
523400401178411, LACRIBELL, LACRIBELL, NOT FOUND, 0.001G+0.003G/ML SOL OFT FR GTS X 15 ML, L3F
523400401178411, LACRIBELL, LACRIBELL, NOT FOUND, 0.001G+0.003G/ML SOL OFT FR GTS X 15 ML, L3F
523400401178411, LACRIBELL, LACRIBELL, NOT FOUND, 0.001G+0.003G/ML SOL OFT FR GTS X 15 ML, L3F
523400401178411, LACRIBELL, LACRIBELL, NOT FOUND, 0.001G+0.003G/ML SOL OFT FR GTS X 15 ML, L3F
