525104001116413, PANTONAX, PANTONAX, NOT FOUND, CX C/14 COMP. REV., MDQ
525104002112411, PANTONAX, PANTONAX, NOT FOUND, CX. C/ 07 COMP. REV., MDQ
525106001131117, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, MDQ
525104201115410, PRESSOFLUX, PRESSOFLUX, NOT FOUND, 40MG CX. C/ 40 COMP., MDQ
525104202111419, PRESSOFLUX, PRESSOFLUX, NOT FOUND, 80MG CX. C/ 20 COMP., MDQ
525104301111417, PRESSTOPRIL, PRESSTOPRIL, NOT FOUND, 12.5MG CX. C/ 16 COMP., MDQ
525104302116412, PRESSTOPRIL, PRESSTOPRIL, NOT FOUND, 25MG CX. C/ 16 COMP., MDQ
525104303112410, PRESSTOPRIL, PRESSTOPRIL, NOT FOUND, 50MG CX. C/ 16 COMP., MDQ
525104001116413, PANTONAX, PANTONAX, NOT FOUND, CX C/14 COMP. REV., MDQ
525104002112411, PANTONAX, PANTONAX, NOT FOUND, CX. C/ 07 COMP. REV., MDQ
525106001131117, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, MDQ
525104201115410, PRESSOFLUX, PRESSOFLUX, NOT FOUND, 40MG CX. C/ 40 COMP., MDQ
525104202111419, PRESSOFLUX, PRESSOFLUX, NOT FOUND, 80MG CX. C/ 20 COMP., MDQ
525104301111417, PRESSTOPRIL, PRESSTOPRIL, NOT FOUND, 12.5MG CX. C/ 16 COMP., MDQ
525104302116412, PRESSTOPRIL, PRESSTOPRIL, NOT FOUND, 25MG CX. C/ 16 COMP., MDQ
525104303112410, PRESSTOPRIL, PRESSTOPRIL, NOT FOUND, 50MG CX. C/ 16 COMP., MDQ
525104001116413, PANTONAX, PANTONAX, NOT FOUND, CX C/14 COMP. REV., MDQ
525104002112411, PANTONAX, PANTONAX, NOT FOUND, CX. C/ 07 COMP. REV., MDQ
525106001131117, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, MDQ
525104201115410, PRESSOFLUX, PRESSOFLUX, NOT FOUND, 40MG CX. C/ 40 COMP., MDQ
525104202111419, PRESSOFLUX, PRESSOFLUX, NOT FOUND, 80MG CX. C/ 20 COMP., MDQ
525104301111417, PRESSTOPRIL, PRESSTOPRIL, NOT FOUND, 12.5MG CX. C/ 16 COMP., MDQ
525104302116412, PRESSTOPRIL, PRESSTOPRIL, NOT FOUND, 25MG CX. C/ 16 COMP., MDQ
525104303112410, PRESSTOPRIL, PRESSTOPRIL, NOT FOUND, 50MG CX. C/ 16 COMP., MDQ
525104003119411, PANTONAX, PANTONAX, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, MDQ
525104001116413, PANTONAX, PANTONAX, NOT FOUND, CX C/14 COMP. REV., MDQ
