1055302600021; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 7.5 MG/ML SOL OR FR VD AMB X 50 ML; ABT
1055302600011; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 7.5 MG/ML SOL OR FR VD AMB X 60 ML; ABT
1055302840032; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE PED CT FR PLAS AMB X 120 ML + COPO MED.; ABT
1055302840042; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE ADU CT FR PLAS AMB X 120 ML + COPO MED; ABT
1055302840098; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; ABT
1055302840101; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; ABT
1055301160034; CALCIJEX; CALCIJEX; NOT FOUND; 1 MCG/ML SOL INJ CX 3 AMP VD AMB X 1 ML; ABT
1055302850018; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT 2 BL AL PLAS INC X 10; ABT
1055302850028; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT 2 BL AL PLAS INC X 10; ABT
1055302750013; CEFADROXIL; CEFADROXIL; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + COLHER; ABT
1055302830017; CEFADROXIL; CEFADROXIL; NOT FOUND; 500 MG CAP GEL DURA CT 2 STR X 4; ABT
1055302460015; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 100 MG/ML SOL OR DISPERSAO CT FR VD AMB X 50 ML +; ABT
1055302440081; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 100 MG CAP GEL DURA C/ DISPERSAO CT 10 BL AL/AL X; ABT
1055302440022; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 25 MG CAP GEL DURA C/ DISPERSAO CT 5 BL AL/AL X 10; ABT
1055302440049; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 50 MG CAP GEL DURA C/ DISPERSAO CT 10 BL AL/AL X 5; ABT
1055302540019; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 25 MG/ML GRAN SUS OR CT FR PLAS OPC X 60 ML + SER; ABT
1055302540027; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 50 MG/ML GRAN SUS OR CT FR PLAS OPC X 60 ML + SER; ABT
1055302510012; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 250MG COM REVES CT 3 BL AL PLAS INC X 4; ABT
1055302510020; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500MG COM REVES CT BL AL PLAS INC X 10; ABT
1055302510039; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500MG COM REVES CT BL AL PLAS INC X 14; ABT
1055302740018; CLORIDRATO DE BIPERIDENO; CLORIDRATO BIPERIDENO; CLORIDRATO BIPERIDENO; 2 MG COM CT 4 BL AL PLAS AMB X 20; ABT
1055303440042; COBAVITAL; COBAVITAL; NOT FOUND; 0.8 MG/ML XPE FR PET AMB X 98 ML + 4 MG/G PO PREP EXTEMP ENV KRAFT POLIET X 5 G; ABT
1008200090033; COBAVITAL; COBAVITAL; NOT FOUND;  0.8 MG/ML XPE FR VD AMB X 98 ML + 4 MG/G PO PREP EXTEMP ENV KRAFT POLIET X 5 G; ABT
1008200090047; COBAVITAL; COBAVITAL; NOT FOUND; 0.8 MG/ML XPE FR PET AMB X 98 ML + 4 MG/G PO PREP EXTEMP ENV KRAFT POLIET X 5 G; ABT
1055303440026; COBAVITAL; COBAVITAL; NOT FOUND; 1 MG + 4 MG MICRO COM CT STR AL X 16; ABT
1008200090025; COBAVITAL; COBAVITAL; NOT FOUND; 1 MG + 4 MG MICRO COM CT STR AL X 16; ABT
1055303310025; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 30; ABT
1055303310041; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS INC X 30; ABT
1055302520018; CLORIDRATO DE TERAZOSINA; CLORIDRATO TERAZOSINA; CLORIDRATO TERAZOSINA; 2MG COM CT BL AL PLAS INC X 14; ABT
1055302520026; CLORIDRATO DE TERAZOSINA; CLORIDRATO TERAZOSINA; CLORIDRATO TERAZOSINA; 5MG COM CT BL AL PLAS INC X 15; ABT
1055302860021; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20; ABT
1055302860033; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 240 MG COM REV RETARD CT BL AL PLAS AMB X 30; ABT
1055302860013; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS AMB X 30; ABT
1008200580079; CETRIZIN; CETRIZIN; NOT FOUND; 10 MG/ML GOT CT FR VD AMB CGT X 7 ML; ABT
1008200580013; CETRIZIN; CETRIZIN; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 6; ABT
1055302430019; CHIROCAINE; CHIROCAINE; NOT FOUND; 2.5 MG/ML SOL INJ CX 10 AMP PLAS X 10 ML; ABT
1055302430027; CHIROCAINE; CHIROCAINE; NOT FOUND; 5.0 MG/ML SOL INJ CX 10 AMP PLAS X 10 ML; ABT
1055302430035; CHIROCAINE; CHIROCAINE; NOT FOUND; 7.5 MG/ML SOL INJ CX 10 AMP PLAS X 10 ML; ABT
1008201670012; CYNT; CYNT; NOT FOUND; 0.2 MG COM REV CT BL AL PLAS INC X 30; ABT
1008201670020; CYNT; CYNT; NOT FOUND; 0.4 MG COM REV CT BL AL PLAS INC X 30; ABT
1008200080114; CARDALIN RETARD; CARDALIN RETARD; NOT FOUND; 20 MG COM REV ABS RETARD CT BL AL PLAST AMB X 30; ABT
1055303370028; CREON; CREON; NOT FOUND; 150 MG CAP GEL DURA CT BL AL/AL X 30 (MINIMICROESFERAS); ABT
