1055301130021; SURVANTA; SURVANTA; NOT FOUND; 25 MG/ML LIQ CT FA VD INC X 4 ML; ABT
1055301130012; SURVANTA; SURVANTA; NOT FOUND; 25 MG/ML LIQ CT FA VD INC X 8 ML; ABT
1008200640017; SINTOZIMA; SINTOZIMA; NOT FOUND; DRG CT 4 STR AL X 4; ABT
1008201380022; SOMAZINA; SOMAZINA; NOT FOUND; 125 MG/ML SOL INJ CT 5 AMP VD INC X 4 ML; ABT
1008201380057; SOMAZINA; SOMAZINA; NOT FOUND; 500 MG COMP REV CT BL AL PLAS INC X 15; ABT
1008201380081; SOMAZINA; SOMAZINA; NOT FOUND; 500 MG  COM REV CT  STR AL X 15; ABT
1055302550014; SIMDAX; SIMDAX; NOT FOUND; 2.5 MG/ML SOL INJ CT FA VD INC X 5 ML (REST HOSP); ABT
1055302890168; SYNTHROID; SYNTHROID; NOT FOUND; 100 MCG COM CT BL AL/AL X 30  ; ABT
1055302890257; SYNTHROID; SYNTHROID; NOT FOUND; 100MCG COM CT FR POLIETILENO X 100; ABT
1055302890176; SYNTHROID; SYNTHROID; NOT FOUND; 112 MCG COM CT BL AL/AL X 30; ABT
1055302890184; SYNTHROID; SYNTHROID; NOT FOUND; 125 MCG COM CT BL AL/AL X 30; ABT
1055302890265; SYNTHROID; SYNTHROID; NOT FOUND; 125MCG COM CT FR POLIETILENO X 100; ABT
1055302890192; SYNTHROID; SYNTHROID; NOT FOUND; 150 MCG COM CT BL AL/AL X 30  ; ABT
1055302890273; SYNTHROID; SYNTHROID; NOT FOUND; 150MCG COM CT FR POLIETILENO X 100; ABT
1055302890206; SYNTHROID; SYNTHROID; NOT FOUND; 175 MCG COM CT BL AL/AL X 30   ; ABT
1055302890214; SYNTHROID; SYNTHROID; NOT FOUND; 200 MCG COM CT BL AL/AL X 30; ABT
1055302890011; SYNTHROID; SYNTHROID; NOT FOUND; 25 MCG COM CT BL AL/AL X 30; ABT
1055302890222; SYNTHROID; SYNTHROID; NOT FOUND; 25MCG COM CT FR POLIETILENO X 100; ABT
1055302890133; SYNTHROID; SYNTHROID; NOT FOUND; 50 MCG COM CT BL AL/AL X 30; ABT
1055302890230; SYNTHROID; SYNTHROID; NOT FOUND; 50MCG COM CT FR POLIETILENO X 100; ABT
1055302890141; SYNTHROID; SYNTHROID; NOT FOUND; 75 MCG COM CT BL AL/AL X 30; ABT
1055302890249; SYNTHROID; SYNTHROID; NOT FOUND; 75MCG COM CT FR POLIETILENO X 100; ABT
1055302890151; SYNTHROID; SYNTHROID; NOT FOUND; 88 MCG COM CT BL AL/AL X 30   ; ABT
1055303290024; SYNTHROID; SYNTHROID; NOT FOUND; 137 MCG COM CT BL AL/AL X 30; ABT
1055302890052; SYNTHROID; SYNTHROID; NOT FOUND; 100 MCG COM CT BL AL/AL X 10; ABT
1055302890060; SYNTHROID; SYNTHROID; NOT FOUND; 112 MCG COM CT BL AL/AL X 10; ABT
1055302890079; SYNTHROID; SYNTHROID; NOT FOUND; 125 MCG COM CT BL AL/AL X 10; ABT
1055303290016; SYNTHROID; SYNTHROID; NOT FOUND; 137 MCG COM CT BL AL/AL X 10; ABT
1055302890087; SYNTHROID; SYNTHROID; NOT FOUND; 150 MCG COM CT BL AL/AL X 10; ABT
1055302890095; SYNTHROID; SYNTHROID; NOT FOUND; 175 MCG COM CT BL AL/AL X 10; ABT
1055302890109; SYNTHROID; SYNTHROID; NOT FOUND; 200 MCG COM CT BL AL/AL X 10; ABT
1055302890125; SYNTHROID; SYNTHROID; NOT FOUND; 25 MCG COM CT BL AL/AL X 10; ABT
1055302890028; SYNTHROID; SYNTHROID; NOT FOUND; 50 MCG COM CT BL AL/AL X 10; ABT
1055302890036; SYNTHROID; SYNTHROID; NOT FOUND; 75 MCG COM CT BL AL/AL X 10; ABT
1055302890044; SYNTHROID; SYNTHROID; NOT FOUND; 88 MCG COM CT BL AL/AL X 10; ABT
1008200410041; SINTALGIN; SINTALGIN; NOT FOUND; 50 MG/ML CT FR PLAS GOT X 15 ML; ABT
1008200410021; SINTALGIN; SINTALGIN; NOT FOUND; 100 MG COMP CT BL AL PLAS INC X 12; ABT
1055302310013; SYNAGIS; SYNAGIS; NOT FOUND; 100 MG PO LIOF CX FA VD INC; ABT
1055302310048; SYNAGIS; SYNAGIS; NOT FOUND; 100 MG PO LIOF INJ CT FA VD INC + AMP DIL X 1 ML; ABT
1055302310031; SYNAGIS; SYNAGIS; NOT FOUND; 50 MG PO LIOF INJ CT FA VD INC + AMP DIL X 1 ML; ABT
