1049201790082; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 60  ; ATV
1049201790090; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP); ATV
1049201790104; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); ATV
1049201790066; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 20  ; ATV
1049201790041; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP); ATV
1049201790074; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 30; ATV
1049201790015; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 20 ; ATV
1049201790058; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); ATV
1049201790023; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 30; ATV
1049201790031; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 60; ATV
1049201880014; TENSIOPAX; TENSIOPAX; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 14; ATV
1049201880022; TENSIOPAX; TENSIOPAX; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 28; ATV
1049200840013; TRIMETABOL; TRIMETABOL; NOT FOUND; SUSP ORAL FR C/100ML; ATV
1049201800010; TERBINACOL; TERBINACOL; NOT FOUND; 250 MG COM CT BL AL PLAS OPC X 7; ATV
1049201800037; TERBINACOL; TERBINACOL; NOT FOUND; 250 MG COM CT BL AL PLAS OPC X 14; ATV
1049201800053; TERBINACOL; TERBINACOL; NOT FOUND; 250 MG COM CT BL AL PLAS OPC X 28; ATV
