1068300930024; CERNE-12; CERNE 12; NOT FOUND; PO LIOF CX 10 FR AMP VD AMB X 5 ML; BAX
1068300930016; CERNE-12; CERNE 12; NOT FOUND; PO LIOF INJ IV CX FA VD AMB X 5 ML; BAX
1068301180010; CIPROFLEX; CIPROFLEX; NOT FOUND; 2 MG/ML SOL INJ UMA BOLSA PLASTICA INC. X 100 ML; BAX
1068301180029; CIPROFLEX; CIPROFLEX; NOT FOUND; 2 MG/ML SOL INJ UMA BOLSA PLASTICA INC. X 200 ML; BAX
1068300690025; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 0.9 PCC SOL INJ UMA BOLSA PLASTICA INC. VIAFLEX X 100 ML ( MINI BAG PLUS ); BAX
1068300690025; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 9 MG/ML SOL INJ CX BOLS PLAS INC FLEX X 100 ML; BAX
1068300690068; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 0.9% SOL INJ CX 15 BOLS PLAS X 1000 ML; BAX
1068300690112; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 0.9 PCC SOL INJ CX BOLS PLAS INC VIAFLEX X 2000 ML (REST HOSP); BAX
1068300690041; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 0.9% SOL INJ UMA BOLSA PLASTICA INC VIAFLEX X 250 ML; BAX
1068300690074; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 50 ML; BAX
1068300690051; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 0.9 PCC SOL INJ CX BOLSA PLAS INC VIAFLEX X 500 ML (REST HOSP); BAX
1068300690171; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 100 ML; BAX
1068300690201; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 1000 ML; BAX
1068300690181; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 250 ML; BAX
1068300690163; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 50 ML; BAX
1068300690198; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 500 ML; BAX
1068300690155; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 100 ML + CONECTOR; BAX
1068300690147; CLORETO DE SÓDIO - BAXTER; CLORETO SODIO BAXTER; NOT FOUND; 9 MG/ML SOL INJ IV BOLS PVC INC SIST FECH X 110 ML + CONECTOR; BAX
1068301800019; CLORETO DE SÓDIO SOLUÇÃO FISIOLÓGICA PARA IRRIGAÇÃO - BAXTER; CLORETO SODIO SOLUCAO FISIOLOGICA PARA IRRIGACAO BAXTER; NOT FOUND; 9 MG/ML SOL IRRIG BOLS PLAS X 2000 ML; BAX
1068301800027; CLORETO DE SÓDIO SOLUÇÃO FISIOLÓGICA PARA IRRIGAÇÃO - BAXTER; CLORETO SODIO SOLUCAO FISIOLOGICA PARA IRRIGACAO BAXTER; NOT FOUND; 9 MG/ML SOL IRRIG BOLS PLAS X 3000 ML; BAX
1068300970026; CLINIMIX; CLINIMIX; NOT FOUND; 5.5% C/ ELETR + 20% C/ CALCIO SOL INJ CX 4 BLS PLAS X 2000 ML (2 75/10 - NUTRICAO PRONTA PARA USO 2EM1); BAX
1068300970123; CLINIMIX; CLINIMIX; NOT FOUND; 8.5% C/ ELETR + 50% C/ CALCIO SOL INJ CX 4 BLS PLAS X 2000 ML (4 25/25 - NUTRICAO PRONTA PARA USO 2EM1); BAX
1068301070010; CLINOMEL; CLINOMEL; NOT FOUND; 5.5% + 20% SOL INJ + 10% EMUL INJ UMA BOLSA PLAS TRIPLA X 2000 ML (N4-550 - NUTRICAO PRONTA PARA USO 3EM1 2L); BAX
1068301070061; CLINOMEL; CLINOMEL; NOT FOUND; 7% + 25% SOL INJ + 20% EMUL INJ UMA BOLSA PLAS TRIPLA X 2000 ML (N5-800 - NUTRICAO PRONTA PARA USO 3EM1 2L); BAX
1068301070096; CLINOMEL; CLINOMEL; NOT FOUND; 8.5% + 30% SOL INJ + 20% EMU INJ CX BOLS PLAS TRIPLA X 2000 ML; BAX
1068301070101; CLINOMEL; CLINOMEL; NOT FOUND; 10% + 40% SOL INJ + 20% EMUL INJ UMA BOLSA PLAS TRIPLA X 1000 ML (N7-1000 - NUTRICAO PRONTA PARA USO 3EM1 1L); BAX
1068301070126; CLINOMEL; CLINOMEL; NOT FOUND; 10% + 40% SOL INJ + 20% EMU INJ CX BOLS PLAS TRIPLA X 2000 ML; BAX
