1558401260061; CAPOTRINEO; CAPOTRINEO; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 16; BF8
1558401260010; CAPOTRINEO; CAPOTRINEO; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; BF8
1558401260029; CAPOTRINEO; CAPOTRINEO; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; BF8
1558400320044; CEFADROXILA; CEFADROXILA; CEFADROXILA; 100MG/ML PO P/SUSP FR X 100 ML; BF8
1558400320028; CEFADROXILA; CEFADROXILA; CEFADROXILA; 50MG/ML PO P/SUSP FR X 100 ML; BF8
1558400020040; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL  AL  PLAS INC  X   08; BF8
1558400560010; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; BF8
1558400560029; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; BF8
1558402940074; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + CP MED; BF8
1558400530014; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10; BF8
1558400460016; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G; BF8
1558400490012; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG /G CREM DERM CT BG AL X 30 G; BF8
1558400430060; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM CT BL AL PLAS INC X 30; BF8
1558400430044; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM CT BL AL PLAS INC X 4; BF8
1558400430052; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM CT BL AL PLAS INC X 8; BF8
1558400430036; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM CT BL AL PLAS INC X 30; BF8
1558400430011; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM CT BL AL PLAS INC X 4; BF8
1558400430028; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM CT BL AL PLAS INC X 8; BF8
1558400570024; CIPROFIBRATO; CIPROFIBRATO; CIPROFIBRATO; 100 MG COM CT BL AL PLAS INC X 30; BF8
1558400570016; CIPROFIBRATO; CIPROFIBRATO; CIPROFIBRATO; 100 MG COM CT BL AL PLAS INC X 10 ; BF8
1558400310030; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 28; BF8
1558400310022; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 14 ; BF8
1558401980056; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8MG/ML XPE CT FR PLAS AMB X 120ML   ; BF8
1558401980013; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6MG/ML XPE CT FR PLAS AMB X 120ML  ; BF8
1558401980137; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8MG/ML XPE CT FR PLAS AMB X 120ML + CP MED; BF8
1558401980099; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6MG/ML XPE CT FR PLAS AMB X 120ML + CP MED; BF8
1558400280018; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 120 MG COM REV CT 1 BL AL PLAS OPC X 10 ; BF8
1558400280026; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 180 MG COM REV CT 1 BL AL PLAS OPC X 10 ; BF8
1558403010054; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP DURA CT BL AL PLAS INC X 30; BF8
