1034600030199; CLORETO DE SÓDIO BEKER; CLORETO SODIO BEKER; NOT FOUND; 9 MG/ML SOL INJ CX 10 BOLS PVC TRANS FLEX SIST FECH X 100 ML; BK6
1034600030253; CLORETO DE SÓDIO BEKER; CLORETO SODIO BEKER; NOT FOUND; 9 MG/ML SOL INJ CX 100 BOLS PVC TRANS FLEX SIST FECH X 100 ML; BK6
1034600030180; CLORETO DE SÓDIO BEKER; CLORETO SODIO BEKER; NOT FOUND; 9 MG/ML SOL INJ CX 14 BOLS PVC TRANS FLEX SIST FECH X 1000 ML; BK6
1034600030172; CLORETO DE SÓDIO BEKER; CLORETO SODIO BEKER; NOT FOUND; 9 MG/ML SOL INJ CX 24 BOLS PVC TRANS FLEX SIST FECH X 500 ML; BK6
1034600030202; CLORETO DE SÓDIO BEKER; CLORETO SODIO BEKER; NOT FOUND; 9 MG/ML SOL INJ CX 25 BOLS PVC TRANS FLEX SIST FECH X 100 ML; BK6
1034600030210; CLORETO DE SÓDIO BEKER; CLORETO SODIO BEKER; NOT FOUND; 9 MG/ML SOL INJ CX 40 BOLS PVC TRANS FLEX SIST FECH X 100 ML; BK6
1034600030229; CLORETO DE SÓDIO BEKER; CLORETO SODIO BEKER; NOT FOUND; 9 MG/ML SOL INJ CX 50 BOLS PVC TRANS FLEX SIST FECH X 100 ML; BK6
1034600030164; CLORETO DE SÓDIO BEKER; CLORETO SODIO BEKER; NOT FOUND; 9 MG/ML SOL INJ CX 50 BOLS PVC TRANS FLEX SIST FECH X 250 ML; BK6
1034600030237; CLORETO DE SÓDIO BEKER; CLORETO SODIO BEKER; NOT FOUND; 9 MG/ML SOL INJ CX 60 BOLS PVC TRANS FLEX SIST FECH X 100 ML; BK6
1034600030245; CLORETO DE SÓDIO BEKER; CLORETO SODIO BEKER; NOT FOUND; 9 MG/ML SOL INJ CX 72 BOLS PVC TRANS FLEX SIST FECH X 100 ML; BK6
1034600030156; CLORETO DE SÓDIO BEKER; CLORETO SODIO BEKER; NOT FOUND; 9 MG/ML SOL INJ CX 90 BOLS PVC TRANS FLEX SIST FECH X 125 ML; BK6
