1163700110011; INTERLEUKIN; INTERLEUKIN; NOT FOUND; INTERLEUCINA 2 RECOMBINANTE 18 MUI - CX COM 1 FR AMP DE PO LIOFILO INJ + DILUENTE 1.2 M; BU_
1163700570055; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 3.000.000 UI/ML SOL. INJ. CT. FA VD INC X 1ML; BU_
1163700570047; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 18.000.000 UI/ML PO LIOF CT. FA VD INC + AMP DIL X 1ML; BU_
1163700570039; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 9.000.000 UI/ML PO LIOF CT. FA VD INC + AMP DIL X 1ML; BU_
1163700570020; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 4.500.000 UI/ML PO LIOF CT. FA VD INC + AMP DIL X 1ML; BU_
1163700570012; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 3.000.000 UI/ML PO LIOF CT. FA VD INC + AMP DIL X 1ML; BU_
1163700570128; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 18.000.000 UI SOL. INJ CT. SER-PREENC X 0.5ML; BU_
1163700570098; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 9.000.000 UI SOL. INJ CT. SER-PREENC X 0.5ML; BU_
1163700570071; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 4.500.000 UI SOL. INJ CT. SER-PREENC X 0.5ML; BU_
1163700570101; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 18.000.000 UI/ML SOL. INJ CT. FA VD INC X 1ML; BU_
1163700570111; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 3.000.000 UI SOL. INJ. CT. SER-PREENC X 0.5ML; BU_
1163700570063; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 4.500.000 UI/ML SOL. INJ. CT. FA VD INC X 1ML; BU_
1163700570081; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 9.000.000 UI/ML SOL. INJ. CT. FA VD INC X 1ML; BU_
1163700570144; INTERFERON ALFA 2A; INTERFERON ALFA 2A; NOT FOUND; 36.000.000 UI/ML SOL. INJ. CT. FA VD INC X 1ML; BU_
1027001200078; INJECTRAX; INJECTRAX; NOT FOUND; CLORIDRATO DE ONDANSETRONA 4 MG - CX COM 20 AMP DE SOL INJ 2 ML; BU_
1027001200051; INJECTRAX; INJECTRAX; NOT FOUND; CLORIDRATO DE ONDANSETRONA 8 MG - CX COM 20 AMP DE SOL INJ 4 ML; BU_
1163700440046; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 10 ML + KIT INFUS; BU_
1163700440011; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; IMUNOGLOBULINA HUMANA 0.5 G - CX COM 1FR AMP DE PO LIOFILO INJ + DILUENTE 10 ML; BU_
1163700440021; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; IMUNOGLOBULINA HUMANA 1.0 G - CX COM 1FR AMP DE PO LIOFILO INJ + DILUENTE 20 ML; BU_
1163700440089; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 200 ML + KIT INFUS; BU_
1163700440038; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; IMUNOGLOBULINA HUMANA 2.5 G - CX COM 1FR AMP DE PO LIOFILO INJ + DILUENTE 50 ML; BU_
1163700440054; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 50 ML + KIT INFUS; BU_
1163700440062; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 60 ML + KIT INFUS( USO HOSP); BU_
1163700440097; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; IMUNOGLOBULINA HUMANA 5.0 G - CX COM 1FR AMP DE PO LIOFILO INJ + DILUENTE 100 ML; BU_
1163700440070; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 100 ML + KIT INFUS; BU_
1163700010017; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 2.5G - CX COM 1FR AMP DE PO LIOFILO + DILUENTE; BU_
1163700010017; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 5.0G - CX COM 1FR AMP DE PO LIOFILO + DILUENTE; BU_
1163700440100; IMUNOGLOBULIN; IMUNOGLOBULIN; NOT FOUND; 50 MG/ML SOL INJ CT FA VD INC X 20 ML + KIT INFUS; BU_
