1438100180017; FRENOTOSSE; FRENOTOSSE; NOT FOUND; 6.66MG+20MG/ML XPE CT FR X 100 ML; CM5
1438100950033; FRENOTOSSE; FRENOTOSSE; NOT FOUND; 16.00 MG/ML XPE FR PET INC X 120 ML (SABOR MEL); CM5
1438100950017; FRENOTOSSE; FRENOTOSSE; NOT FOUND; 13.33 MG/ML XPE FR PET INC X 120 ML (SABOR MORANGO); CM5
1438100950051; FRENOTOSSE; FRENOTOSSE; NOT FOUND; 13.33 MG/ML XPE FR PET INC X 120 ML (SABOR MEL); CM5
1438100710016; FLUCOMED; FLUCOMED; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; CM5
1438100710024; FLUCOMED; FLUCOMED; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; CM5
1438101140019; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1 ; CM5
1438101140027; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; CM5
1438100910015; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120ML; CM5
1438100010022; FLAMOSTAT; FLAMOSTAT; NOT FOUND; 10 MG/ML SUS OR CT C/1 FR PLAS OPC GOT X 10 ML; CM5
1438100010014; FLAMOSTAT; FLAMOSTAT; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 12; CM5
