1044000780021; DELTAVIT; DELTAVIT; NOT FOUND; SUS OR CT FR VD AMB X 120 ML; DLT
1044000780011; DELTAVIT; DELTAVIT; NOT FOUND; DRG CT FR VD AMB X 50; DLT
1044000880016; DORZONE; DORZONE; NOT FOUND; GOTAS SOL EM FR C/ 10 ML; DLT
1044000880024; DORZONE; DORZONE; NOT FOUND; CX C/ 12 COMP; DLT
1044000880032; DORZONE; DORZONE; NOT FOUND; CX C/ 200 COMP; DLT
1044000160056; DEXA CIANOTRAT; DEXA CIANOTRAT; NOT FOUND; SOL INJ CX C/ 6 AMP 1ML + 6 AMP 2ML; DLT
1044000720035; DELTAFLOGIN; DELTAFLOGIN; NOT FOUND; SOL INJ EM CX C/ 5 AMP; DLT
1044000710048; DELTAREN; DELTAREN; NOT FOUND; SOL INJ EM CX C/ 10 AMP; DLT
1044000710013; DELTAREN; DELTAREN; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC CGT X 10 ML; DLT
1044000710145; DELTAREN; DELTAREN; NOT FOUND; 10 MG/G GEL TOP CT BG AL X 60 G; DLT
1044000720027; DELTAFLOGIN; DELTAFLOGIN; NOT FOUND; CX C/ 10 DRG 100 MG; DLT
1044000720019; DELTAFLOGIN; DELTAFLOGIN; NOT FOUND; CX C/ 10 DRG 50 MG; DLT
1044000720078; DELTAFLOGIN; DELTAFLOGIN; NOT FOUND; SR - 75 MG COM DESINT LENTA CT 2 BL AL PLAS INC X 14; DLT
1044000720051; DELTAFLOGIN; DELTAFLOGIN; NOT FOUND; CX C/ 20 DRG 100 MG; DLT
1044000710137; DELTAREN; DELTAREN; NOT FOUND; CX C/ 20 DRG 100 MG; DLT
1044000710021; DELTAREN; DELTAREN; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 10; DLT
1044000710129; DELTAREN; DELTAREN; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 20; DLT
1044000710031; DELTAREN; DELTAREN; NOT FOUND; CX C/ 10 DRG AP 100 MG; DLT
1044001160017; DIPRO AS; DIPRO AS; NOT FOUND; 0.64 MG/ML + 20 MG/ML SOL TOP CT FR PLAS OPC CGT X 30 ML; DLT
1044001160025; DIPRO AS; DIPRO AS; NOT FOUND; 0.64 MG/G + 30 MG/G POM DERM CT BG AL X 30 G; DLT
1044000910020; DORMELOX; DORMELOX; NOT FOUND; 15 MG COM CT FR VD AMB X 10; DLT
1044000910012; DORMELOX; DORMELOX; NOT FOUND; 7.5 MG COM CT FR VD AMB X 10; DLT
1044000180011; DELTAFLAN; DELTAFLAN; NOT FOUND; 10 MG/ML SUS OR CT FR VD AMB X 60 ML; DLT
1044000180073; DELTAFLAN; DELTAFLAN; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML   ; DLT
1044000180049; DELTAFLAN; DELTAFLAN; NOT FOUND; 20 MG/G GEL TOP CT BG AL X 40 G; DLT
1044000180021; DELTAFLAN; DELTAFLAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; DLT
1044000180065; DELTAFLAN; DELTAFLAN; NOT FOUND; 100 MG COM DISP CT STR AL X 12 ; DLT
