1356900110112; MAC AZI; MAC AZI; NOT FOUND; 1200MG 1 BL X 4 COMP; EMS
1356900110090; MAC AZI; MAC AZI; NOT FOUND; 600MG 1BL X 8 COMP; EMS
1023505570011; MALEATO DE DEXCLOR.+BETAMETASONA; MALEATO DEXCLOR BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML; EMS
1356903460017; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
1023507360073; MALEATO DE DEXCLOR.+BETAMETASONA; MALEATO DEXCLOR BETAMETASONA; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20; EMS
1356902480073; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 2 MG + 0.25 MG COM CT BL AL PLAS LEIT X 20; EMS
1356906020018; MIGRALIV; MIGRALIV; NOT FOUND; 1.0 MG + 350.0 MG + 100.0 MG COM CT BL AL PLAS INC X 12; EMS
1023505140033; MUCOCIS; MUCOCIS; NOT FOUND; GOTAS FR C/20ML; EMS
1023505140017; MUCOCIS; MUCOCIS; NOT FOUND; XPE AD FR C/100ML; EMS
1023505140025; MUCOCIS; MUCOCIS; NOT FOUND; XPE INF FR C/100ML; EMS
1356906360021; MUCOTOSS; MUCOTOSS; NOT FOUND; 50 MG/ML XPE CT FR VD AMB X 100 ML; EMS
1356906360013; MUCOTOSS; MUCOTOSS; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML; EMS
1023509280069; MUPIROX; MUPIROX; NOT FOUND; 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML; EMS
1356905410051; MUSCUPRINA; MUSCUPRINA; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 15; EMS
1356905410076; MUSCUPRINA; MUSCUPRINA; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; EMS
1023501360095; METOCLOPRAMIDA; METOCLOPRAMIDA; METOCLOPRAMIDA; 5MG/ML C100AMX2ML; EMS
1356906500036; MOXOF; MOXOF; NOT FOUND; 400 MG COM REV CT BL AL AL X 5; EMS
1356906500052; MOXOF; MOXOF; NOT FOUND; 400 MG COM REV CT BL AL AL X 07; EMS
1356906130018; MALÚ; MALU; NOT FOUND; 0.150 MG + 0.020 MG COM CT EST CALEND X 21; EMS
