1013800290013; MEGAPEN; MEGAPEN; NOT FOUND; CX C/ FR AMP + DIL 1.000.000 UI; EUF
1013800290030; MEGAPEN; MEGAPEN; NOT FOUND; CX C/ FR AMP 5.000.000 UI; EUF
1004307940010; MALEATO DE DEXCLORFENIRAMINA+BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; (2 MG + 0.25 MG)/ML 120 ML XPE FR VD AMB + CP MED; EUF
1004305190030; MANTIDAN; MANTIDAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; EUF
1004305190057; MANTIDAN; MANTIDAN; NOT FOUND; CT C/ 60 COMP 100MG; EUF
1004305190049; MANTIDAN; MANTIDAN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20.; EUF
1004309580143; MUSCULARE; MUSCULARE; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 30; EUF
1004309580054; MUSCULARE; MUSCULARE; NOT FOUND; 10MG COM REV CT BL AL PLAS INC X 15; EUF
1004309580070; MUSCULARE; MUSCULARE; NOT FOUND; 10MG COM REV CT BL AL PLAS INC X 30; EUF
1004309580127; MUSCULARE; MUSCULARE; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 15; EUF
1004309580038; MUSCULARE; MUSCULARE; NOT FOUND; 10MG COM REV CT BL AL PLAS INC X 10; EUF
1004309580011; MUSCULARE; MUSCULARE; NOT FOUND; 10MG COM REV CT BL AL PLAS INC X 4 ; EUF
1004309580021; MUSCULARE; MUSCULARE; NOT FOUND; 10MG COM REV CT BL AL PLAS INC X 7; EUF
1004309580100; MUSCULARE; MUSCULARE; NOT FOUND; 5MG COM REV CT BL AL PLAS INC X 10; EUF
1004309580089; MUSCULARE; MUSCULARE; NOT FOUND; 5MG COM REV CT BL AL PLAS INC X 4 ; EUF
1004309580097; MUSCULARE; MUSCULARE; NOT FOUND; 5MG COM REV CT BL AL PLAS INC X 7; EUF
1004301220024; MICOTRIZOL; MICOTRIZOL; NOT FOUND; BISN C/ 20 GR; EUF
1004310790016; MOLIÈRI; MOLIERI; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21 ; EUF
1004310790024; MOLIÈRI; MOLIERI; NOT FOUND; 3 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 63; EUF
1004311020011; MOLIÉRI 20; MOLIERI 20; NOT FOUND; 3 MG + 0.02 MG COM REV CT BL CALEND AL PLAS TRANS X 24 ; EUF
1004311020028; MOLIÉRI 20; MOLIERI 20; NOT FOUND; 3 MG + 0.02 MG COM REV CT BL CALEND AL PLAS TRANS X 72; EUF
1004309340011; MUD; MUD; NOT FOUND; 1.0 MG/G + 2.5 MG /G +0.25 MG + 100000 UI/G CREM DREM CT BG PLAS LAMINADA X 10 G ; EUF
1004309340022; MUD; MUD; NOT FOUND; 1.0 MG /G+ 2.5 MG/G +0.25 MG + 100000 UI/G POM  DERM CT BG PLAS LAMINADA X 10 G ; EUF
1004309370041; MINILAX; MINILAX; NOT FOUND; 714.0  MG/G + 7.70 MG/G SOL RETAL CT 5 BG PLAST OPC X 6.5 G ; EUF
1004309370033; MINILAX; MINILAX; NOT FOUND; 714.0  MG/G + 7.70 MG/G SOL RETAL CT 7 BG PLAST OPC X 6.5 G; EUF
1004307910030; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 5 MG/ML SOL INJ CT 5 AMP VD INC X 10 ML; EUF
1004307910014; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 5 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; EUF
1004307910022; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; EUF
1004309030011; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 15 MG COM REV CT BL AL PLAS INC X 30; EUF
1004309030021; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 15 MG COM REV CT BL AL PLAS INC X 20; EUF
1004310850035; MALEATO DE TRIMEBUTINA; MALEATO TRIMEBUTINA; MALEATO TRIMEBUTINA; 200 MG CAP GEL MOLE CT BL AL PLAS TRANS X 30; EUF
1004310850043; MALEATO DE TRIMEBUTINA; MALEATO TRIMEBUTINA; MALEATO TRIMEBUTINA; 200 MG CAP GEL MOLE CT BL AL PLAS TRANS X 60; EUF
1004310450010; MANITOL 20%; MANITOL 20; NOT FOUND; 200 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 250 ML; EUF
1004310450029; MANITOL 20%; MANITOL 20; NOT FOUND; 200 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML; EUF
1004300370014; MELOXICAM; MELOXICAM; MELOXICAM; 10 MG/ML SOL INJ CT 5 AMP VD INC X 1.5 ML; EUF
1004309550066; MELOCOX; MELOCOX; NOT FOUND; 10 MG/ML SOL INJ CT 5 AMP VD INC X 1.5 ML; EUF
1004309550058; MELOCOX; MELOCOX; NOT FOUND; 10 MG/ML SOL INJ CT AMP VD INC X 1.5 ML; EUF
1004300390015; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT STR AL X 10; EUF
1004300390023; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT STR AL X 10  ; EUF
1004300390031; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT STR AL X 60 ( EMB FRAC ); EUF
1004300390066; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT STR AL X 60 (EMB FRAC); EUF
1004309550041; MELOCOX; MELOCOX; NOT FOUND; 15 MG COM CT STR AL X 10; EUF
1004309550023; MELOCOX; MELOCOX; NOT FOUND; 7.5 MG COM CT STR AL X 10; EUF
1004309550031; MELOCOX; MELOCOX; NOT FOUND; 15 MG COM CT STR AL X 5; EUF
1004300340026; MEROPENEM; MEROPENEM; MEROPENEM; 500 MG PO P/ SOL INJ CT 10 FA VD INC X 30 ML; EUF
1004300340069; MEROPENEM; MEROPENEM; MEROPENEM; 1 G PO P/ SOL INJ CT 10 FA VD INC X 30 ML; EUF
1004300340077; MEROPENEM; MEROPENEM; MEROPENEM; 1 G PO P/ SOL INJ CT 25 FA VD INC X 30 ML; EUF
1004300340034; MEROPENEM; MEROPENEM; MEROPENEM; 500 MG PO P/ SOL INJ CT 25 FA VD INC X 30 ML; EUF
1004310080019; MEROMAX; MEROMAX; NOT FOUND; 2 G PO SOL INJ IV CT FA VD INC X 30 ML ; EUF
1004310080035; MEROMAX; MEROMAX; NOT FOUND; 2 G PO SOL INJ IV CT 10 FA VD INC X 30 ML ; EUF
1004310080027; MEROMAX; MEROMAX; NOT FOUND; 2 G PO SOL INJ IV CT 5 FA VD INC X 30 ML ; EUF
1004310190019; MESILATO DE DESFERROXAMINA; MESILATO DESFERROXAMINA; MESILATO DESFERROXAMINA; 500 MG PO LIOF P/ SOL INJ CT 5 FA VD INC + 5 AMP PLAS DIL X 5 ML; EUF
1004309940042; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 30; EUF
