1108500230010; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; 84 MG/ML SOL INJ IV CX 100 AMP VD INC X 10 ML ; FM_
1108500230029; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; 84 MG/ML SOL INJ IV CX 50 AMP VD INC X 10 ML ; FM_
1108500230037; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; 100 MG/ML SOL INJ IV CX 100 AMP VD INC X 10 ML ; FM_
1108500230045; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; 100 MG/ML SOL INJ IV CX 50 AMP VD INC X 10 ML ; FM_
1108500260033; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 4 MG + 500 MG/ML SOL INJ CX 100 AMP VD AMB X 5 ML ; FM_
1108500260017; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 4 MG + 500 MG/ML SOL INJ CX 3 AMP VD AMB X 5 ML ; FM_
1108500260025; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 4 MG + 500 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML ; FM_
1108500310049; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CT FR GOT PLAS OPC X 20ML; FM_
1108500310014; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CT FR GOT VD AMB X 20ML; FM_
1108500310057; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CX 100 FR PLAS OPC GOT X 20ML (EMB HOSP); FM_
1108500310022; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CX 100 FR GOT VD AMB X 20ML (EMB HOSP); FM_
1108500310065; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CX 200 FR GOT PLAS OPC X 20ML (EMB HOSP); FM_
1108500310030; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CX 200 FR VD AMB X 20ML(EMB HOSP); FM_
1108500310073; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CX 50 FR GOT PLAS OPC X 20ML (EMB HOSP); FM_
1108500310081; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CX 50 FR GOT VD AMB X 20ML (EMB HOSP); FM_
