1108500350059; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 60 FR PET AMB X 120 ML + 60 CP MED (EMB HOSP); FM_
1108500350016; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR PET AMB X 100 ML + CP MED; FM_
1108500350040; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR PET AMB X 120 ML + CP MED; FM_
1108500350075; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 100 ML + CP MED ; FM_
1108500350105; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED; FM_
1108500350032; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 100 FR PET AMB X 100 ML + 100 CP MED (EMB HOSP); FM_
1108500350091; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 100 FR VD AMB X 100 ML + 100 CP MED (EMB HOSP); FM_
1108500350067; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 100 FR PET AMB X 120 ML + 100 CP MED (EMB HOSP); FM_
1108500350121; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 100 FR VD AMB X 120 ML + 100 CP MED (EMB HOSP); FM_
1108500350024; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 60 FR PET AMB X 100 ML + 60 CP MED (EMB HOSP); FM_
1108500350083; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP); FM_
1108500350113; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP); FM_
1108500350131; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR PLAS AMB X 100 ML + 50 COP (EMB HOSP); FM_
1108500350148; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR PLAS AMB X 120 ML + 50 COP (EMB HOSP); FM_
1108500350156; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR VD AMB X 100 ML + 50 COP (EMB HOSP); FM_
1108500350164; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 50 FR VD AMB X 120 ML + 50 COP (EMB HOSP); FM_
1108500160012; DICLOFARMA; DICLOFARMA; NOT FOUND; 75 MG/3ML SOL INJ CX 50 AMP VD INC X 3 ML; FM_
1108500160020; DICLOFARMA; DICLOFARMA; NOT FOUND; 25 MG/ML SOL INJ CX 5 AMP VD INC X 3 ML; FM_
1108500160039; DICLOFARMA; DICLOFARMA; NOT FOUND; 75 MG/3ML SOL INJ CX 100 AMP VD INC X 3 ML; FM_
1108500180013; DIPIFARMA; DIPIFARMA; NOT FOUND; 500 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML; FM_
1108500180021; DIPIFARMA; DIPIFARMA; NOT FOUND; 500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); FM_
1108500180048; DIPIFARMA; DIPIFARMA; NOT FOUND; 500 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); FM_
1108500300019; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAST OPC GOT X 10 ML ; FM_
1108500300078; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAST OPC GOT X 20 ML ; FM_
1108500300043; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML ; FM_
1108500300108; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; FM_
1108500300027; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 10 ML (EMB HOSP); FM_
1108500300086; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR PLAST OPC GOT X 20 ML (EMB HOSP); FM_
1108500300051; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 10 ML (EMB HOSP); FM_
1108500300116; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 20 ML (EMB HOSP); FM_
1108500300035; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 10 ML (EMB HOSP); FM_
1108500300094; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 200 FR PLAST OPC GOT X 20 ML (EMB HOSP); FM_
1108500300061; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 200 FR VD AMB GOT X 10 ML (EMB HOSP); FM_
1108500300124; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 200 FR VD AMB GOT X 20 ML (EMB HOSP); FM_
1108500300132; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 50 FR PLAST OPC GOT X 10 ML (EMB HOSP); FM_
1108500300159; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 50 FR PLAST OPC GOT X 20 ML (EMB HOSP); FM_
1108500300140; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 50 FR VD AMB GOT X 10 ML (EMB HOSP); FM_
1108500300167; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 50 FR VD AMB GOT X 20 ML (EMB HOSP); FM_
