1039001230043; ALENDIL; ALENDIL; NOT FOUND; 5 MG COM CT 2 BL AL PLAS INC X 15; FQM
1039001230019; ALENDIL; ALENDIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 15; FQM
1039001230027; ALENDIL; ALENDIL; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 15; FQM
1039001230086; ALENDIL; ALENDIL; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 12; FQM
1039001230051; ALENDIL; ALENDIL; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 2; FQM
1039001230061; ALENDIL; ALENDIL; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 4; FQM
1039001230078; ALENDIL; ALENDIL; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 8; FQM
1039001750020; ALENDIL CÁLCIO D; ALENDIL CALCIO D; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 4 + (500 + 2) MG COM REV FR POLIET X 60; FQM
1039001750039; ALENDIL CÁLCIO D; ALENDIL CALCIO D; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 4 + (500 + 2) MG COM REV FR POLIET X 30; FQM
1039000030104; AMPIFAR; AMPIFAR; NOT FOUND; 250MG 120ML SUSP; FQM
1039000030090; AMPIFAR; AMPIFAR; NOT FOUND; 250MG 60ML SUSP; FQM
1039000030058; AMPIFAR; AMPIFAR; NOT FOUND; 500MG C/24 CAPS; FQM
1039000940012; AZITRAX; AZITRAX; NOT FOUND; 40 MG/ML PO EXT SUS OR CT FR VD AMB X 600 MG + DIL + SER DOSADORA; FQM
1039300940020; AZITRAX; AZITRAX; NOT FOUND; 900MG PO P/SUSP; FQM
1039000940101; AZITRAX; AZITRAX; NOT FOUND; 500MG C/2 COMP REV; FQM
1039000940055; AZITRAX; AZITRAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3; FQM
1039000940111; AZITRAX; AZITRAX; NOT FOUND; 1000 MG COM REV CT BL AL PLAS INC X 1; FQM
1039000940128; AZITRAX; AZITRAX; NOT FOUND; 1000 MG COM REV CT BL AL PLAST INC X 2; FQM
1039001550013; ACTIFEDRIN; ACTIFEDRIN; NOT FOUND; 6 MG/ML + 0.25 MG/ML XPE CT FR VD AMB X 100 ML; FQM
1039001550021; ACTIFEDRIN; ACTIFEDRIN; NOT FOUND; 2.5 MG + 60 MG COM CT BL AL PLAS INC X 20; FQM
1039000050020; ASCARICAL; ASCARICAL; NOT FOUND; 16.67 MG/ML SUS OR CT FR VD INC X 45 ML; FQM
1039000050042; ASCARICAL; ASCARICAL; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 3; FQM
1039001400011; ADOLESS; ADOLESS; NOT FOUND; 0.060MG+0.015MG COM REV CT BL AL PLAS INC CALEN X 24+4 COM PLACEBO ; FQM
1039001730046; ANNITA; ANNITA; NOT FOUND; 20 MG/ML PO SUSP OR CT FR VD AMB X 45 ML ; FQM
1039001730038; ANNITA; ANNITA; NOT FOUND; 20 MG/ML PO SUSP OR CT FR VD AMB X 100 ML; FQM
1039001730011; ANNITA; ANNITA; NOT FOUND; 500 MG COMP REV CT BL AL PLAS X 6 ; FQM
1039001380010; AXID; AXID; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; FQM
1039001380029; AXID; AXID; NOT FOUND; 150 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10 ; FQM
1039001380045; AXID; AXID; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; FQM
1039001380053; AXID; AXID; NOT FOUND; 300 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10 ; FQM
1039001410017; ABRILAR; ABRILAR; NOT FOUND; XAROPE 100ML; FQM
