1004100250095; BICARB. SÓDIO; BICARB SODIO; BICARBONATO SODIO; 250 ML; FRS
1004100250044; BICARB. SÓDIO; BICARB SODIO; BICARBONATO SODIO; 250 ML; FRS
1004101300024; BICARBONATO DE SÓDIO; BICARBONATO SODIO; BICARBONATO SODIO; 84 MG/ML SOL INJ FR VD INC X 250 ML; FRS
1322300090019; BIBAG; BIBAG; NOT FOUND; 650 G PO SECO HD CX BOLS PLAS INC X 1000 ML; FRS
1322300090027; BIBAG; BIBAG; NOT FOUND; 700 G PO SECO HD CX BOLS PLAS INC X 1000 ML; FRS
1322300090035; BIBAG; BIBAG; NOT FOUND; 950 G PO SECO HD CX BOLS PLAS INC X 1000 ML; FRS
1322300090108; BIBAG; BIBAG; NOT FOUND; 900 G PO SECO HD CX BOLS PLAS INC X 1000 ML ; FRS
1322300090116; BIBAG; BIBAG; NOT FOUND; 900 G PO SECO HD CX BOLS PLAS INC (CONECTOR EM GANCHO) X 1000 ML; FRS
1322300090086; BIBAG; BIBAG; NOT FOUND; 700 G PO SECO HD CX BOLS PLAS INC (CONECTOR EM GANCHO) X 1000 ML; FRS
1322300090124; BIBAG; BIBAG; NOT FOUND; 650 G PO SECO HD CX BOLS PLAS INC X 1000 ML; FRS
1322300090132; BIBAG; BIBAG; NOT FOUND; 650 G PO SECO HD CX BOLS PLAS INC (CONECTOR EM GANCHO) X 1000 ML; FRS
1322300090094; BIBAG; BIBAG; NOT FOUND; 950 G PO SECO HD CX BOLS PLAS INC (CONECTOR EM GANCHO) X 1000 ML; FRS
1322301090365; BALANCE; BALANCE; NOT FOUND; 33 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2000 ML; FRS
1322301090373; BALANCE; BALANCE; NOT FOUND; 33 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML; FRS
1322301090381; BALANCE; BALANCE; NOT FOUND; 33 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML ; FRS
1322301090391; BALANCE; BALANCE; NOT FOUND; 33 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 6000 ML; FRS
1322301090403; BALANCE; BALANCE; NOT FOUND; 33 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML; FRS
1322301090411; BALANCE; BALANCE; NOT FOUND; 33 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 6000 ML; FRS
1322301090421; BALANCE; BALANCE; NOT FOUND; 93.5 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2000 ML; FRS
1322301090438; BALANCE; BALANCE; NOT FOUND; 93.5 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML; FRS
1322301090446; BALANCE; BALANCE; NOT FOUND; 93.5 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML.; FRS
1322301090454; BALANCE; BALANCE; NOT FOUND; 93.5 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 6000 ML; FRS
1322301090462; BALANCE; BALANCE; NOT FOUND; 93.5 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML; FRS
1322301090470; BALANCE; BALANCE; NOT FOUND; 93.5 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 6000 ML ; FRS
1322301090489; BALANCE; BALANCE; NOT FOUND; 50.006 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2000 ML; FRS
1322301090497; BALANCE; BALANCE; NOT FOUND; 50.006 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML; FRS
1322301090500; BALANCE; BALANCE; NOT FOUND; 50.006 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML.; FRS
1322301090519; BALANCE; BALANCE; NOT FOUND; 50.006 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 6000 ML; FRS
1322301090527; BALANCE; BALANCE; NOT FOUND; 50.006 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML; FRS
1322301090543; BALANCE; BALANCE; NOT FOUND; 33.0 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2000 ML; FRS
1322301090551; BALANCE; BALANCE; NOT FOUND; 33.0 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML; FRS
1322301090561; BALANCE; BALANCE; NOT FOUND; 33.0 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML.; FRS
1322301090578; BALANCE; BALANCE; NOT FOUND; 33.0 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 6000 ML; FRS
1322301090586; BALANCE; BALANCE; NOT FOUND; 33.0 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML; FRS
1322301090594; BALANCE; BALANCE; NOT FOUND; 33.0 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 6000 ML; FRS
1322301090608; BALANCE; BALANCE; NOT FOUND; 93.5 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2000 ML; FRS
1322301090616; BALANCE; BALANCE; NOT FOUND; 93.5 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML; FRS
1322301090624; BALANCE; BALANCE; NOT FOUND; 93.5 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML.; FRS
1322301090632; BALANCE; BALANCE; NOT FOUND; 93.5 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 6000 ML; FRS
1322301090640; BALANCE; BALANCE; NOT FOUND; 93.5 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML; FRS
1322301090659; BALANCE; BALANCE; NOT FOUND; 93.5 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 6000 ML; FRS
1322301090667; BALANCE; BALANCE; NOT FOUND; 50.006 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2000 ML; FRS
1322301090675; BALANCE; BALANCE; NOT FOUND; 50.006 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML; FRS
1322301090683; BALANCE; BALANCE; NOT FOUND; 50.006 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML.; FRS
1322301090691; BALANCE; BALANCE; NOT FOUND; 50.006 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 6000 ML; FRS
1322301090705; BALANCE; BALANCE; NOT FOUND; 50.006 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 2500 ML; FRS
1322301090713; BALANCE; BALANCE; NOT FOUND; 50.006 G/L + 0.3676 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 6000 ML; FRS
1322301090535; BALANCE; BALANCE; NOT FOUND; 50.006 G/L + 0.5146 G/L SOL DIAL PER BOLS PLAS INC SIST FECH X 6000 ML; FRS
