1058302320056; SIGMA-CLAVBD; SIGMA CLAVBD; NOT FOUND; SUSP 400+57MG/5ML FR X 70ML; GM2
1058302320021; SIGMA-CLAV; SIGMA CLAV; NOT FOUND; 500MG 3BL X 6 COMP (500MG + 125MG); GM2
1058302320031; SIGMA-CLAV; SIGMA CLAV; NOT FOUND; 875MG 2BL X 6 COMP (875 MG + 125 MG); GM2
1058302320048; SIGMA-CLAVBD; SIGMA CLAVBD; NOT FOUND; 875+125MG 2BLT C/ 7 COMP; GM2
1058301190019; SCABIOID; SCABIOID; NOT FOUND; FR X 60ML; GM2
1058307120012; SIGMATRIOL; SIGMATRIOL; NOT FOUND; 0.25 MCG CAP GEL MOLE CT FR VD AMB X 30; GM2
1058302160202; SOMALGIN CARDIO; SOMALGIN CARDIO; NOT FOUND; 162 MG + 48.6 MG + 24.3 MG COM REV DUPLA CAM CT 4 BL AL PVDC LEIT X 8 ; GM2
1058302160326; SOMALGIN CARDIO; SOMALGIN CARDIO; NOT FOUND; 200 MG + 60 MG + 30 MG COM REV DUPLA CAM CT 4 BL AL PVDC LEIT X 8 ; GM2
1058302160091; SOMALGIN CARDIO; SOMALGIN CARDIO; NOT FOUND; 81 MG + 24.3 MG + 12.15 MG COM REV DUPLA CAM CT BL AL PVDC LEIT X 32; GM2
1058302160474; SOMALGIN CARDIO; SOMALGIN CARDIO; NOT FOUND; 100 MG + 30 MG + 15 MG COM REV DUPLA CAM CT BL AL PVDC LEIT X 32; GM2
1058302160431; SOMALGIN CARDIO; SOMALGIN CARDIO; NOT FOUND; 325MG + 107.5MG + 48.75MG COM REV DUPLA CAM CT BL AL PVDC LEIT X 32; GM2
1058301970049; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 100MG/ML SOL FR X 50ML; GM2
1058301970103; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 100 MG/ML SOL OR CT FR VD AMB X 50 ML; GM2
1058301970030; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 100MG 1 BL X 50 CAPS; GM2
1058301970111; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 25MG 1 BL X 50 CAPS; GM2
1058301970022; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 50MG 1 BL X 50 CAPS; GM2
1058301970162; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 100 MG CAP GEL MOLE CT  BL AL/AL X 50; GM2
1058301970170; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 10 MG CAP GEL MOLE CT 6 BL AL/AL X 10; GM2
1058301970073; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 25 MG CAP GEL MOLE CT FR VD AMB X 50; GM2
1058301970081; SIGMASPORIN; SIGMASPORIN; NOT FOUND; 50 MG CAP GEL MOLE CT FR VD AMB X 50; GM2
1058302630020; SALVELOX; SALVELOX; NOT FOUND; FR X 50 ML 21 MG/ML; GM2
1058307240034; SIGRAN; SIGRAN; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058307240018; SIGRAN; SIGRAN; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
1058302520020; SOMAFLEX; SOMAFLEX; NOT FOUND; 25MG/ML SOL.INJ 5 AMP X 3ML; GM2
1058306220072; SODEN; SODEN; NOT FOUND; 1 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; GM2
1058306220013; SODEN; SODEN; NOT FOUND; 100MG COM REV DESINT LENTA CT BL L PLAS INC X 10 ; GM2
1058306220021; SODEN; SODEN; NOT FOUND; 100MG COM REV DESINT LENTA CT BL L PLAS INC X 20; GM2
1058305770011; SULFATO DE GENTAMICINA + FOSFATO DISSÓDICO DE BETAMETASONA; SULFATO GENTAMICINA FOSFATO DISSODICO BETAMETASONA; NOT FOUND; 3 MG/ML + 1 MG/ML SOL OFT CT FR PLAS TRANS GOT X 10 ML; GM2
1058305270033; SULFATO DE SALBUTAMOL + GUAIFENESINA; SULFATO SALBUTAMOL GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 20 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; GM2
1058301710012; SONEBON; SONEBON; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; GM2
1058307470048; SEROLEX; SEROLEX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; GM2
1058307470110; SEROLEX; SEROLEX; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X  30; GM2
1058307470013; SEROLEX; SEROLEX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 7; GM2
