1542301250017; DIGETIC; DIGETIC; NOT FOUND; 4 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; GOB
1542301100015; DEZODIX; DEZODIX; NOT FOUND; 0.5 MG/G CREM DERM CT BG AL X 30 G; GOB
1542301100031; DEZODIX; DEZODIX; NOT FOUND; 0.5 MG/G POM DERM CT BG AL X 30 G; GOB
1542300730015; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED; GOB
1542300730023; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML ELX CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP); GOB
1542301910017; DEXAMETASONA+SULFATO DE NEOMICINA+SULFATO DE POLIMIXINA B; DEXAMETASONA SULFATO NEOMICINA SULFATO POLIMIXINA B; NOT FOUND; 1.0 MG/ML + 3.5 MG/ML + 6.000 UI/ML SUS OFT CT FR PLAS OPC GOT X 5 ML ; GOB
1542301910025; DEXAMETASONA+SULFATO DE NEOMICINA+SULFATO DE POLIMIXINA B; DEXAMETASONA SULFATO NEOMICINA SULFATO POLIMIXINA B; NOT FOUND; 1.0 MG/ML + 3.5 MG/ML + 6.000 UI/ML SUS OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
1542300600014; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 11.60 MG/ G GEL DERM CT BG AL X 60 G; GOB
1542300600022; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 11.60 MG/ G GEL DERM CX 60 BG AL X 60 G (EMB HOSP); GOB
1542300460050; DIPRIN; DIPRIN; NOT FOUND; 50 MG/ ML SOL OR CT FR VD AMB X 100 ML; GOB
1542300460018; DIPRIN; DIPRIN; NOT FOUND; 500 MG/ ML SOL ORAL CT FR PLAS OPC GOT X 10 ML; GOB
1542300460034; DIPRIN; DIPRIN; NOT FOUND; 500 MG/ ML SOL ORAL CT FR PLAS OPC GOT X 20 ML; GOB
1542300460069; DIPRIN; DIPRIN; NOT FOUND; 50 MG/ML SOL OR CX 60 FR VD AMB X 100 ML (EMB HOSP); GOB
1542300460026; DIPRIN; DIPRIN; NOT FOUND; 500 MG/ML SOL OR CT 60 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
1542300460042; DIPRIN; DIPRIN; NOT FOUND; 500 MG/ML SOL OR CT 60 FR PLAS OPC GOT X 20 ML (EMB HOSP); GOB
1542300800013; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; GOB
1542300890039; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GOB
1542300890012; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; GOB
1542300890020; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 60 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
1542300800021; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CX 60 FR VD AMB X 100 ML + CP MED (EMB HOSP); GOB
1542300890047; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 60 FR PLAS OPC GOT X 20 ML (EMB HOSP); GOB
1542300460107; DIPRIN; DIPRIN; NOT FOUND; 500 MG COM CT 25 BL AL PLAS INC X 4; GOB
1542300460123; DIPRIN; DIPRIN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 500(EMB HOSP) ; GOB
1542301410014; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 100 (EMB MULT); GOB
1542300540011; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/G CREM DERM CT BG AL X 30G; GOB
1542300590019; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/ G POM DERM CT BG AL X 30G; GOB
1542300590027; DIPROPIONATO DE BETAMETASONA; DIPROPIONATO BETAMETASONA; DIPROPIONATO BETAMETASONA; 0.5 MG/ G POM DERM CX 60 BG AL X 30G (EMB HOSP); GOB
1542301460011; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5MG/G + 1.0MG/G CREM DERM CT BG AL X 30G ; GOB
1542301500013; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5MG/G + 1.00MG/G POM DERM CT BG AL X 30G ; GOB
1542301500021; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5MG/G + 1.00MG/G POM DERM CX 50 BG AL X 30G (EMB HOSP); GOB
1542301460021; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5MG/G + 1.0MG/G CREM DERM CX 50 BG AL X 30G (EMB HOSP); GOB
1542300230012; DIUREMIDA; DIUREMIDA; NOT FOUND; 40 MG COM CT BL AL PLAS AMB X 20; GOB
1542300230020; DIUREMIDA; DIUREMIDA; NOT FOUND; 40 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP) ; GOB
1542301620061; DROTIZIN; DROTIZIN; NOT FOUND; 2 MG/ML SOL OR CX 50 FR PET AMB X 120 ML (EMB HOSP); GOB
1542301620051; DROTIZIN; DROTIZIN; NOT FOUND; 2 MG/ML SOL OR CT FR PET AMB X 120 ML; GOB
1542301620035; DROTIZIN; DROTIZIN; NOT FOUND; 2 MG/ML SOL OR CT FR PEAD X 100 ML; GOB
1542301620078; DROTIZIN; DROTIZIN; NOT FOUND; 2 MG/ML SOL OR CT FR PEAD X 120 ML; GOB
1542301620043; DROTIZIN; DROTIZIN; NOT FOUND; 2 MG/ML SOL OR CX 50 FR PEAD X 100 ML (EMB HOSP); GOB
1542301620086; DROTIZIN; DROTIZIN; NOT FOUND; 2 MG/ML SOL OR CX 50 FR PEAD X 120 ML (EMB HOSP); GOB
