1542301830021; ESPASLIT DUO; ESPASLIT DUO; NOT FOUND; 500 MG + 10 MG COM REV CT BL AL PLAS TRANS X 20; GOB
1542301830031; ESPASLIT DUO; ESPASLIT DUO; NOT FOUND; 500 MG + 10 MG COM REV CT BL AL PLAS TRANS X 100 (EMB MULT); GOB
1542301830048; ESPASLIT DUO; ESPASLIT DUO; NOT FOUND; 500 MG + 10 MG COM REV CT BL AL PLAS TRANS X 120 (EMB MULT); GOB
1542301830056; ESPASLIT DUO; ESPASLIT DUO; NOT FOUND; 500 MG + 10 MG COM REV CT BL AL PLAS TRANS X 200 (EMB MULT); GOB
1542301830064; ESPASLIT DUO; ESPASLIT DUO; NOT FOUND; 500 MG + 10 MG COM REV CT BL AL PLAS TRANS X 500(EMB HOSP); GOB
1542301830013; ESPASLIT DUO; ESPASLIT DUO; NOT FOUND; 500 MG + 10 MG COM REV CT BL AL PLAS TRANS X 10 ; GOB
1542302000413; ESCIP; ESCIP; NOT FOUND; 20 MG/ ML SOL  CT FR GOT PLAS AMB X 15 ML ; GOB
1542302000421; ESCIP; ESCIP; NOT FOUND; 20 MG/ ML SOL  CT  FR GOT VD AMB X 15 ML ; GOB
1542302000431; ESCIP; ESCIP; NOT FOUND; 20 MG/ ML SOL  CX 50 FR GOT PLAS AMBX 15 ML (EMB HOSP); GOB
1542302000448; ESCIP; ESCIP; NOT FOUND; 20 MG/ ML SOL  CX 50 FR GOT VD AMB X 15 ML (EMB HOSP); GOB
1542302000324; ESCIP; ESCIP; NOT FOUND; 20 MG COM REV CT BL AL PVDC TRANS X 15; GOB
1542302000405; ESCIP; ESCIP; NOT FOUND; 20 MG COM REV CX BL AL PVDC TRANS X 490 (EMB HOSP); GOB
1542302000308; ESCIP; ESCIP; NOT FOUND; 20 MG COM REV CX BL AL PVC TRANS X 490 (EMB HOSP); GOB
1542302000014; ESCIP; ESCIP; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 14; GOB
1542302000111; ESCIP; ESCIP; NOT FOUND; 10 MG COM REV CT BL AL PVDC TRANS X 14; GOB
1542302000022; ESCIP; ESCIP; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 15; GOB
1542302000121; ESCIP; ESCIP; NOT FOUND; 10 MG COM REV CT BL AL PVDC TRANS X 15; GOB
1542302000030; ESCIP; ESCIP; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 28; GOB
1542302000138; ESCIP; ESCIP; NOT FOUND; 10 MG COM REV CT BL AL PVDC TRANS X 28; GOB
1542302000049; ESCIP; ESCIP; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 30; GOB
1542302000146; ESCIP; ESCIP; NOT FOUND; 10 MG COM REV CT BL AL PVDC TRANS X 30; GOB
