1542300320073; HPVIR; HPVIR; NOT FOUND; 50 MG/G CR DERM CT BG AL X 10 G; GOB
1542300320084; HPVIR; HPVIR; NOT FOUND; 50 MG/G CR DERM CT 60 BG AL X 10 G; GOB
1542300320021; HPVIR; HPVIR; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 25; GOB
1542300320046; HPVIR; HPVIR; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; GOB
1542300320038; HPVIR; HPVIR; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 500 (EMB.HOSP); GOB
1542300070015; HIDROLAN; HIDROLAN; NOT FOUND; 50 MG COM CT 1 BL AL PLAS INC X 20; GOB
1542300070023; HIDROLAN; HIDROLAN; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); GOB
1542300120031; HYSTIN; HYSTIN; NOT FOUND; 2.0 MG/5.0 ML SOL OR CT FR VD AMB X 120 ML; GOB
1542300120043; HYSTIN; HYSTIN; NOT FOUND; 2.0 MG/5.0 ML SOL OR CT 60 FR VD AMB X 120 ML (EMB HOSP); GOB
1542300120055; HYSTIN; HYSTIN; NOT FOUND; 0.4 MG/ML SOL OR CT FR PEAD X 120 ML + CP MED; GOB
1542300120063; HYSTIN; HYSTIN; NOT FOUND; 0.4 MG/ML SOL OR CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
1542300120012; HYSTIN; HYSTIN; NOT FOUND; 2.0 MG COM CT 02 BL AL PLAS INC X 10 ; GOB
1542300120020; HYSTIN; HYSTIN; NOT FOUND; 2.0 MG COM CT 50 BL AL PLAS INC X 10 (EMB HOSP) ; GOB
