1134301110030; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML XPE CT FR PLAS AMB X 120 ML   ; HPO
1134301110014; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML XPE CT FR VD AMB X 120 ML  ; HPO
1134301110022; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML (EMB HOSP) ; HPO
1134301110049; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML XPE CT 50 FR PLAS AMB X 120 ML; HPO
1134301110065; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML XPE CX 50 FR PLAS AMB X 100 ML (EMB HOSP) ; HPO
1134301110057; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML XPE CX 50 FR VD AMB X 100 ML (EMB HOSP) ; HPO
1134300380034; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; SUSP. CX50 VD 30ML; HPO
1134300380042; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; CPR. CX300 CPR); HPO
1134300970052; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 80ML CX C/50 X 80ML; HPO
1134300970028; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; GELEIA 50G C/50BG; HPO
1134300970036; METROZIL; METROZIL; NOT FOUND; 100 MG/G GEL VAG CX 100 BG AL X 50 G + 100 APLIC (EMB HOSP); HPO
1134301430061; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 5 MG/ML SOL INJ CX 100 AMP VD INC X 3 ML (EMB HOSP); HPO
1134301430019; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; HPO
1134301430043; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 5 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; HPO
1134301430078; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 5 MG/ML SOL INJ CT 5 AMP VD INC X 10 ML; HPO
1134301430051; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 5 MG/ML SOL INJ CX 50 AMP VD INC X 3 ML (EMB HOSP); HPO
1134301430086; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 5 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML (EMB HOSP); HPO
1134301430027; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 1 MG/ML SOL INJ CX 50 AMP VD INC X 5 ML (EMB HOSP); HPO
1134301430035; MIDAZOLAM; MIDAZOLAM; MIDAZOLAM; 1 MG/ML SOL INJ CX 100 AMP VD INC X 5 ML (EMB HOSP); HPO
