1038700010028; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; 10% VIDRO 10ML CX C/ 100 AMPOLAS; HYP
1038700010036; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; 100 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML; HYP
1038700010109; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; 191 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML; HYP
1038700010044; CLORETO DE POTÁSSIO; CLORETO POTASSIO; CLORETO POTASSIO; 191 MG/ML SOL INJ CX 100 AMP PLAS INC X 10 ML; HYP
1038700170076; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML; HYP
1038700170084; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; CLORETO DE SODIO 0.9% VIDRO 20ML CX C/ 100 AMPOLAS; HYP
1038700170114; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ CX 100 AMP VD INC X 5 ML; HYP
1038700170011; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; CLORETO DE SODIO - 0.9% PCC SOL INJ POLIET TRANS X 1000 ML CX C/ 16 FRASCOS; HYP
1038700170106; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; CLORETO DE SODIO 0.9% PLASTICO 500ML CX C/ 20 FRASCOS; HYP
1038700170092; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; CLORETO DE SODIO 0.9% PLASTICO 250ML CX C/ 35 FRASCOS; HYP
1038700170033; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 100 MG/ML  SOL INJ CX  100 AMP VD INC X 10 ML; HYP
1038700170025; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 200 MG/ML  SOL INJ CX  100 AMP VD INC X 10 ML; HYP
1038700170157; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; CX. C/200 AMPS. - PLASTICA 10ML 0.9%; HYP
1038700170051; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 100 MG/ML SOL INJ CX 100 AMP PLAS INC X 10 ML; HYP
1038700170173; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; CX. C/200 AMPS. - PLASTICA 20% 10ML; HYP
1038700170041; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ CX 100 AMP VD INC X 10 ML; HYP
1038700170068; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 20% 10ML CX C/ 100 AMPOLAS PLASTICO; HYP
1038700170122; CLORETO DE SÓDIO; CLORETO SODIO; NOT FOUND; 200 MG/ML SOL INJ CX 100 AMP PLAS INC X 20 ML; HYP
1038700530013; CLORIDRATO DE BUPIVACAÍNA; CLORIDRATO BUPIVACAINA; NOT FOUND; 5.0 MG/ML S/ VASOCONSTRITOR SOL INJ CX C/ 25 FR VD INC X 20 ML (EMB HOSP); HYP
1038700550014; CLORIDRATO DE BUPIVACAÍNA + GLICOSE; CLORIDRATO BUPIVACAINA GLICOSE; NOT FOUND; 5 MG/ML + 80 MG/ML SOL INJ CX 50 AMP VD INC X 4 ML (EMB HOSP); HYP
1038700640031; CLORIDRATO DE CLORPROMAZINA; CLORIDRATO CLORPROMAZINA; CLORIDRATO CLORPROMAZINA; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML (EMB HOSP); HYP
1038700640021; CLORIDRATO DE CLORPROMAZINA; CLORIDRATO CLORPROMAZINA; CLORIDRATO CLORPROMAZINA; 5 MG/ML SOL INJ CX 25 AMP VD AMB X 5 ML (EMB HOSP); HYP
1038700640013; CLORIDRATO DE CLORPROMAZINA; CLORIDRATO CLORPROMAZINA; CLORIDRATO CLORPROMAZINA; 5 MG/ML SOL INJ CX 5 AMP VD AMB X 5 ML (EMB HOSP); HYP
1038700570015; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 14.0 MG/ML SOL INJ CX 10 AMP VD AMB 20 ML (EMB HOSP); HYP
1038700660014; CLORIDRATO DE MOXIFLOXACINO; CLORIDRATO MOXIFLOXACINO; CLORIDRATO MOXIFLOXACINO; 1.6 MG/ML SOL. INJ. CX FR PLAS TRANS X 250 ML (EMB HOSP) ; HYP
1038700660022; CLORIDRATO DE MOXIFLOXACINO; CLORIDRATO MOXIFLOXACINO; CLORIDRATO MOXIFLOXACINO; 1.6 MG/ML SOL. INJ. CX 35 FR PLAS TRANS X 250 ML (EMB HOSP) ; HYP
1038700580010; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML (EMB HOSP); HYP
1038700580029; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ML SOL INJ CX 100 AMP VD AMB X 4 ML (EMB HOSP); HYP
1038700440014; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 100 AMP VD INC X 2 ML (EMB HOSP); HYP
