1206900230026; CLAVUTAM; CLAVUTAM; NOT FOUND; 1000 MG + 200 MG PO INJ CT FA VD INC; L8B
1206900230018; CLAVUTAM; CLAVUTAM; NOT FOUND; 500 MG + 100 MG PO INJ CT FA VD INC; L8B
1206900130013; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAPS GEL DURA CX C/ 1 BL C/ 08 CAPS; L8B
1206900050017; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 GR. PO INJ CX 01 FR/AMP; L8B
1206900310011; CEFEMAX; CEFEMAX; NOT FOUND; 1 GR PO LIOFILIZADO INJ CT FR/AMP VD INC; L8B
1206900310021; CEFEMAX; CEFEMAX; NOT FOUND; 2 GR PO LIOFILIZADO INJ CT FR/AMP VD INC; L8B
1206900010011; CEFOTAXIMA; CEFOTAXIMA; CEFOTAXIMA; 1 GR. PO INJ CX 01 FR/AMP; L8B
1206900040022; CEFTRAM; CEFTRAM; NOT FOUND; 1 GR. PO INJ CX 01 FR/AMP; L8B
1206900020018; CEFTRIAXONA DISSÓDICA; CEFTRIAXONA DISSODICA; NOT FOUND; 1 GR INTRAMUSCULAR PO INJ CX C/ 1 FR/AMP E AMP DIL; L8B
1206900020026; CEFTRIAXONA DISSÓDICA; CEFTRIAXONA DISSODICA; NOT FOUND; 1 GR. INTRAVENOSA PO INJ CX 1 FR/AMP; L8B
1206900360019; CLARILIB; CLARILIB; NOT FOUND; 500  MG PO LIOF INJ CT FA VD INC X 20 ML; L8B
