1677303210011; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; LG6
1677303210021; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; LG6
1677303570034; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT BL AL AL X 12; LG6
1677300650101; ACECLO-GRAN; ACECLO GRAN; NOT FOUND; 100 MG COM REV CT BL AL AL X 12; LG6
1677302110031; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; LG6
1677302220013; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 16 ENV AL POLIET X 5 G; LG6
1677302220031; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 16 ENV AL POLIET X 5 G; LG6
1677302110064; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; LG6
1677302220021; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 16 ENV AL POLIET X 5 G; LG6
1677302220080; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); LG6
1677302220072; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); LG6
1677302220099; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); LG6
1677302230019; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; LG6
1677301540022; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G GEL CT BG AL X 30 G; LG6
1677302940016; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 10 ML + CP MED; LG6
1677303510015; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS OPC X 1 ; LG6
1677303510031; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 200 MG COM MAST CT BL AL PLAS OPC X 2 ; LG6
1677300740028; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 4
 ; LG6
1677300530015; ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL; ALGESTONA ACETOFENIDA ENANTATO ESTRADIOL; NOT FOUND; 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML ; LG6
1677302730021; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 20; LG6
1677302730062; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 20; LG6
1677302730100; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS INC X 20; LG6
1677302730143; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2.0 MG COM CT BL AL PLAS INC X 20; LG6
1677302730070; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 30; LG6
1677302730119; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS INC X 30; LG6
1677302730151; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2.0 MG COM CT BL AL PLAS INC X 30; LG6
1677300750147; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL / AL X 12; LG6
1677300750155; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL / AL X 14; LG6
1677302080173; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS OPC X 30; LG6
1677302080114; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS OPC X 30; LG6
1677302080149; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS OPC X 30; LG6
1677302550048; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30; LG6
1677302550242; ATENOLOL + CLORTALIDONA; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30; LG6
1677301440206; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 30; LG6
1677301440028; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; LG6
1677301440087; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; LG6
1677301440141; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 30; LG6
1677301750019; AZITROGRAN; AZITROGRAN; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEITOSO X 3; LG6
1677300550016; ASMALIV; ASMALIV; NOT FOUND; 0.25 MG/ML SOL INAL CT FR VD AMB CGT X 20 ML ; LG6
1677301360024; AH-ZUL; AH ZUL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 2; LG6
1677301360113; AH-ZUL; AH ZUL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 4; LG6
1677301360032; AH-ZUL; AH ZUL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 4; LG6
1677301360059; AH-ZUL; AH ZUL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 1; LG6
1677301360131; AH-ZUL; AH ZUL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 12; LG6
1677301360067; AH-ZUL; AH ZUL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 2; LG6
1677301360075; AH-ZUL; AH ZUL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 4; LG6
1677301360083; AH-ZUL; AH ZUL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 8; LG6
1677302310020; ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA; ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA; NOT FOUND; 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G CREM DERM CT BG AL X 30 G; LG6
1677302140011; ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA; ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA; NOT FOUND; 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G POM DERM CT BG AL X 30 G; LG6
1677302510070; ALERGALIV; ALERGALIV; NOT FOUND; 1 MG/ML XPE FR VD AMB X 100 ML + DOSADOR; LG6
1677302510021; ALERGALIV; ALERGALIV; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 15; LG6
1677302510054; ALERGALIV; ALERGALIV; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 12; LG6
1677302510046; ALERGALIV; ALERGALIV; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 6; LG6
1677302270010; ALERGALIV D; ALERGALIV D; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP DOS; LG6
