1677302010019; NEOTRICIN; NEOTRICIN; NOT FOUND; 5 MG + 250 UI/G POM DERM CT BG AL X 15 G; LG6
1677302010027; NEOTRICIN; NEOTRICIN; NOT FOUND; 5 MG + 250 UI/G POM DERM CT BG AL X 50G; LG6
1677301650022; NARANETY; NARANETY; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS OPC X 4; LG6
1677301650057; NARANETY; NARANETY; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS OPC X 12; LG6
1677301780015; NOFEBRIN; NOFEBRIN; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; LG6
1677301780023; NOFEBRIN; NOFEBRIN; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; LG6
1677303810035; NEXPRAZIN; NEXPRAZIN; NOT FOUND; 20 MG COM REV CT BL AL AL X 28; LG6
1677303810078; NEXPRAZIN; NEXPRAZIN; NOT FOUND; 40 MG COM REV CT BL AL AL X 28; LG6
1677302450019; NEOCORTIN; NEOCORTIN; NOT FOUND; 1.0 MG + 5.0 MG/ML SOL OFR CT FR PLAS OPC GOT X 5 ML; LG6
1677301080013; NOLAPROST; NOLAPROST; NOT FOUND; 0.05 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML ; LG6
1677300290014; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS INC X 12; LG6
1677303040027; NISTATINA; NISTATINA; NISTATINA; 100 000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT; LG6
1677302380045; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G; LG6
1677302330031; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 28 G; LG6
1677303230012; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CREM CT FR PLAS OPC X 30 G; LG6
1677302070038; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS LEIT X 14; LG6
