1018100730026; NEOTOP; NEOTOP; NOT FOUND; POM BG C/ 10 GRS; MD7
1018100730033; NEOTOP; NEOTOP; NOT FOUND; POM BG C/10GRS CX C/50; MD7
1018100730033; NEOTOP; NEOTOP; NOT FOUND; POM BISN C/ 10 GRS CX C/ 50; MD7
1018103390012; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; MD7
1018103490017; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS INC X 12; MD7
1018101670026; NISTAGYN; NISTAGYN; NOT FOUND; CREME VAG 60G + APL CX C/50; MD7
1018103350010; NISTATINA; NISTATINA; NISTATINA; 25.000 UI/G CREM VAG CT BG AL X 60 G + APLIC; MD7
1018104310012; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G ; MD7
1018104310039; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG PLAS LAM X 60 G  ; MD7
1018104790022; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CT BG AL X 20 G ; MD7
1018104780019; NITRATO DE ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40G + 7 APLIC; MD7
1018103930017; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM VAG CT BG AL X 80 G + 14 APLIC; MD7
1018104100018; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CREMOSA CT FR PLAS OPC GOT X 30 G ; MD7
1018105280011; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 28 G; MD7
1018104090012; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT 1 BL AL PLAS INC X 2; MD7
1018105830028; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS TRANS X 6; MD7
1018104090047; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT 14 BL AL PLAS INC X 10 (EMB HOSP); MD7
1018104090055; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT 2 BL AL PLAS INC X 10; MD7
1018105830036; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS TRANS X 14; MD7
