1091700410030; MEDXIL; MEDXIL; NOT FOUND; 250 MG/5ML PO PREP EXTEMP CT FR VD AMB X 150 ML ; MDQ
1091700410014; MEDXIL; MEDXIL; NOT FOUND; 250MG VD. C/ 80 ML SUSP; MDQ
1091700410022; MEDXIL; MEDXIL; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12 ; MDQ
1091700410073; MEDXIL; MEDXIL; NOT FOUND; 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 7; MDQ
1091700520011; MUCOLITIL; MUCOLITIL; NOT FOUND; VD. C/ 100 ML XAROPE ADULTO; MDQ
1091700520022; MUCOLITIL; MUCOLITIL; NOT FOUND; VD.C/ 100 ML XAROPE INFANTIL; MDQ
1091700580017; MEDGERON; MEDGERON; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30 ; MDQ
1091700580025; MEDGERON; MEDGERON; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; MDQ
1091700040011; MENTABOM; MENTABOM; NOT FOUND; 100 MG / 5 ML SUS ORAL CT FR X 30 ML; MDQ
1091700040061; MENTABOM; MENTABOM; NOT FOUND; CX. C/ 06 COMP.; MDQ
1091700310011; MEDPRESS; MEDPRESS; NOT FOUND; 250 MG COM REV CX BL AL PLAS INC X 30; MDQ
1091700310028; MEDPRESS; MEDPRESS; NOT FOUND; 500 MG COM REV CX BL AL PLAS INC X 30; MDQ
1091700570011; MEDPRAZOL; MEDPRAZOL; NOT FOUND; 10MG FR. C/ 14 CAPS.; MDQ
1091700570021; MEDPRAZOL; MEDPRAZOL; NOT FOUND; 20MG FR. C/ 07 CAPS.; MDQ
1091700570038; MEDPRAZOL; MEDPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; MDQ
1091700570062; MEDPRAZOL; MEDPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 28 ; MDQ
1091700570089; MEDPRAZOL; MEDPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 60; MDQ
