1236100770011; PROLASTIN; PROLASTIN; NOT FOUND; 1000 MG PO LIOF INJ IV CT FA VD INC + CONJ REC; MIZ
1236100580016; PROTHROMBINEX - HT; PROTHROMBINEX HT; NOT FOUND; 500 UI PO LIOF INJ CX FA VD INC + AMP DIL X 20 ML + AGULHA FILTRO; MIZ
1236100750027; PACLIMEIZ; PACLIMEIZ; NOT FOUND; 6 MG/ML SOL INJ CX 5 FA VD INC X 5 ML; MIZ
1236100750051; PACLIMEIZ; PACLIMEIZ; NOT FOUND; 6 MG/ML SOL INJ CX 5 FA VD INC X 16.67 ML; MIZ
1236100750043; PACLIMEIZ; PACLIMEIZ; NOT FOUND; 6 MG/ML SOL INJ CX FA VD INC X 16.67 ML; MIZ
1236100750019; PACLIMEIZ; PACLIMEIZ; NOT FOUND; 6 MG/ML SOL INJ CX FA VD INC X 5 ML; MIZ
1236100240010; PERENTAL; PERENTAL; NOT FOUND; 400 MG COM REV CT 5 BL X 10; MIZ
1236100140032; PRONEST; PRONEST; NOT FOUND; 10MG/ML EMU INJ CX 10 AMP X 20ML; MIZ
1236100140040; PRONEST; PRONEST; NOT FOUND; 10MG/ML EMU INJ CX 1FA X 50ML; MIZ
1236100140024; PRONEST; PRONEST; NOT FOUND; 10MG/ML EMU INJ CX 5 AMP X 20ML; MIZ
1236100140016; PRONEST; PRONEST; NOT FOUND; 10MG/ML EMU INJ CX AMP X 20ML; MIZ
