1008903630096; GONAL F; GONAL F; NOT FOUND; 300 UI (22 MCG) SOL INJ SC CT CAN APLIC CARVD TRANS X 0.5 ML     ; M_S
1008903630101; GONAL F; GONAL F; NOT FOUND; 450 UI (33 MCG) SOL INJ SC CT  CAN APLIC CAR VD TRANS X 0.75 ML    ; M_S
1008903630118; GONAL F; GONAL F; NOT FOUND; 900 UI (66 MCG) SOL INJ SC CT CAN APLIC CAR VD TRANS X 1.5 ML ; M_S
1008903630010; GONAL F; GONAL F; NOT FOUND; 75 UI PO LIOF INJ CT FA VD INC + SER VD DIL X 1 ML; M_S
1008903630061; GONAL F; GONAL F; NOT FOUND; 300 UI (22 MCG) SOL INJ SC CT APLICADOR PRE-CARREGADO VD INC X 0.5 ML; M_S
1008903630071; GONAL F; GONAL F; NOT FOUND; 450 UI (33 MCG) SOL INJ SC CT APLICADOR PRE-CARREGADO VD INC X 0.75 ML; M_S
1008903630088; GONAL F; GONAL F; NOT FOUND; 900 UI (66 MCG) SOL INJ SC CT APLICADOR PRE-CARREGADO VD INC X 1.5 ML; M_S
1008901930051; GLIFAGE; GLIFAGE; NOT FOUND; 1 G COM REV EST BL AL PLAS INC X 30; M_S
1008901930025; GLIFAGE; GLIFAGE; NOT FOUND; 500 MG COM REV CT EST BL AL PLAS INC X 30 ; M_S
1008901930017; GLIFAGE; GLIFAGE; NOT FOUND; 850 MG COM REV EST CT BL AL PLAS INC X 30 ; M_S
1008901930084; GLIFAGE; GLIFAGE; NOT FOUND; 500 MG COM REV CT EST BL AL PLAS INC X 10; M_S
1008903400090; GLIFAGE XR; GLIFAGE XR; NOT FOUND; 750 MG COM AP CT BL AL PLAS INC X 10; M_S
1008903400120; GLIFAGE XR; GLIFAGE XR; NOT FOUND; 750 MG COM AP CT BL AL PLAS INC X 30; M_S
1008903400171; GLIFAGE XR; GLIFAGE XR; NOT FOUND; 1 G COM CT BL AL PLAS INC X 10; M_S
1008903400181; GLIFAGE XR; GLIFAGE XR; NOT FOUND; 1 G COM CT BL AL PLAS INC X 30; M_S
1008903400031; GLIFAGE XR; GLIFAGE XR; NOT FOUND; 500 MG COM AP CT BL AL PLAS INC X 30; M_S
1008902700023; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 250 MG + 1.25 MG COM REV CT BL AL PLAS INC X 30; M_S
1008902700112; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 500 MG + 5 MG COM REV CT BL AL PLAS INC X 30; M_S
1008902700066; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 500 MG + 2.5 MG COM REV CT BL AL PLAS INC X 30; M_S
1008902700171; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 500 MG + 2.5 MG COM REV EST BL AL PLAS INC X 10; M_S
1008902700181; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 500 MG + 5 MG COM REV EST BL AL PLAS INC X 10; M_S
1008902700198; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 1000 MG + 5 MG COM REV EST BL AL PVC/PVDC INC X 10; M_S
1008902700201; GLUCOVANCE; GLUCOVANCE; NOT FOUND; 1000 MG + 5 MG COM REV EST BL AL PVC/PVDC INC X 30; M_S
1008903160014; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 30 ; M_S
1008903160049; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30 ; M_S
1008903160073; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30 ; M_S
1008902380010; GLIOTENZIDE; GLIOTENZIDE; NOT FOUND; 10 MG + 25 MG COM CT CART 3 BL AL PLAS INC X 10; M_S
1008902380029; GLIOTENZIDE; GLIOTENZIDE; NOT FOUND; 20 MG + 12.5 MG COM CT CART 3 BL AL PLAS INC X 10; M_S
1008902270045; GLIOTEN; GLIOTEN; NOT FOUND; 10 MG COM REV EST CART BL AL/AL X 30; M_S
1008902270029; GLIOTEN; GLIOTEN; NOT FOUND; 2.5 MG COM REV EST CART BL AL/AL X 30; M_S
1008902270010; GLIOTEN; GLIOTEN; NOT FOUND; 20 MG COM REV EST CART BL AL/AL X 30; M_S
1008902270037; GLIOTEN; GLIOTEN; NOT FOUND; 5 MG COM REV EST CART BL AL/AL X 30; M_S
