1029401220072; CEFANID; CEFANID; NOT FOUND; PO SUS ORAL 125MG/5ML (CX C/01 VD C/100ML); N2E
1029401220031; CEFANID; CEFANID; NOT FOUND; PO SUS ORAL 125MG/5ML (CX C/01 VD C/60ML); N2E
1029401220080; CEFANID; CEFANID; NOT FOUND; PO SUS ORAL 125MG/5ML (CX C/50 VD C/100ML); N2E
1029401220064; CEFANID; CEFANID; NOT FOUND; PO SUS ORAL 125MG/5ML (CX C/50 VD C/60ML); N2E
1029401220099; CEFANID; CEFANID; NOT FOUND; 250 MG/5 ML PO SUS OR CT FR VD AMB X 100 ML ; N2E
1029401220102; CEFANID; CEFANID; NOT FOUND; PO SUS ORAL 250MG/5ML (CX C/50 VD C/100ML); N2E
1029401220048; CEFANID; CEFANID; NOT FOUND; PO SUS ORAL 250MG/5ML (CX C/01 VD C/60ML); N2E
1029401220056; CEFANID; CEFANID; NOT FOUND; PO SUS ORAL 250MG/5ML (CX C/50 VD C/60ML); N2E
1029401220013; CEFANID; CEFANID; NOT FOUND; 500 MG COM CT ENV AL X 8; N2E
1029401220021; CEFANID; CEFANID; NOT FOUND; 500 MG COM CT ENV AL X 500; N2E
1029400620018; CIANON B12; CIANON B12; NOT FOUND; 1000 MCG SOL INJ CT 50 AMP VD AMB  X 1 ML; N2E
1029400640019; CIMETINAX; CIMETINAX; NOT FOUND; COMP 200MG (CX C/02 BL C/10); N2E
1029400640027; CIMETINAX; CIMETINAX; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 40; N2E
1029401250028; CIPRONID; CIPRONID; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; N2E
1029401250011; CIPRONID; CIPRONID; NOT FOUND; COMP 250MG (CX C/2 BL C/7); N2E
1029401250036; CIPRONID; CIPRONID; NOT FOUND; COMP 250MG (CX C/80 BL C/6); N2E
1029401250052; CIPRONID; CIPRONID; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; N2E
1029401250060; CIPRONID; CIPRONID; NOT FOUND; 500 MG COM REV CT 2 BL AL PLAS INC X 7; N2E
1029401250044; CIPRONID; CIPRONID; NOT FOUND; COMP 500MG (CX C/80 BL C/6); N2E
1029401380010; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3.0 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED ; N2E
1029401380037; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6.0 MG/ML XPE ADU CT FR VD AMB X 120 ML + CP MED ; N2E
1029400940012; CARDIONIL; CARDIONIL; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 24; N2E
1029400940020; CARDIONIL; CARDIONIL; NOT FOUND; 0.25 MG COM CT BL AL PLAS INC X 480 (EMB HOSP); N2E
1029401330013; CLOSENID; CLOSENID; NOT FOUND; 20 MG SOL INJ CT 50 AMP VD AMB X 2 ML; N2E
1029401330021; CLOSENID; CLOSENID; NOT FOUND; 40 MG COM CT 2 BL AL PLAS AMB X 20 ; N2E
1029401330031; CLOSENID; CLOSENID; NOT FOUND; 40 MG COM CT 25 BL AL PLAS AMB X 20; N2E
