1123633930033; JURNISTA; JURNISTA; NOT FOUND; 8 MG COM REV LIB PROL CT BL AL/ACLAR OPC X 10(MEDICAMENTO SUJEITO A CONTROLE ESPECIAL); NO_ACR
1123633930041; JURNISTA; JURNISTA; NOT FOUND; 8 MG COM REV LIB PROL CT BL AL/ACLAR OPC X 30(MEDICAMENTO SUJEITO A CONTROLE ESPECIAL); NO_ACR
1123633930025; JURNISTA; JURNISTA; NOT FOUND; 32 MG COM REV LIB PROL CT BL AL/ACLAR OPC X 30(MEDICAMENTO SUJEITO A CONTROLE ESPECIAL); NO_ACR
1123633930051; JURNISTA; JURNISTA; NOT FOUND; 16 MG COM REV LIB PROL CT BL AL/ACLAR OPC X 10(MEDICAMENTO SUJEITO A CONTROLE ESPECIAL); NO_ACR
1123633930068; JURNISTA; JURNISTA; NOT FOUND; 16 MG COM REV LIB PROL CT BL AL/ACLAR OPC X 30(MEDICAMENTO SUJEITO A CONTROLE ESPECIAL); NO_ACR
1123633930017; JURNISTA; JURNISTA; NOT FOUND; 32 MG COM REV LIB PROL CT BL AL/ACLAR OPC X 10 (MEDICAMENTO SUJEITO A CONTROLE ESPECIAL); NO_ACR
1002901770010; JANUMET; JANUMET; NOT FOUND; 50 MG / 500MG COM REV CT BL AL AL X 28; NO_ACR
1002901770053; JANUMET; JANUMET; NOT FOUND; 50 MG / 1000MG COM REV CT BL AL AL X 28; NO_ACR
1002901770061; JANUMET; JANUMET; NOT FOUND; 50 MG / 1000MG COM REV CT BL AL AL X 56; NO_ACR
1002901770029; JANUMET; JANUMET; NOT FOUND; 50 MG / 500MG COM REV CT BL AL AL X 56; NO_ACR
1002901770037; JANUMET; JANUMET; NOT FOUND; 50 MG / 850MG COM REV CT BL AL AL X 28; NO_ACR
1002901770045; JANUMET; JANUMET; NOT FOUND; 50 MG / 850MG COM REV CT BL AL AL X 56; NO_ACR
1002901770169; JANUMET; JANUMET; NOT FOUND; 50MG/500MG COM REV LIB PROL OR CT FR PLAS OPC X 60; NO_ACR
1002901770134; JANUMET; JANUMET; NOT FOUND; 50MG/500MG COM REV LIB PROL OR CT FR PLAS OPC X 20; NO_ACR
1002901770150; JANUMET; JANUMET; NOT FOUND; 50/1000 MG COM REV LIB PROL OR CT FR PLAS OPC X 20; NO_ACR
1002901770185; JANUMET; JANUMET; NOT FOUND; 50/1000 MG COM REV LIB PROL OR CT FR PLAS OPC X 60; NO_ACR
1002901720031; JANUVIA; JANUVIA; NOT FOUND; 25 MG COM REV CT BL AL PVC/PE/PVDC X 28; NO_ACR
1002901720102; JANUVIA; JANUVIA; NOT FOUND; 100 MG COM REV CT BL AL PVC/PE/PVDC X 28; NO_ACR
1002901720099; JANUVIA; JANUVIA; NOT FOUND; 100 MG COM REV CT BL AL PVC/PE/PVDC X 14; NO_ACR
1002901720064; JANUVIA; JANUVIA; NOT FOUND; 50 MG COM REV CT BL AL PVC/PE/PVDC X 28; NO_ACR
1123500090018; JOSVERM; JOSVERM; NOT FOUND; (200 + 33.2) MG/ML SUS OR CT FR VD AMB X 30 ML; NO_ACR
100770006002; JABORANDI; JABORANDI; NOT FOUND; ELIXIR 200 ML; NO_ACR
1370700150012; JURUPITAN; JURUPITAN; NOT FOUND; SOL. ORAL 80 ML.; NO_ACR
1119300230012; JURUBILENO; JURUBILENO; NOT FOUND; 100 ML; NO_ACR
ISENTO; JAPADI; JAPADI; NOT FOUND; SOL OR CT FR VD AMB X 150 ML; NO_ACR
1052900080017; JOÃO DA COSTA; JOAO COSTA; NOT FOUND; SOL OR CT FR VD AMB X 150 ML; NO_ACR
ISENTO; JALAPA; JALAPA; NOT FOUND; 05 GRS.PO. CX.12 UN; NO_ACR
