9965400350063; PRODUTO DE MEDICAMENTO PARA TESTE; PRODUTO MEDICAMENTO PARA TESTE; NOT FOUND; APRESENTACAO 01 02; NO_ACR
9965400350064; PRODUTO DE MEDICAMENTO PARA TESTE; PRODUTO MEDICAMENTO PARA TESTE; NOT FOUND; APRESENTACAO 01 03; NO_ACR
1965400350062; PRODUTO DE MEDICAMENTO PARA TESTE; PRODUTO MEDICAMENTO PARA TESTE; NOT FOUND; APRESENTACAO 01 01; NO_ACR
1081700590041; POLIVITAMINAS E SAIS MINERAIS; POLIVITAMINAS E SAIS MINERAIS; NOT FOUND; COMP REV CT FR PLAS OPC X 30; NO_ACR
1002000340024; PRIMOLUT NOR; PRIMOLUT NOR; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; NO_ACR
1002000340024; PRIMOLUT NOR; PRIMOLUT NOR; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; NO_ACR
1002000370020; PRIMOSISTON; PRIMOSISTON; NOT FOUND; 2 MG + 0.01 MG COM CT BL AL PLAS INC X 30; NO_ACR
1211700910021; PRELONE; PRELONE; NOT FOUND; 3 MG SOL OR FR X 120 ML + PIPETA DOS; NO_ACR
1211700910011; PRELONE; PRELONE; NOT FOUND; 3 MG SOL OR FR X 60 ML + PIPETA DOS; NO_ACR
1211700910046; PRELONE; PRELONE; NOT FOUND; 20 MG COM BL X 10; NO_ACR
1211700910038; PRELONE; PRELONE; NOT FOUND; 5 MG COM 2 BL X 10; NO_ACR
1057000130019; PÓ PELOTENSE; PO PELOTENSE; NOT FOUND; FRASCO 120 G; NO_ACR
1057000130027; PÓ PELOTENSE; PO PELOTENSE; NOT FOUND; FRASCO 80 G; NO_ACR
1017101820380; PEGINTRON; PEGINTRON; NOT FOUND; 888 MCG PO LIOF INJ CT 4 FA VD INC + 4 AMP DIL X 0.7 ML ; NO_ACR
1017101820399; PEGINTRON; PEGINTRON; NOT FOUND; 888 MCG PO LIOF INJ CT 12 FA VD INC + 12 AMP DIL X 0.7 ML ; NO_ACR
1017101820313; PEGINTRON; PEGINTRON; NOT FOUND; 296 MCG PO LIOF INJ CT FA VD INC +  AMP DIL X 0.7 ML ; NO_ACR
1017101820321; PEGINTRON; PEGINTRON; NOT FOUND; 296 MCG PO LIOF INJ CT 4 FA VD INC + 4 AMP DIL X 0.7 ML ; NO_ACR
1017101820331; PEGINTRON; PEGINTRON; NOT FOUND; 296 MCG PO LIOF INJ CT 12 FA VD INC + 12 AMP DIL X 0.7 ML ; NO_ACR
1017101820348; PEGINTRON; PEGINTRON; NOT FOUND; 444 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
1017101820356; PEGINTRON; PEGINTRON; NOT FOUND; 444 MCG PO LIOF INJ CT 4 FA VD INC + 4 AMP DIL X 0.7 ML ; NO_ACR
1017101820364; PEGINTRON; PEGINTRON; NOT FOUND; 444 MCG PO LIOF INJ CT 12 FA VD INC + 12 AMP DIL X 0.7 ML ; NO_ACR
1017101820372; PEGINTRON; PEGINTRON; NOT FOUND; 888 MCG PO LIOF INJ CT  FA VD INC +  AMP DIL X 0.7 ML ; NO_ACR
1017101820046; PEGINTRON; PEGINTRON; NOT FOUND; 118.4 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
1017101820070; PEGINTRON; PEGINTRON; NOT FOUND; 148 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
1017101820100; PEGINTRON; PEGINTRON; NOT FOUND; 177.6 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
1017101820135; PEGINTRON; PEGINTRON; NOT FOUND; 222 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
1017101820161; PEGINTRON; PEGINTRON; NOT FOUND; 67.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820194; PEGINTRON; PEGINTRON; NOT FOUND; 108 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820224; PEGINTRON; PEGINTRON; NOT FOUND; 135 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820259; PEGINTRON; PEGINTRON; NOT FOUND; 162 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66; NO_ACR
1017101820283; PEGINTRON; PEGINTRON; NOT FOUND; 202.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820437; PEGINTRON; PEGINTRON; NOT FOUND; 108 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820461; PEGINTRON; PEGINTRON; NOT FOUND; 135 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820496; PEGINTRON; PEGINTRON; NOT FOUND; 162 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820402; PEGINTRON; PEGINTRON; NOT FOUND; 67.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820410; PEGINTRON; PEGINTRON; NOT FOUND; 67.5 MCG PO LIOF INJ CT 4 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820429; PEGINTRON; PEGINTRON; NOT FOUND; 67.5 MCG PO LIOF INJ CT 12 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820445; PEGINTRON; PEGINTRON; NOT FOUND; 108 MCG PO LIOF INJ CT 4 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820453; PEGINTRON; PEGINTRON; NOT FOUND; 108 MCG PO LIOF INJ CT 12 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820471; PEGINTRON; PEGINTRON; NOT FOUND; 135 MCG PO LIOF INJ CT 4 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820488; PEGINTRON; PEGINTRON; NOT FOUND; 135 MCG PO LIOF INJ CT 12 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820501; PEGINTRON; PEGINTRON; NOT FOUND; 162 MCG PO LIOF INJ CT 4 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820518; PEGINTRON; PEGINTRON; NOT FOUND; 162 MCG PO LIOF INJ CT 12 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820526; PEGINTRON; PEGINTRON; NOT FOUND; 202.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820534; PEGINTRON; PEGINTRON; NOT FOUND; 202.5 MCG PO LIOF INJ CT 4 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1017101820542; PEGINTRON; PEGINTRON; NOT FOUND; 202.5 MCG PO LIOF INJ CT 12 SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1661400010041; PEGINTRON; PEGINTRON; NOT FOUND; 118.4 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
1661400010191; PEGINTRON; PEGINTRON; NOT FOUND; 108 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1661400010221; PEGINTRON; PEGINTRON; NOT FOUND; 135 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1661400010076; PEGINTRON; PEGINTRON; NOT FOUND; 148 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
1661400010254; PEGINTRON; PEGINTRON; NOT FOUND; 162 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66; NO_ACR
1661400010106; PEGINTRON; PEGINTRON; NOT FOUND; 177.6 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
1661400010165; PEGINTRON; PEGINTRON; NOT FOUND; 67.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
1661400010130; PEGINTRON; PEGINTRON; NOT FOUND; 222 MCG PO LIOF INJ CT FA VD INC + AMP DIL X 0.7 ML; NO_ACR
1661400010289; PEGINTRON; PEGINTRON; NOT FOUND; 202.5 MCG PO LIOF INJ CT SER VD INC DUPLO COMPART + DIL X 0.66 ML; NO_ACR
