1126000100027; REOPRO; REOPRO; NOT FOUND; 2 MG/ML SOL INJ CT FA VD INC X 5 ML; NO_ACR
1057700340070; REDVIT; REDVIT; NOT FOUND; FR 100 ML LIQUIDO; NO_ACR
1057700340053; REDVIT; REDVIT; NOT FOUND; FR 50 DRG; NO_ACR
1112402150010; RELISER; RELISER; NOT FOUND; 3.5 ML (5MG/ML) LIQ P/ INJ - KIT; NO_ACR
1123633390020; RARICAL; RARICAL; NOT FOUND; SUS OR CT FR VD AMB X 120 ML ; NO_ACR
1123633390012; RARICAL; RARICAL; NOT FOUND; COM REV CT FR VD AMB X 50; NO_ACR
1155700350011; RECALFE; RECALFE; NOT FOUND; COMPR. CX. C/ 15; NO_ACR
1155700350021; RECALFE; RECALFE; NOT FOUND; COMPR. CX. C/ 30; NO_ACR
1026900600097; REGULAPRESS; REGULAPRESS; NOT FOUND; 100 MG CX COM 30 COMP; NO_ACR
1026900600062; REGULAPRESS; REGULAPRESS; NOT FOUND; 50 MG CX COM 30 COMP; NO_ACR
1171700380028; RITCOR; RITCOR; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 28 ; NO_ACR
1171700380011; RITCOR; RITCOR; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28 ; NO_ACR
1171700380038; RITCOR; RITCOR; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; NO_ACR
1171700380046; RITCOR; RITCOR; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; NO_ACR
1010700850026; RIDAURA; RIDAURA; NOT FOUND; 3MG COMP REV 2 BL 10; NO_ACR
1112401990041; REBIF; REBIF; NOT FOUND; 11 MCG/3 MUI CX C/3 FR AMP PO LIOFILIZADO P/INJ +; NO_ACR
1112401990074; REBIF; REBIF; NOT FOUND; 22 MCG/6 MUI CX C/12 SERINGAS PRONTA P/USO C/ 0.5; NO_ACR
1112401990058; REBIF; REBIF; NOT FOUND; 44 MCG/12 MUI CX C/12 SERINGAS PRONTA P/USO C/ 0.5; NO_ACR
SI/NC; RENAL-VIT; RENAL VIT; NOT FOUND; 250MG FR C/1000 COMP; NO_ACR
1175700040017; RENAL-VIT; RENAL VIT; NOT FOUND; 250MG FR C/30 COMP; NO_ACR
1211002750019; RELISTOR; RELISTOR; NOT FOUND; 20 MG/ML SOL INJ CT FA VD INC X 0.6ML; NO_ACR
1211002750027; RELISTOR; RELISTOR; NOT FOUND; 20 MG/ML SOL INJ CT 7 EST FA VD INC X 0.6ML + SER + 2 LENCOS; NO_ACR
1068901340035; RELAFLEX; RELAFLEX; NOT FOUND; GOTAS 300MG/ML+35MG/ML+50MG/ML SOL ORAL FR VD X 10ML; NO_ACR
1168000210035; RELAFLEX; RELAFLEX; NOT FOUND; 300MG SOL ORAL FR GOT X 10ML; NO_ACR
