1190900140027; TREZEVIT AB; TREZEVIT AB; NOT FOUND; SOL INJ IV A CX 25 FA VD AMB X 5 ML + SOL INJ IV B CX 25 FA VD AMB X 5 ML - PEDIATRICO; NO_ACR
1190900140019; TREZEVIT AB; TREZEVIT AB; NOT FOUND; SOL INJ IV A CX 25 FA VD AMB X 5 ML + SOL INJ IV B CX 25 FA VD AMB X 5 ML - ADULTO; NO_ACR
1171700390015; TONGIFORT; TONGIFORT; NOT FOUND; 30 DRG; NO_ACR
1171700390023; TONGIFORT; TONGIFORT; NOT FOUND; 60 DRG; NO_ACR
1139800130038; TECHNESCAN MAA; TECHNESCAN MAA; NOT FOUND; 2.0MG +0. 5 MG PO LIOF. INJ CX 5 FA VD INC X 10ML; NO_ACR
1186100490076; TEROST; TEROST; NOT FOUND; 10 MG CX COM 15 COMP; NO_ACR
1186100490084; TEROST; TEROST; NOT FOUND; 10 MG CX COM 30 COMP; NO_ACR
1186100490343; TEROST; TEROST; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 4; NO_ACR
1039404890025; THIOMUCASE; THIOMUCASE; NOT FOUND; 135 TRU/G CREM DERM CT BG AL X 45 G; NO_ACR
1039404890033; THIOMUCASE; THIOMUCASE; NOT FOUND; 26.258 MG SUPOSIT CT 2 BL X 3; NO_ACR
1039404890017; THIOMUCASE; THIOMUCASE; NOT FOUND; 25 TRU + 1350 UCEIP + 3000 UH COM REV CT BL AL PLAS INC X 20; NO_ACR
1039404890041; THIOMUCASE; THIOMUCASE; NOT FOUND; 25 TRU + 1350 UCEIP + 3000 UH COM REV CT BL AL PLAS INC X 60; NO_ACR
1186100260046; TERICIN AT; TERICIN AT; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT 10 APL DESC PRE-ENV AL+POLIET X 4 G; NO_ACR
1186100260021; TERICIN AT; TERICIN AT; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT BG AL X 40 G + 10 APL; NO_ACR
1186100260010; TERICIN AT; TERICIN AT; NOT FOUND; 25 MG/G 12.5 MG/G CREM VAG CT BG AL X 60 G + 1 APLI; NO_ACR
1186100260054; TERICIN AT; TERICIN AT; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT BG AL X 45 G + 10 APL; NO_ACR
1018500310015; TISSUCOL FIBRINOGÊNIO HUMANO, APROTININA BOVINA E; TISSUCOL FIBRINOGENIO HUMANO APROTININA BOVINA E; NOT FOUND; KIT TISSUCOL 0.5 ML 1 FR AMP FIBRINOGENIO + 1 FR; NO_ACR
1018500310023; TISSUCOL FIBRINOGÊNIO HUMANO, APROTININA BOVINA E; TISSUCOL FIBRINOGENIO HUMANO APROTININA BOVINA E; NOT FOUND; KIT TISSUCOL 1.0 ML 1 FR AMP FIBRINOGENIO + 1 FR; NO_ACR
1018500310031; TISSUCOL FIBRINOGÊNIO HUMANO, APROTININA BOVINA E; TISSUCOL FIBRINOGENIO HUMANO APROTININA BOVINA E; NOT FOUND; KIT TISSUCOL 2.0 ML 1 FR AMP FIBRINOGENIO + 1 FR; NO_ACR
1018500310041; TISSUCOL FIBRINOGÊNIO HUMANO, APROTININA BOVINA E; TISSUCOL FIBRINOGENIO HUMANO APROTININA BOVINA E; NOT FOUND; KIT TISSUCOL 5.0 ML 1 FR AMP FIBRINOGENIO + 1 FR; NO_ACR
1068901660013; TARGIDRIL C; TARGIDRIL C; NOT FOUND; 1000 MG + 1000 MG COM EFEV CT TB PLAS + LAM AL PAP X 16; NO_ACR
1027001070077; TROMIX; TROMIX; NOT FOUND; 500 MG COM REV CT 12 BL AL PLAS AMB X 3; NO_ACR
1027001070069; TROMIX; TROMIX; NOT FOUND; 500 MG COM REV CT BL AL PLAS AMB X 3; NO_ACR
1228300240021; TIRATOSSE; TIRATOSSE; NOT FOUND; ADULTO XAROPE - FR VD X 120 ML; NO_ACR
1228300240031; TIRATOSSE; TIRATOSSE; NOT FOUND; PEDIATRICO XAROPE - FR X 120 ML; NO_ACR
1781700160031; TIRATOSSE; TIRATOSSE; NOT FOUND; (0.165 + 5.00 + 5.00 + 2.00) MG/ML XPE CT FR VD AMB X 120 ML; NO_ACR
1781700160023; TIRATOSSE; TIRATOSSE; NOT FOUND; (0.332 + 6.66 + 6.66 + 6.66) MG/ML XPE CT FR VD AMB X 120 ML; NO_ACR
1252100070000; TIROCAYNA SPRAY; TIROCAYNA SPRAY; NOT FOUND; FR 25 ML; NO_ACR
1252100070011; TIROCAYNA PASTILHA; TIROCAYNA PASTILHA; NOT FOUND; BL 16 PAST.; NO_ACR
1186100590089; TENSODIN; TENSODIN; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
1186100590062; TENSODIN; TENSODIN; NOT FOUND; 5 MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
1010701930023; TRACRIUM; TRACRIUM; NOT FOUND; 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML; NO_ACR
1010701930015; TRACRIUM; TRACRIUM; NOT FOUND; 10 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; NO_ACR
1057701540027; TANDENE; TANDENE; NOT FOUND; 125 MG + 50 MG + 300 MG + 30 MG COM CT BL AL PLAS INC X 15 ; NO_ACR
1090600820018; TANDIREN; TANDIREN; NOT FOUND; BLISTER 12CP; NO_ACR
1057701540019; TANDENE; TANDENE; NOT FOUND; 125 MG + 50 MG + 300 MG + 30 MG COM CT 2 BL AL PLAS INC X 15; NO_ACR
1123633510034; TYLENOL DC; TYLENOL DC; NOT FOUND; THERMOS - 500 MG - PO - SACHE - 50 SACHES X 6G; NO_ACR
1123633580067; TYLENOL DC; TYLENOL DC; NOT FOUND; 500 MG - COMP - BL - 100 COMP; NO_ACR
1123633580040; TYLENOL DC; TYLENOL DC; NOT FOUND; 500 MG - COMP - BL - 20 COMP; NO_ACR
1123633260275; TYLENOL DC; TYLENOL DC; NOT FOUND; GEL-CAPS - 500 MG - COMP REV - BL - 100 COMP VER; NO_ACR
1123633260216; TYLENOL DC; TYLENOL DC; NOT FOUND; GEL-CAPS - 500 MG - COMP REV - BL - 24 COMP VER; NO_ACR
1123633260135; TYLENOL DC; TYLENOL DC; NOT FOUND; MASTIGAVEL - 160 MG - COMP - BL - 12 COMP; NO_ACR
1092200850026; TRIOTÔNICO; TRIOTONICO; NOT FOUND; XPE FR C/ 240 ML; NO_ACR
1092200850050; TRIOTÔNICO; TRIOTONICO; NOT FOUND; DRG CX C/ 30; NO_ACR
1890000180027; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML (EMB HOSP) ; NO_ACR
1890000180078; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 20 FA + 20 AMP DIL PLAS X 10 ML (EMB HOSP) ; NO_ACR
1890000180094; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 50 FA VD INC; NO_ACR
1890000180108; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 100 FA VD INC; NO_ACR
1890000180086; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 20 FA VD INC; NO_ACR
1027000880024; TRIAXTON; TRIAXTON; NOT FOUND; 1000 MG CX C/ 20 FA + DIL X 10 ML; NO_ACR
1027000880075; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 20 FA +AMP DIL PLAS X 10 ML (EMB HOSP) 07; NO_ACR
1027000880105; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 100 FA VD INC; NO_ACR
1027000880083; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 20 FA VD INC; NO_ACR
1027000880091; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 50 FA VD INC; NO_ACR
SI/NC; TRICALVIT; TRICALVIT; NOT FOUND; CX. FR. VD. SUSP. 250ML; NO_ACR
1092200710011; TRIOCÁLCIO (CALCIFEROL); TRIOCALCIO CALCIFEROL; NOT FOUND; SOL ORAL FR C/ 150 ML; NO_ACR
1002900260051; TIENAM; TIENAM; NOT FOUND; FR SIST MONOVIAL 500 MG; NO_ACR
1002900260078; TIENAM; TIENAM; NOT FOUND; IM 500 MG CX. C/ 50 FR. AMP.; NO_ACR
1002900260019; TIENAM; TIENAM; NOT FOUND; IM 500 MG FA + 2 ML DIL; NO_ACR
1002900260035; TIENAM; TIENAM; NOT FOUND; 500/500 MG PO INJ IV CT FA VD INC X 120 ML; NO_ACR
1002900260086; TIENAM; TIENAM; NOT FOUND; 500 MG + 500 MG PO INJ IV CT 1 FA VD INC; NO_ACR
1002900260094; TIENAM; TIENAM; NOT FOUND; 500 MG + 500 MG PO INJ IV CT 25 FA VD INC; NO_ACR
1211002810011; TANTRIX; TANTRIX; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 1; NO_ACR
1211002810021; TANTRIX; TANTRIX; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 2; NO_ACR
1211002810038; TANTRIX; TANTRIX; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 4; NO_ACR
1211002810054; TANTRIX; TANTRIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 1; NO_ACR
1211002810046; TANTRIX; TANTRIX; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 8; NO_ACR
1211002810062; TANTRIX; TANTRIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 2; NO_ACR
1211002810070; TANTRIX; TANTRIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 4; NO_ACR
