1006801520023; ESTALIS; ESTALIS; NOT FOUND; 50 MCG + 140 MCG STT CT 8 ENV X 1; NVR
1006801510011; ESTALIS; ESTALIS; NOT FOUND; 50 MCG + 250 MCG STT CT 4 ENV X FASE 1 + 4 ENV X FASE 2; NVR
1006801520058; ESTALIS; ESTALIS; NOT FOUND; 50 MCG + 140 MCG STT CT 4 ENV X 1; NVR
1006800120013; ESTRACOMB; ESTRACOMB; NOT FOUND; 4 MG ADES + 30 MG + 10 MG ADES CT 4 ENV X 1 + 4 ENV X 1; NVR
1006801010017; ESTRAGEST TTS; ESTRAGEST TTS; NOT FOUND; 125 MCG + 25 MCG ADS TRANSD. CT 8 ENV.AL. POLIET X 1; NVR
1006801510011; ESTALIS SQ; ESTALIS SQ; NOT FOUND; 50 MCG + 250MCG STT CX CT 4 ENV X FASE 1 + 4 ENV X FASE 2; NVR
1006810820085; EXFORGE HCT; EXFORGE HCT; NOT FOUND; 160 MG + 25 MG + 5 MG COM REV CT BL AL/AL X 14; NVR
1006810820093; EXFORGE HCT; EXFORGE HCT; NOT FOUND; 160 MG + 25 MG + 5 MG COM REV CT BL AL/AL X 28; NVR
1006810820115; EXFORGE HCT; EXFORGE HCT; NOT FOUND; 160 MG + 25 MG + 10 MG COM REV CT BL AL/AL X 14; NVR
1006810820123; EXFORGE HCT; EXFORGE HCT; NOT FOUND; 160 MG + 25 MG + 10 MG COM REV CT BL AL/AL X 28; NVR
1006810820141; EXFORGE HCT; EXFORGE HCT; NOT FOUND; 320 MG + 25 MG + 10 MG COM REV CT BL AL/AL X 14; NVR
1006810820158; EXFORGE HCT; EXFORGE HCT; NOT FOUND; 320 MG + 25 MG + 10 MG COM REV CT BL AL/AL X 28; NVR
1006810820050; EXFORGE HCT; EXFORGE HCT; NOT FOUND; 160 MG + 12.5 MG + 10 MG COM REV CT BL AL/AL X 14; NVR
1006810820069; EXFORGE HCT; EXFORGE HCT; NOT FOUND; 160 MG + 12.5 MG + 10 MG COM REV CT BL AL/AL X 28; NVR
1006810820026; EXFORGE HCT; EXFORGE HCT; NOT FOUND; 160 MG + 12.5 MG + 5 MG COM REV CT BL AL/AL X 14; NVR
1006810820034; EXFORGE HCT; EXFORGE HCT; NOT FOUND; 160 MG + 12.5 MG + 5 MG COM REV CT BL AL/AL X 28; NVR
1006810810012; EXTAVIA; EXTAVIA; NOT FOUND; 9.6 MUI PO LIOF INJ CT 5 FA VD INC + 5 SER VD INC X 1.2 ML; NVR
1006810810020; EXTAVIA; EXTAVIA; NOT FOUND; 9.6 MUI PO LIOF INJ CT 15 FA VD INC + 15 SER VD INC X 1.2 ML; NVR
1006810810039; EXTAVIA; EXTAVIA; NOT FOUND; 9.6 MUI PO LIOF INJ CT 5 FA VD INC + 5 SER (2.25 ML) VD INC DIL X 1.2 ML; NVR
1006810810047; EXTAVIA; EXTAVIA; NOT FOUND; 9.6 MUI PO LIOF INJ CT 15 FA VD INC + 15 SER (2.25 ML) VD INC DIL X 1.2 ML; NVR
1006810460021; EXCEDRIN; EXCEDRIN; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS INC X 20; NVR
1006810460046; EXCEDRIN; EXCEDRIN; NOT FOUND; 500 MG + 65 MG COM REV DISP CT BL AL PLAS INC X 200; NVR
1006810490034; ENABLEX; ENABLEX; NOT FOUND; 7.5 MG COM REV LIB PROL CT BL AL/AL X 14; NVR
1006810490042; ENABLEX; ENABLEX; NOT FOUND; 7.5 MG COM REV LIB PROL CT BL AL/AL X 28; NVR
1006810490077; ENABLEX; ENABLEX; NOT FOUND; 15 MG COM REV LIB PROL CT BL CT BL AL/AL X 14; NVR
1006810490085; ENABLEX; ENABLEX; NOT FOUND; 15 MG COM REV LIB PROL CT BL AL/AL X 28; NVR
1006810400019; EXJADE; EXJADE; NOT FOUND; 125 MG COM DISP CT BL ALU/ALU X 28; NVR
1006810400035; EXJADE; EXJADE; NOT FOUND; 250 MG COM DISP CT BL ALU/ALU X 28; NVR
1006810400051; EXJADE; EXJADE; NOT FOUND; 500 MG COM DISP CT BL ALU/ALU X 28; NVR
1006800710015; ESTRADERM; ESTRADERM; NOT FOUND; 0.77 MG SIST ADS TRANSD CT 8 ENV PAPEL KRAFT/ALU/POLIAC X 1 (LIBERA 25 MCG); NVR
1006800710031; ESTRADERM; ESTRADERM; NOT FOUND; 1.54 MG SIST ADS TRANSD CT 8 ENV PAPEL KRAFT/ALU/POLIAC X 1 (LIBERA 50 MCG); NVR
1006800710058; ESTRADERM; ESTRADERM; NOT FOUND; 3.09 MG SIST ADS TRANSD CT 8 ENV PAPEL KRAFT/ALU/POLIAC X 1 (LIBERA 100 MCG); NVR
1006800480060; ESTRADERM TTS; ESTRADERM TTS; NOT FOUND; 2 MG STT CT 8 ENV AL POLIT X 1 ADES (LIBERA 25MCG); NVR
1006800480052; ESTRADERM TTS; ESTRADERM TTS; NOT FOUND; 4 MG STT CT 8 ENV AL POLIT X 1 ADES (LIBERA 50 MCG); NVR
1006800480044; ESTRADERM TTS; ESTRADERM TTS; NOT FOUND; 8 MG STT CT 8 ENV AL POLIT X 1 ADES (LIBERA 100MCG); NVR
1006808950104; ESTRADOT; ESTRADOT; NOT FOUND; 0.390 MG ADS TRANSD (25 MCG/DIA) CT ENV AL LAM X 8; NVR
1006808950041; ESTRADOT; ESTRADOT; NOT FOUND; 0.780 MG ADS TRANSD (50 MCG/DIA) CT ENV AL LAM X 8; NVR
1006808950082; ESTRADOT; ESTRADOT; NOT FOUND; 1.560 MG ADS TRANSD (100 MCG/DIA) CT ENV AL LAM X 8; NVR
1006808950031; ESTRADOT; ESTRADOT; NOT FOUND; 0.780 MG ADS TRANSD (50 MCG/DIA) CT ENV AL LAM X 4; NVR
1006808950074; ESTRADOT; ESTRADOT; NOT FOUND; 1.560 MG ADS TRANSD (100 MCG/DIA) CT ENV AL LAM X 4; NVR
1006808950090; ESTRADOT; ESTRADOT; NOT FOUND; 0.390 MG ADS TRANSD (25 MCG/DIA) CT ENV AL LAM X 4; NVR
1006808830011; ELIDEL; ELIDEL; NOT FOUND; 10 MG / G CREME DERM CT BG AL X 15 G; NVR
1006808830028; ELIDEL; ELIDEL; NOT FOUND; 10 MG / G CREME DERM CT BG AL X 30 G; NVR
