1397100030081; OCTALBIN; OCTALBIN; NOT FOUND; 20 % SOL INJ CT FA VD INC X 50 ML ; OCT
1397100030073; OCTALBIN; OCTALBIN; NOT FOUND; 20 % SOL INJ CT 10 FA VD INC X 50 ML; OCT
1397100120013; OCTAPLEX; OCTAPLEX; NOT FOUND; 500 UI PO LIOF INJ CT FA VD INC + FA VD INC DIL X 20 ML + CONJ REC E INFUS; OCT
1397100080011; OCTANINE F; OCTANINE F; NOT FOUND; 250 UI PO LIOF INJ CT 1 FA VD INC+ 1 FA DIL X 5 ML + EQP INFUS; OCT
1397100080021; OCTANINE F; OCTANINE F; NOT FOUND; 500 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 5 ML + EQP INFUS; OCT
1397100080038; OCTANINE F; OCTANINE F; NOT FOUND; 1000 UI PO LIOF INJ CT 1 FA VD INC + 1 FA DIL X 10 ML + EQP INFUS; OCT
1397100060010; OCTAVI SDOPTIMUM; OCTAVI SDOPTIMUM; NOT FOUND; 250 UI PO LIOF INJ CT FA VD INC + FA DIL X 5 ML + CONJ. INFUS; OCT
1397100060029; OCTAVI SDOPTIMUM; OCTAVI SDOPTIMUM; NOT FOUND; 500 UI PO LIOF INJ CT 1 FA VD INC + FA DIL X 10 ML + CONJ. INFUS; OCT
1397100060037; OCTAVI SDOPTIMUM; OCTAVI SDOPTIMUM; NOT FOUND; 1000UI PO LIOF INJ CT 1 FA VD INC + FA DIL X 10 ML + CONJ. INFUS; OCT
1397100010018; OCTAGAM; OCTAGAM; NOT FOUND; 1 G SOL INJ CT FA VD INC X 20 ML; OCT
1397100010026; OCTAGAM; OCTAGAM; NOT FOUND; 2.5 G SOL INJ CT FA VD INC X 50ML; OCT
1397100010034; OCTAGAM; OCTAGAM; NOT FOUND; 5 G SOL INJ CT FA VD INC X 100ML; OCT
1397100010045; OCTAGAM; OCTAGAM; NOT FOUND; 10 G SOL INJ CT FA VD INC X 200ML; OCT
1397100010072; OCTAGAM; OCTAGAM; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 100 ML; OCT
1397100010056; OCTAGAM; OCTAGAM; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 20 ML; OCT
1397100010080; OCTAGAM; OCTAGAM; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 200 ML; OCT
1397100010064; OCTAGAM; OCTAGAM; NOT FOUND; 100 MG/ML SOL INJ CT FA VD INC X 50 ML; OCT
