1410700250016; CAPTOSEN; CAPTOSEN; NOT FOUND; 12.5MG COMP BL 16; P7B
1410700250105; CAPTOSEN; CAPTOSEN; NOT FOUND; 12.5MG COMP BL 30; P7B
1410700250040; CAPTOSEN; CAPTOSEN; NOT FOUND; 25MG COMP BL 16; P7B
1410700250121; CAPTOSEN; CAPTOSEN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; P7B
1410700250131; CAPTOSEN; CAPTOSEN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 900 (EMB HOSP); P7B
1410700250075; CAPTOSEN; CAPTOSEN; NOT FOUND; 50MG COMP BL 16; P7B
1410700250148; CAPTOSEN; CAPTOSEN; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; P7B
1410700250156; CAPTOSEN; CAPTOSEN; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 900 (EMB HOSP); P7B
1410700250113; CAPTOSEN; CAPTOSEN; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 900 (EMB HOSP); P7B
1410700580016; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/ G CREM DERM CT BG AL X 30 G; P7B
1410700580024; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/ G CREM DERM CX 100 BG AL X 30 G (EMB HOSP); P7B
1410700640027; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); P7B
1410700640019; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 30; P7B
1410700640035; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10; P7B
1410700200019; CIPROFLONAX; CIPROFLONAX; NOT FOUND; 250MG COMP BL 06; P7B
1410700200035; CIPROFLONAX; CIPROFLONAX; NOT FOUND; 500MG COMP BL 06; P7B
1410700200043; CIPROFLONAX; CIPROFLONAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; P7B
1410700200051; CIPROFLONAX; CIPROFLONAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 500; P7B
1410700750027; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1G COM REV CT BL AL PLAS INC X 30; P7B
1410700750035; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1G COM REV CT BL AL PLAS INC X 500 (EMB HOSP); P7B
1410700650014; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 30 ; P7B
1410700650022; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 40 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); P7B
1410700650049; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); P7B
1410700650030; CLORIDRATO DE PROPRANOLOL; CLORIDRATO PROPRANOLOL; CLORIDRATO PROPRANOLOL; 80 MG COM CT BL AL PLAS INC X 30; P7B
1410700210014; CLORTON; CLORTON; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 21; P7B
1410700210022; CLORTON; CLORTON; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 14; P7B
1410700530086; CORTIDEX; CORTIDEX; NOT FOUND; 0.1% CREM DERM  CT BG  AL X 10 G; P7B
1410700530094; CORTIDEX; CORTIDEX; NOT FOUND; 0.1% CREME DERM  CX 100 BG  AL X 10 G (EMB HOSP); P7B
1410700570010; COENAPLEX; COENAPLEX; NOT FOUND; 10 MG + 25 MG COM CT 3 STRIP X 10 01 01; P7B
1410700570029; COENAPLEX; COENAPLEX; NOT FOUND; 20 MG + 12.5 MG COM CT 3 STRIP X 10 01 02; P7B
1410700020010; CARIDERM; CARIDERM; NOT FOUND; 5000 UI + 900 UI +150 MG/G POM DERM CT BG AL X 45 G; P7B
1410700050017; CEDRILAX; CEDRILAX; NOT FOUND; 300MG + 125MG + 50MG + 30MG COM CT BL AL PLAS TRANS X 30; P7B
1410700050041; CEDRILAX; CEDRILAX; NOT FOUND; 300MG + 125MG + 50MG + 30MG COM CX BL AL PLAS TRANS X 100; P7B
