1021601380019; MYLANTA DE BOLSO; MYLANTA BOLSO; NOT FOUND; 550 MG + 110 MG CARTUCHO COM 4 COMPRIMIDOS MASTIGAVEIS FRUTAS VERMELHAS; PFZ
1021601380078; MYLANTA DE BOLSO; MYLANTA BOLSO; NOT FOUND; 550 MG + 110 MG CARTUCHO COM 144 COMPRIMIDOS MASTIGAVEIS FRUTAS VERMELHAS; PFZ
1021601380086; MYLANTA DE BOLSO; MYLANTA BOLSO; NOT FOUND; 550 MG + 110 MG CARTUCHO COM 144 COMPRIMIDOS MASTIGAVEIS MENTA GELADA; PFZ
1021601380035; MYLANTA DE BOLSO; MYLANTA BOLSO; NOT FOUND; 550 MG + 110 MG CARTUCHO COM 72 COMPRIMIDOS MASTIGAVEIS FRUTAS VERMELHAS; PFZ
1021601380061; MYLANTA DE BOLSO; MYLANTA BOLSO; NOT FOUND; 550 MG + 110 MG CARTUCHO COM 72 COMPRIMIDOS MASTIGAVEIS MENTA GELADA; PFZ
1021601380043; MYLANTA DE BOLSO; MYLANTA BOLSO; NOT FOUND; 550 MG + 110 MG CARTUCHO COM 4 COMPRIMIDOS MASTIGAVEIS MENTA GELADA; PFZ
1021601440021; MAXAQUIN; MAXAQUIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 3; PFZ
1021601440038; MAXAQUIN; MAXAQUIN; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 7; PFZ
1238901150024; MAXAQUIN; MAXAQUIN; NOT FOUND; 400 MG.- 3 COMPRIMIDOS; PFZ
1238901150032; MAXAQUIN; MAXAQUIN; NOT FOUND; 400 MG.- 7 COMPRIMIDOS; PFZ
1021600160171; MINIPRESS SR; MINIPRESS SR; NOT FOUND; 1 MG CAP GEL DURA MCGRAN LIB LENTA CT BL AL PLAS INC X 15; PFZ
1021600160181; MINIPRESS SR; MINIPRESS SR; NOT FOUND; 2 MG CAP GEL DURA MCGRAN LIB LENTA CT BL AL PLAS INC X 15; PFZ
1021600160198; MINIPRESS SR; MINIPRESS SR; NOT FOUND; 4 MG CAP GEL DURA MCGRAN LIB LENTA CT BL AL PLAS INC X 15; PFZ
1021600150060; MARAX; MARAX; NOT FOUND; 2.5 MG/5ML + 6.25 MG/5ML + 32.5 MG / 5ML XPE CT FR VD AMB X 120 ML; PFZ
1021600150079; MARAX; MARAX; NOT FOUND; 10 MG + 25 MG + 130 MG COM CT FR VD AMB X 20; PFZ
1021600150087; MARAX; MARAX; NOT FOUND; 10 MG + 25 MG + 130 MG COM CT BL AL AL X 20; PFZ
1021600970033; MYLANTA; MYLANTA; NOT FOUND; MYLANTA LIQ 240ML; PFZ
1021600970068; MYLANTA; MYLANTA; NOT FOUND; MYLANTA LIQ MORANGO 240ML; PFZ
1021600970106; MYLANTA PLUS; MYLANTA PLUS; NOT FOUND; MYLANTA PLUS MORANGO TAB 4BL X 9; PFZ
1021600970084; MYLANTA PLUS; MYLANTA PLUS; NOT FOUND; MYLANTA PLUS TAB 4BL X 9; PFZ
1021601360018; MINIDIAB; MINIDIAB; NOT FOUND; 5 MG COM CT 2 BL AL PLAS INC X 15; PFZ
1238900970011; MINIDIAB; MINIDIAB; NOT FOUND; 5 MG - 30 COMP.; PFZ
1021601560033; MOTRIN; MOTRIN; NOT FOUND; 600 MG COM REV CT FR PLAS OPC X 30; PFZ
1021601560017; MOTRIN; MOTRIN; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC X 12; PFZ
1021601560025; MOTRIN; MOTRIN; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC X 30; PFZ
1021601560041; MOTRIN; MOTRIN; NOT FOUND; 600 MG COM REV CT FR PLAS OPC X 50; PFZ
1238900240089; MOTRIN; MOTRIN; NOT FOUND; 600 MG - CAIXA COM 1 FRASCO DE 30 DRG; PFZ
1021601820019; MIANTREX CS; MIANTREX CS; NOT FOUND; 100 MG/ML SOL INJ CT FA PLAS TRANS X 10 ML (REST HOSP).; PFZ
1021601820035; MIANTREX CS; MIANTREX CS; NOT FOUND; 25 MG/ML SOL INJ CT FA PLAS TRANS X 2 ML (REST HOSP); PFZ
1021601820043; MIANTREX CS; MIANTREX CS; NOT FOUND; 25 MG/ML SOL INJ CT FA PLAS TRANS X 20 ML(REST HOSP); PFZ
1238900630014; MIANTREX; MIANTREX; NOT FOUND; 50 MG SOL. INJ. FRASCO-AMPOLA PLASTICO; PFZ
1238900630030; MIANTREX; MIANTREX; NOT FOUND; 500 MG SOL. INJ. FRASCO-AMPOLA PLASTICO; PFZ
1238900630049; MIANTREX; MIANTREX; NOT FOUND; CS INJ 1G X 10ML; PFZ
1021600140138; MANSIL; MANSIL; NOT FOUND; 50 MG/ML SUS OR CT FR VD AMB X 12 ML + CONTA-GOTAS; PFZ
1021600140101; MANSIL; MANSIL; NOT FOUND; 250 MG CAP GEL DURA CT STR AL/AL X 6; PFZ
1021601830014; MACUGEM; MACUGEM; NOT FOUND; 0.3 MG SOL INJ INT-OC CT 1 ENV X (1SER VD + 1AG) +1ENV X (1 EMBOLO PLAS + 1TRAVA PLAS); PFZ
1238900570011; MIRAPEX; MIRAPEX; NOT FOUND; 0.125 MG - CARTUCHO COM 30 COMP; PFZ
1238900570038; MIRAPEX; MIRAPEX; NOT FOUND; 0.25 MG - CARTUCHO COM 30 COMPRIMIDOS; PFZ
1238900570054; MIRAPEX; MIRAPEX; NOT FOUND; 1.00 MG - CARTUCHO COM 30 COMPRIMIDOS; PFZ
1238900570011; MIRAPEX; MIRAPEX; NOT FOUND; 0.125 MG - CARTUCHO COM 30 COMP; PFZ
1238900570038; MIRAPEX; MIRAPEX; NOT FOUND; 0.25 MG - CARTUCHO COM 30 COMPRIMIDOS; PFZ
1238900570054; MIRAPEX; MIRAPEX; NOT FOUND; 1.00 MG - CARTUCHO COM 30 COMPRIMIDOS; PFZ
