1256800090024; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG/ML PO SUS OR CT FR VD AMB X 150 ML; PZ8
1256800090032; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG/ML PO SUS OR CX 50 FR VD AMB X 150 ML (EMB HOSP); PZ8
1256800090067; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP); PZ8
1256800090083; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG PO SUS OR CT FR PLAS AMB X 150 ML (EQ A 50 MG/ML APOS RECONST.); PZ8
1256800090105; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG PO SUS OR CT FR PLAS AMB X 60 ML (EQ A 50 MG/ML APOS RECONST.); PZ8
1256800090075; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG PO SUS OR CX 50 FR PLAS AMB X 150 ML (EQ A 50 MG/ML APOS RECONST.) (EMB HOSP); PZ8
1256800090091; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG PO SUS OR CX 50 FR PLAS AMB X 60 ML (EQ A 50 MG/ML APOS RECONST.) (EMB HOSP); PZ8
1256800090067; DUZIMICIN; DUZIMICIN; NOT FOUND; 50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP) ; PZ8
1256800090059; DUZIMICIN; DUZIMICIN; NOT FOUND; 500 MG CAP GEL DURA CX BL AL/PLAS TRANS X 300 (EMB HOSP); PZ8
1256800090040; DUZIMICIN; DUZIMICIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL/PLAS TRANS X 12; PZ8
1256801790011; DIPIRONA SÓDICA + CLORIDRATO DE ISOMETEPTENO + CAFEÍNA.; DIPIRONA SODICA CLORIDRATO ISOMETEPTENO CAFEINA; NOT FOUND; 300 MG /ML+ 50 MG/ML + 30 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; PZ8
1256801790021; DIPIRONA SÓDICA + CLORIDRATO DE ISOMETEPTENO + CAFEÍNA.; DIPIRONA SODICA CLORIDRATO ISOMETEPTENO CAFEINA; NOT FOUND; 300 MG /ML + 50 MG/ML + 30 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 10 ML (EMB HOSP); PZ8
1256801790038; DIPIRONA SÓDICA + CLORIDRATO DE ISOMETEPTENO + CAFEÍNA.; DIPIRONA SODICA CLORIDRATO ISOMETEPTENO CAFEINA; NOT FOUND; 300 MG /ML + 50 MG/ML + 30 MG/ML SOL OR CX 200 FR PLAS OPC GOT X 15 ML (EMB HOSP); PZ8
1256802170025; DIPIRONA SÓDICA + CLORIDRATO DE ADIFENINA + CLORIDRATO DE PROMETAZINA; DIPIRONA SODICA CLORIDRATO ADIFENINA CLORIDRATO PROMETAZINA; NOT FOUND; 5OO MG/1.5ML + 10MG/1.5ML +5MG/1.5ML SOL OR CX 100 FR PLAS OPC GOT 10ML (EMB HOSP); PZ8
1256802170017; DIPIRONA SÓDICA + CLORIDRATO DE ADIFENINA + CLORIDRATO DE PROMETAZINA; DIPIRONA SODICA CLORIDRATO ADIFENINA CLORIDRATO PROMETAZINA; NOT FOUND; 5OO MG/1.5ML + 10MG/1.5ML +5MG/1.5ML SOL OR CT FR PLAS OPC GOT 10ML; PZ8
1256802170033; DIPIRONA SÓDICA + CLORIDRATO DE ADIFENINA + CLORIDRATO DE PROMETAZINA; DIPIRONA SODICA CLORIDRATO ADIFENINA CLORIDRATO PROMETAZINA; NOT FOUND; 5OO MG/1.5ML + 10MG/1.5ML +5MG/1.5ML SOL OR CT FR PLAS OPC GOT 15ML; PZ8
1256802170051; DIPIRONA SÓDICA + CLORIDRATO DE ADIFENINA + CLORIDRATO DE PROMETAZINA; DIPIRONA SODICA CLORIDRATO ADIFENINA CLORIDRATO PROMETAZINA; NOT FOUND; 5OO MG/1.5ML + 10MG/1.5ML +5MG/1.5ML SOL OR CT FR PLAS OPC GOT 20ML; PZ8
1256802170041; DIPIRONA SÓDICA + CLORIDRATO DE ADIFENINA + CLORIDRATO DE PROMETAZINA; DIPIRONA SODICA CLORIDRATO ADIFENINA CLORIDRATO PROMETAZINA; NOT FOUND; 5OO MG/1.5ML + 10MG/1.5ML +5MG/1.5ML SOL OR CX 100 FR PLAS OPC GOT 15ML (EMB HOSP); PZ8
1256802180081; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; PZ8
1256802180020; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR PLAS AMB X 100 ML +SER DOSAD; PZ8
1256802180047; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR PLAS AMB X 60 ML + SER DOSAD; PZ8
1256802180101; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR PLAS OPC X 100 ML + SER DOSAD; PZ8
1256802180128; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR PLAS OPC X 60 ML + SER DOSAD; PZ8
1256802180063; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD; PZ8
1256802180012; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CX 50 FR PLAS AMB X 100 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256802180039; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CX 50 FR PLAS AMB X 60 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256802180098; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CX 50 FR PLAS OPC X 100 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256802180111; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CX 50 FR PLAS OPC X 60 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256802180071; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CX 50 FR VD AMB X 60 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256802180055; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 SER DOSAD (EMB HOSP); PZ8
1256801430015; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G CREM DERM CT BG AL X 30G; PZ8
